"N2.all.mean.sqmeter";"N2.all.sem.sqmeter"
"1992";74,375;12,334194458544
"1993";222,307692307692;44,0883996335603
"1994";1197,5;298,115609565596
"1995";942,5;324,99679485599
"1996";647,5;267,935782107081
"1997";325;98,4462628374824
"1998";1692,5;387,672004835703
"1999";4752,5;1114,87947779121
"2000";3242,5;1308,16904488678
"2001";2410;586,841829911036
"2002";1560;425,029410747068
"2003";2117,5;238,864501339148
"2004";1725;188,203226713716
"2005";1882,5;495,300834510368
"2006";1380;234,598302714158
"2007";1282,5;242,631173519885
"2008";1402,5;255,817539735577
"2009";1100;303,17761570846
"2010";1015;139,552857369529
"2011";1475;237,19477995176
"2012";1297,5;287,702827004996
