"high";"low";"middle";"midlow";"high.1";"low.1";"middle.1";"midlow.1"
"1992";72,8571428571429;13,3333333333333;108;50;23,6758150374401;3,33333333333333;9,69535971483266;20
"1993";143,333333333333;96,6666666666667;480;182,5;29,0593262902712;43,71625682868;11,5470053837925;34,4903368109581
"1994";1220;390;1360;1820;NA;NA;NA;NA
"1995";210;1100;710;1750;NA;NA;NA;NA
"1996";260;420;1440;470;NA;NA;NA;NA
"1997";160;380;580;180;NA;NA;NA;NA
"1998";930;1120;2400;2320;NA;NA;NA;NA
"1999";3160;3580;8030;4240;NA;NA;NA;NA
"2000";6100;720;4800;1350;NA;NA;NA;NA
"2001";3030;840;3530;2240;NA;NA;NA;NA
"2002";2380;930;2200;730;NA;NA;NA;NA
"2003";2110;1540;2110;2710;NA;NA;NA;NA
"2004";2620;1540;1700;1040;219,317121994613;60,8276253029822;208,806130178211;176,918060129541
"2005";3060;830;2290;1350;NA;NA;NA;NA
"2006";2200;760;1910;650;353,411940941446;160,934769394311;342,198772645373;87,1779788708135
"2007";1940;660;1990;540;341,760149812701;45,8257569495584;449,77772288098;195,192212959431
"2008";1100;740;2740;1030;98,488578017961;147,309198626562;125,299640861417;404,474968323134
"2009";1860;470;1280;790;NA;NA;NA;NA
"2010";900;1140;690;1330;NA;NA;NA;NA
"2011";2000;1100;1210;1590;926,012958872607;208,806130178211;216,564078277077;199,749843554382
"2012";1800;840;1790;760;NA;NA;NA;NA
