"Var1";"Var2";"Var3";"Freq"
"1";"1992";"1mg1";"high";NA
"2";"1993";"1mg1";"high";NA
"3";"1994";"1mg1";"high";NA
"4";"1995";"1mg1";"high";NA
"5";"1996";"1mg1";"high";NA
"6";"1997";"1mg1";"high";NA
"7";"1998";"1mg1";"high";NA
"8";"1999";"1mg1";"high";NA
"9";"2000";"1mg1";"high";NA
"10";"2001";"1mg1";"high";NA
"11";"2002";"1mg1";"high";NA
"12";"2003";"1mg1";"high";NA
"13";"2004";"1mg1";"high";NA
"14";"2005";"1mg1";"high";NA
"15";"2006";"1mg1";"high";NA
"16";"2007";"1mg1";"high";1260
"17";"2008";"1mg1";"high";NA
"18";"2009";"1mg1";"high";NA
"19";"2010";"1mg1";"high";NA
"20";"2011";"1mg1";"high";NA
"21";"2012";"1mg1";"high";NA
"22";"1992";"1mg2";"high";NA
"23";"1993";"1mg2";"high";NA
"24";"1994";"1mg2";"high";NA
"25";"1995";"1mg2";"high";NA
"26";"1996";"1mg2";"high";NA
"27";"1997";"1mg2";"high";NA
"28";"1998";"1mg2";"high";NA
"29";"1999";"1mg2";"high";NA
"30";"2000";"1mg2";"high";NA
"31";"2001";"1mg2";"high";NA
"32";"2002";"1mg2";"high";NA
"33";"2003";"1mg2";"high";NA
"34";"2004";"1mg2";"high";NA
"35";"2005";"1mg2";"high";NA
"36";"2006";"1mg2";"high";NA
"37";"2007";"1mg2";"high";NA
"38";"2008";"1mg2";"high";NA
"39";"2009";"1mg2";"high";NA
"40";"2010";"1mg2";"high";NA
"41";"2011";"1mg2";"high";NA
"42";"2012";"1mg2";"high";NA
"43";"1992";"1mg3";"high";NA
"44";"1993";"1mg3";"high";NA
"45";"1994";"1mg3";"high";NA
"46";"1995";"1mg3";"high";NA
"47";"1996";"1mg3";"high";NA
"48";"1997";"1mg3";"high";NA
"49";"1998";"1mg3";"high";NA
"50";"1999";"1mg3";"high";NA
"51";"2000";"1mg3";"high";NA
"52";"2001";"1mg3";"high";NA
"53";"2002";"1mg3";"high";NA
"54";"2003";"1mg3";"high";NA
"55";"2004";"1mg3";"high";NA
"56";"2005";"1mg3";"high";NA
"57";"2006";"1mg3";"high";NA
"58";"2007";"1mg3";"high";NA
"59";"2008";"1mg3";"high";NA
"60";"2009";"1mg3";"high";NA
"61";"2010";"1mg3";"high";NA
"62";"2011";"1mg3";"high";NA
"63";"2012";"1mg3";"high";NA
"64";"1992";"1mg4";"high";NA
"65";"1993";"1mg4";"high";NA
"66";"1994";"1mg4";"high";NA
"67";"1995";"1mg4";"high";NA
"68";"1996";"1mg4";"high";NA
"69";"1997";"1mg4";"high";NA
"70";"1998";"1mg4";"high";NA
"71";"1999";"1mg4";"high";NA
"72";"2000";"1mg4";"high";NA
"73";"2001";"1mg4";"high";NA
"74";"2002";"1mg4";"high";NA
"75";"2003";"1mg4";"high";NA
"76";"2004";"1mg4";"high";NA
"77";"2005";"1mg4";"high";NA
"78";"2006";"1mg4";"high";NA
"79";"2007";"1mg4";"high";NA
