"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"(1,2]";0;0;9,01639344262295;4,76190476190476;0;6,25;21,505376344086;56,0126582278481;42,7868852459016;18,4818481848185;16,8067226890756;24,6445497630332;47,3282442748092;29,7385620915033;39,0909090909091;57,7319587628866;38,1818181818182;41,9354838709677;6,66666666666667;7,5;23,8888888888889
"(2,3]";0;18,6046511627907;31,9672131147541;0;15,3846153846154;0;50,5376344086022;21,2025316455696;18,5245901639344;19,8019801980198;15,9663865546218;4,739336492891;12,5954198473282;11,437908496732;5,90909090909091;4,12371134020619;5,45454545454545;16,6666666666667;16,6666666666667;22,5;16,6666666666667
"(3,4]";5,88235294117647;39,5348837209302;10,655737704918;0;7,69230769230769;0;8,60215053763441;2,53164556962025;9,01639344262295;11,2211221122112;13,4453781512605;7,58293838862559;10,6870229007634;10,1307189542484;6,36363636363636;3,09278350515464;3,63636363636364;8,06451612903226;6,66666666666667;30;4,44444444444444
"(4,5]";1,96078431372549;18,6046511627907;2,45901639344262;0;0;12,5;2,1505376344086;2,21518987341772;6,22950819672131;7,59075907590759;7,14285714285714;8,53080568720379;7,63358778625954;8,49673202614379;5;4,12371134020619;2,72727272727273;1,0752688172043;15,5555555555556;23,5;5,55555555555556
"(5,6]";1,96078431372549;4,65116279069767;0,819672131147541;0;3,84615384615385;0;1,0752688172043;4,11392405063291;6,0655737704918;9,9009900990099;12,6050420168067;15,6398104265403;4,9618320610687;8,49673202614379;6,36363636363636;3,09278350515464;5,45454545454545;2,68817204301075;15,5555555555556;10,5;6,66666666666667
"(6,7]";3,92156862745098;0;6,55737704918033;0;3,84615384615385;12,5;3,2258064516129;5,37974683544304;5,40983606557377;10,2310231023102;9,2436974789916;11,8483412322275;1,52671755725191;8,49673202614379;7,27272727272727;2,57731958762887;10,9090909090909;4,3010752688172;5,55555555555556;2,5;11,1111111111111
"(7,8]";11,7647058823529;0;9,83606557377049;4,76190476190476;3,84615384615385;12,5;1,0752688172043;1,58227848101266;3,9344262295082;6,6006600660066;7,14285714285714;10,4265402843602;3,05343511450382;4,90196078431373;8,63636363636364;5,15463917525773;6,36363636363636;6,45161290322581;8,88888888888889;2;10,5555555555556
"(8,9]";15,6862745098039;0;5,73770491803279;14,2857142857143;7,69230769230769;6,25;3,2258064516129;0,949367088607595;2,62295081967213;5,61056105610561;5,88235294117647;7,10900473933649;2,67175572519084;7,18954248366013;8,18181818181818;9,27835051546392;13,6363636363636;7,52688172043011;3,33333333333333;1,5;11,1111111111111
"(9,10]";21,5686274509804;0;13,1147540983607;0;7,69230769230769;6,25;1,0752688172043;0,949367088607595;1,14754098360656;1,65016501650165;4,6218487394958;4,739336492891;2,29007633587786;2,94117647058824;6,81818181818182;5,67010309278351;5,45454545454545;3,76344086021505;5,55555555555556;0;5,55555555555556
"(10,11]";15,6862745098039;0;0,819672131147541;9,52380952380952;19,2307692307692;12,5;1,0752688172043;1,26582278481013;1,9672131147541;2,97029702970297;1,26050420168067;0,4739336492891;2,29007633587786;3,92156862745098;4,54545454545455;5,15463917525773;6,36363636363636;5,37634408602151;11,1111111111111;0;2,22222222222222
"(11,12]";13,7254901960784;9,30232558139535;1,63934426229508;23,8095238095238;23,0769230769231;31,25;0;0,949367088607595;1,63934426229508;3,63036303630363;2,94117647058824;2,3696682464455;4,58015267175572;2,94117647058824;1,81818181818182;0;0,909090909090909;1,0752688172043;3,33333333333333;0;0,555555555555556
"(12,13]";3,92156862745098;9,30232558139535;4,91803278688525;14,2857142857143;7,69230769230769;0;2,1505376344086;1,26582278481013;0,163934426229508;1,65016501650165;1,68067226890756;0;0,381679389312977;0,980392156862745;0;0;0,909090909090909;0;1,11111111111111;0;1,66666666666667
"(13,14]";1,96078431372549;0;2,45901639344262;14,2857142857143;0;0;2,1505376344086;0,316455696202532;0,327868852459016;0,66006600660066;0,420168067226891;0,947867298578199;0;0,326797385620915;0;0;0;0,537634408602151;0;0;0
"(14,15]";0;0;0;0;0;0;2,1505376344086;1,26582278481013;0,163934426229508;0;0,840336134453782;0,947867298578199;0;0;0;0;0;0;0;0;0
"(15,16]";1,96078431372549;0;0;14,2857142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(16,17]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,537634408602151;0;0;0
"(17,18]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(18,19]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(19,20]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
