"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"(1,2]";0;0;2,56410256410256;30,9090909090909;7,14285714285714;23,6842105263158;41,0714285714286;56,4245810055866;2,77777777777778;4,76190476190476;5,37634408602151;5,84415584415584;8,44155844155844;1,20481927710843;1,31578947368421;4,54545454545455;20,2702702702703;10,6382978723404;10,5263157894737;30;2,38095238095238
"(2,3]";0;6,89655172413793;10,2564102564103;12,7272727272727;0;2,63157894736842;33,9285714285714;10,0558659217877;11,1111111111111;8,33333333333333;9,67741935483871;1,2987012987013;1,94805194805195;2,40963855421687;3,94736842105263;4,54545454545455;16,2162162162162;4,25531914893617;29,8245614035088;9,09090909090909;4,76190476190476
"(3,4]";0;24,1379310344828;0;7,27272727272727;4,76190476190476;10,5263157894737;9,82142857142857;9,21787709497207;6,94444444444444;14,2857142857143;13,9784946236559;2,5974025974026;0;1,20481927710843;1,31578947368421;1,51515151515152;5,40540540540541;6,38297872340426;10,5263157894737;4,54545454545455;2,38095238095238
"(4,5]";0;13,7931034482759;5,12820512820513;4,54545454545455;0;5,26315789473684;0;7,54189944134078;9,72222222222222;15,4761904761905;16,1290322580645;7,79220779220779;1,2987012987013;3,6144578313253;7,89473684210526;4,54545454545455;4,05405405405405;6,38297872340426;7,01754385964912;10;3,57142857142857
"(5,6]";25;13,7931034482759;2,56410256410256;7,27272727272727;2,38095238095238;0;2,67857142857143;5,58659217877095;15,2777777777778;8,33333333333333;16,1290322580645;9,09090909090909;5,19480519480519;3,6144578313253;3,94736842105263;1,51515151515152;8,10810810810811;2,12765957446809;7,89473684210526;4,54545454545455;5,95238095238095
"(6,7]";25;0;15,3846153846154;10;0;2,63157894736842;3,57142857142857;1,39664804469274;13,8888888888889;10,7142857142857;9,67741935483871;12,987012987013;11,038961038961;8,43373493975904;7,89473684210526;3,03030303030303;2,7027027027027;8,51063829787234;7,01754385964912;6,36363636363636;17,8571428571429
"(7,8]";0;3,44827586206897;23,0769230769231;4,54545454545455;0;0;0;0,558659217877095;15,2777777777778;14,2857142857143;13,9784946236559;15,5844155844156;11,038961038961;9,63855421686747;5,26315789473684;6,06060606060606;2,7027027027027;2,12765957446809;7,89473684210526;8,18181818181818;16,6666666666667
"(8,9]";25;3,44827586206897;17,9487179487179;1,81818181818182;0;0;2,67857142857143;1,11731843575419;6,94444444444444;8,33333333333333;6,45161290322581;17,5324675324675;16,2337662337662;22,8915662650602;9,21052631578947;7,57575757575758;4,05405405405405;0;3,50877192982456;10;14,2857142857143
"(9,10]";0;13,7931034482759;7,69230769230769;2,72727272727273;0;5,26315789473684;0;0,558659217877095;2,77777777777778;4,76190476190476;3,2258064516129;8,44155844155844;16,8831168831169;16,8674698795181;26,3157894736842;24,2424242424242;2,7027027027027;4,25531914893617;2,63157894736842;3,63636363636364;5,95238095238095
"(10,11]";0;3,44827586206897;5,12820512820513;8,18181818181818;7,14285714285714;10,5263157894737;0;0;0;3,57142857142857;2,1505376344086;4,54545454545455;18,8311688311688;16,8674698795181;19,7368421052632;25,7575757575758;12,1621621621622;14,8936170212766;1,75438596491228;2,72727272727273;5,95238095238095
"(11,12]";25;3,44827586206897;5,12820512820513;7,27272727272727;21,4285714285714;10,5263157894737;0,892857142857143;1,95530726256983;6,94444444444444;1,19047619047619;3,2258064516129;3,24675324675325;2,5974025974026;8,43373493975904;9,21052631578947;9,09090909090909;9,45945945945946;21,2765957446809;2,63157894736842;3,63636363636364;4,76190476190476
"(12,13]";0;6,89655172413793;2,56410256410256;1,81818181818182;21,4285714285714;5,26315789473684;0,892857142857143;2,51396648044693;6,94444444444444;1,19047619047619;0;3,24675324675325;1,2987012987013;2,40963855421687;2,63157894736842;6,06060606060606;5,40540540540541;10,6382978723404;3,50877192982456;5,45454545454545;5,95238095238095
"(13,14]";0;3,44827586206897;2,56410256410256;0;23,8095238095238;5,26315789473684;2,67857142857143;1,95530726256983;0;2,38095238095238;0;4,54545454545455;2,5974025974026;2,40963855421687;1,31578947368421;1,51515151515152;4,05405405405405;8,51063829787234;3,50877192982456;0;7,14285714285714
"(14,15]";0;0;0;0,909090909090909;9,52380952380952;2,63157894736842;0,892857142857143;0,558659217877095;1,38888888888889;1,19047619047619;0;0,649350649350649;1,2987012987013;0;0;0;0;0;0,87719298245614;0;2,38095238095238
"(15,16]";0;0;0;0;2,38095238095238;7,89473684210526;0;0,279329608938547;0;0;0;0,649350649350649;1,2987012987013;0;0;0;0;0;0,87719298245614;1,81818181818182;0
"(16,17]";0;0;0;0;0;5,26315789473684;0,892857142857143;0,279329608938547;0;1,19047619047619;0;1,94805194805195;0;0;0;0;0;0;0;0;0
"(17,18]";0;3,44827586206897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(18,19]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(19,20]";0;0;0;0;0;2,63157894736842;0;0;0;0;0;0;0;0;0;0;2,7027027027027;0;0;0;0
