"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"(1,2]";1,85185185185185;5,55555555555556;23,5294117647059;1,40845070422535;9,02777777777778;5,17241379310345;24,1666666666667;78,7048567870486;37,7083333333333;10,4815864022663;21,8181818181818;18,957345971564;32,9411764705882;31,0043668122271;49,738219895288;66,8341708542714;40,1459854014599;22,65625;7,2463768115942;18,1818181818182;21,2290502793296
"(2,3]";3,7037037037037;30,5555555555556;5,14705882352941;1,40845070422535;10,4166666666667;1,72413793103448;52,9166666666667;11,4570361145704;24,375;15,2974504249292;7,27272727272727;1,4218009478673;2,94117647058824;4,36681222707424;3,66492146596859;3,01507537688442;22,992700729927;11,71875;8,69565217391304;19,0082644628099;14,5251396648045
"(3,4]";1,85185185185185;29,8611111111111;2,94117647058824;7,04225352112676;6,25;3,44827586206897;17,9166666666667;0,49813200498132;16,25;22,0963172804533;13,1818181818182;6,63507109004739;1,17647058823529;2,62008733624454;4,18848167539267;2,01005025125628;12,043795620438;10,9375;11,5942028985507;21,4876033057851;12,2905027932961
"(4,5]";3,7037037037037;11,1111111111111;4,41176470588235;7,04225352112676;6,25;3,44827586206897;0,833333333333333;2,61519302615193;5,41666666666667;15,8640226628895;14,0909090909091;8,05687203791469;3,52941176470588;2,62008733624454;1,57068062827225;3,01507537688442;8,02919708029197;7,03125;8,69565217391304;5,78512396694215;5,02793296089385
"(5,6]";1,85185185185185;1,38888888888889;8,08823529411765;2,8169014084507;4,16666666666667;1,72413793103448;0,833333333333333;2,11706102117061;3,125;13,314447592068;13,6363636363636;10,4265402843602;3,52941176470588;7,4235807860262;2,09424083769634;1,00502512562814;3,28467153284672;10,9375;14,4927536231884;4,13223140495868;2,79329608938547
"(6,7]";25,9259259259259;0;16,9117647058824;8,45070422535211;6,94444444444444;3,44827586206897;0;2,4906600249066;4,375;6,23229461756374;12,2727272727273;18,957345971564;12,9411764705882;8,29694323144105;4,71204188481675;2,01005025125628;3,64963503649635;10,15625;8,69565217391304;1,65289256198347;2,79329608938547
"(7,8]";24,0740740740741;0;18,3823529411765;7,04225352112676;4,86111111111111;15,5172413793103;1,25;0,87173100871731;2,70833333333333;7,08215297450425;8,18181818181818;16,5876777251185;13,5294117647059;15,2838427947598;8,37696335078534;3,51758793969849;1,09489051094891;5,46875;13,0434782608696;3,30578512396694;5,02793296089385
"(8,9]";9,25925925925926;2,77777777777778;8,82352941176471;22,5352112676056;9,72222222222222;8,62068965517241;0,416666666666667;0,37359900373599;2,91666666666667;5,38243626062323;6,81818181818182;9,00473933649289;15,2941176470588;20,0873362445415;12,0418848167539;9,54773869346734;3,28467153284672;6,25;5,79710144927536;6,61157024793388;7,26256983240224
"(9,10]";12,962962962963;1,38888888888889;1,47058823529412;23,943661971831;14,5833333333333;17,2413793103448;1,25;0,24906600249066;1,875;1,98300283286119;1,36363636363636;3,7914691943128;8,23529411764706;4,80349344978166;9,94764397905759;6,53266331658291;1,45985401459854;8,59375;7,2463768115942;9,09090909090909;12,8491620111732
"(10,11]";5,55555555555556;4,16666666666667;0;5,63380281690141;15,9722222222222;15,5172413793103;0;0,12453300124533;0,833333333333333;1,13314447592068;1,36363636363636;4,739336492891;2,94117647058824;2,62008733624454;2,61780104712042;2,51256281407035;2,18978102189781;1,5625;11,5942028985507;6,61157024793388;10,0558659217877
"(11,12]";5,55555555555556;4,16666666666667;2,94117647058824;2,8169014084507;8,33333333333333;5,17241379310345;0;0,37359900373599;0,416666666666667;0,56657223796034;0;0,947867298578199;2,35294117647059;0,873362445414847;0,523560209424084;0;1,09489051094891;3,125;2,89855072463768;2,47933884297521;5,58659217877095
"(12,13]";1,85185185185185;8,33333333333333;1,47058823529412;5,63380281690141;2,08333333333333;17,2413793103448;0,416666666666667;0;0;0,28328611898017;0;0,4739336492891;0;0;0,523560209424084;0;0,72992700729927;1,5625;0;1,65289256198347;0,558659217877095
"(13,14]";0;0;3,67647058823529;0;0;0;0;0;0;0,28328611898017;0;0;0;0;0;0;0;0;0;0;0
"(14,15]";1,85185185185185;0,694444444444444;1,47058823529412;2,8169014084507;0,694444444444444;1,72413793103448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(15,16]";0;0;0,735294117647059;0;0;0;0;0,12453300124533;0;0;0;0;0,588235294117647;0;0;0;0;0;0;0;0
"(16,17]";0;0;0;1,40845070422535;0,694444444444444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(17,18]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(18,19]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(19,20]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
