"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"(1,2]";0;17,8082191780822;7,14285714285714;21,7142857142857;0;5,55555555555556;28,448275862069;48,8207547169811;17,037037037037;8,48214285714286;17,8082191780822;30,6273062730627;4,80769230769231;0;7,69230769230769;16,6666666666667;22,3300970873786;30,379746835443;3,7593984962406;34,5911949685535;10,5263157894737
"(2,3]";10;31,5068493150685;9,34065934065934;16,5714285714286;4,25531914893617;0;59,051724137931;25;18,5185185185185;17,4107142857143;9,58904109589041;9,96309963099631;10,5769230769231;0,740740740740741;0;16,6666666666667;26,2135922330097;10,126582278481;8,27067669172932;9,43396226415094;3,94736842105263
"(3,4]";0;12,3287671232877;2,1978021978022;8;2,12765957446809;0;2,58620689655172;8,49056603773585;16,2962962962963;16,0714285714286;10,958904109589;7,01107011070111;7,69230769230769;5,92592592592593;0;3,7037037037037;10,6796116504854;6,32911392405063;8,27067669172932;4,40251572327044;3,94736842105263
"(4,5]";0;2,73972602739726;7,69230769230769;10,8571428571429;6,38297872340426;0;0;3,30188679245283;5,92592592592593;14,2857142857143;15,0684931506849;7,38007380073801;5,76923076923077;5,92592592592593;3,07692307692308;3,7037037037037;5,8252427184466;7,59493670886076;16,5413533834586;3,14465408805031;19,7368421052632
"(5,6]";20;1,36986301369863;9,34065934065934;3,42857142857143;8,51063829787234;0;0,431034482758621;5,66037735849057;8,14814814814815;12,0535714285714;16,4383561643836;12,1771217712177;1,92307692307692;4,44444444444444;7,69230769230769;0;2,9126213592233;6,32911392405063;17,2932330827068;6,28930817610063;9,21052631578947
"(6,7]";10;1,36986301369863;13,1868131868132;2,85714285714286;4,25531914893617;0;0,431034482758621;2,12264150943396;5,18518518518519;7,58928571428571;19,1780821917808;10,7011070110701;3,84615384615385;11,1111111111111;10,7692307692308;0;2,9126213592233;2,53164556962025;10,5263157894737;7,54716981132075;15,7894736842105
"(7,8]";40;2,73972602739726;23,0769230769231;4,57142857142857;4,25531914893617;5,55555555555556;0,431034482758621;0,707547169811321;11,8518518518519;8,92857142857143;6,84931506849315;7,01107011070111;17,3076923076923;17,037037037037;13,8461538461538;3,7037037037037;5,8252427184466;5,06329113924051;8,27067669172932;5,0314465408805;13,1578947368421
"(8,9]";10;6,84931506849315;9,89010989010989;9,71428571428571;0;0;0,862068965517241;0,235849056603774;2,96296296296296;7,14285714285714;2,73972602739726;5,90405904059041;21,1538461538462;18,5185185185185;10,7692307692308;14,8148148148148;4,85436893203883;10,126582278481;6,01503759398496;14,4654088050314;6,57894736842105
"(9,10]";0;4,10958904109589;4,3956043956044;10,8571428571429;19,1489361702128;16,6666666666667;0;0,707547169811321;1,48148148148148;1,78571428571429;1,36986301369863;4,7970479704797;9,61538461538462;19,2592592592593;24,6153846153846;16,6666666666667;6,79611650485437;12,6582278481013;9,02255639097744;6,28930817610063;5,26315789473684
"(10,11]";10;8,21917808219178;2,74725274725275;4,57142857142857;36,1702127659575;22,2222222222222;1,29310344827586;0,707547169811321;2,96296296296296;1,33928571428571;0;0,738007380073801;8,65384615384615;11,1111111111111;13,8461538461538;16,6666666666667;5,8252427184466;6,32911392405063;7,5187969924812;5,66037735849057;10,5263157894737
"(11,12]";0;6,84931506849315;4,94505494505495;2,85714285714286;10,6382978723404;22,2222222222222;3,01724137931034;1,17924528301887;2,22222222222222;0,892857142857143;0;1,8450184501845;6,73076923076923;4,44444444444444;3,07692307692308;7,40740740740741;3,88349514563107;2,53164556962025;3,00751879699248;1,88679245283019;0
"(12,13]";0;1,36986301369863;2,1978021978022;1,71428571428571;2,12765957446809;16,6666666666667;0,862068965517241;2,35849056603774;3,7037037037037;2,23214285714286;0;0;1,92307692307692;1,48148148148148;4,61538461538462;0;1,94174757281553;0;1,50375939849624;1,25786163522013;1,31578947368421
"(13,14]";0;1,36986301369863;1,64835164835165;1,14285714285714;2,12765957446809;11,1111111111111;2,58620689655172;0,471698113207547;2,22222222222222;1,33928571428571;0;0,738007380073801;0;0;0;0;0;0;0;0;0
"(14,15]";0;1,36986301369863;1,64835164835165;1,14285714285714;0;0;0;0,235849056603774;1,48148148148148;0,446428571428571;0;0,738007380073801;0;0;0;0;0;0;0;0;0
"(15,16]";0;0;0;0;0;0;0;0;0;0;0;0,3690036900369;0;0;0;0;0;0;0;0;0
"(16,17]";0;0;0,549450549450549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(17,18]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(18,19]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(19,20]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
