"oneyear.int";"year";"tidal_level";"sample";"Freq"
"2";"(1.2,1.8]";"1992";"high";"1mg1";NA
"6";"(1.2,1.8]";"1993";"high";"1mg1";NA
"10";"(1.2,1.8]";"1994";"high";"1mg1";NA
"14";"(1.2,1.8]";"1995";"high";"1mg1";NA
"18";"(1.2,1.8]";"1996";"high";"1mg1";NA
"22";"(1.2,1.8]";"1997";"high";"1mg1";NA
"26";"(1.2,1.8]";"1998";"high";"1mg1";NA
"30";"(1.2,1.8]";"1999";"high";"1mg1";NA
"34";"(1.2,1.8]";"2000";"high";"1mg1";NA
"38";"(1.2,1.8]";"2001";"high";"1mg1";NA
"42";"(1.2,1.8]";"2002";"high";"1mg1";NA
"46";"(1.2,1.8]";"2003";"high";"1mg1";NA
"50";"(1.2,1.8]";"2004";"high";"1mg1";NA
"54";"(1.2,1.8]";"2005";"high";"1mg1";NA
"58";"(1.2,1.8]";"2006";"high";"1mg1";NA
"62";"(1.2,1.8]";"2007";"high";"1mg1";150
"66";"(1.2,1.8]";"2008";"high";"1mg1";NA
"70";"(1.2,1.8]";"2009";"high";"1mg1";NA
"74";"(1.2,1.8]";"2010";"high";"1mg1";NA
"78";"(1.2,1.8]";"2011";"high";"1mg1";NA
"82";"(1.2,1.8]";"2012";"high";"1mg1";NA
"86";"(1.2,1.8]";"1992";"low";"1mg1";NA
"90";"(1.2,1.8]";"1993";"low";"1mg1";NA
"94";"(1.2,1.8]";"1994";"low";"1mg1";NA
"98";"(1.2,1.8]";"1995";"low";"1mg1";NA
"102";"(1.2,1.8]";"1996";"low";"1mg1";NA
"106";"(1.2,1.8]";"1997";"low";"1mg1";NA
"110";"(1.2,1.8]";"1998";"low";"1mg1";NA
"114";"(1.2,1.8]";"1999";"low";"1mg1";NA
"118";"(1.2,1.8]";"2000";"low";"1mg1";NA
"122";"(1.2,1.8]";"2001";"low";"1mg1";NA
"126";"(1.2,1.8]";"2002";"low";"1mg1";NA
"130";"(1.2,1.8]";"2003";"low";"1mg1";NA
"134";"(1.2,1.8]";"2004";"low";"1mg1";NA
"138";"(1.2,1.8]";"2005";"low";"1mg1";NA
"142";"(1.2,1.8]";"2006";"low";"1mg1";NA
"146";"(1.2,1.8]";"2007";"low";"1mg1";NA
"150";"(1.2,1.8]";"2008";"low";"1mg1";NA
"154";"(1.2,1.8]";"2009";"low";"1mg1";NA
"158";"(1.2,1.8]";"2010";"low";"1mg1";NA
"162";"(1.2,1.8]";"2011";"low";"1mg1";NA
"166";"(1.2,1.8]";"2012";"low";"1mg1";NA
"170";"(1.2,1.8]";"1992";"middle";"1mg1";NA
"174";"(1.2,1.8]";"1993";"middle";"1mg1";NA
"178";"(1.2,1.8]";"1994";"middle";"1mg1";NA
"182";"(1.2,1.8]";"1995";"middle";"1mg1";NA
"186";"(1.2,1.8]";"1996";"middle";"1mg1";NA
"190";"(1.2,1.8]";"1997";"middle";"1mg1";NA
"194";"(1.2,1.8]";"1998";"middle";"1mg1";NA
"198";"(1.2,1.8]";"1999";"middle";"1mg1";NA
"202";"(1.2,1.8]";"2000";"middle";"1mg1";NA
"206";"(1.2,1.8]";"2001";"middle";"1mg1";NA
"210";"(1.2,1.8]";"2002";"middle";"1mg1";NA
"214";"(1.2,1.8]";"2003";"middle";"1mg1";NA
"218";"(1.2,1.8]";"2004";"middle";"1mg1";NA
"222";"(1.2,1.8]";"2005";"middle";"1mg1";NA
"226";"(1.2,1.8]";"2006";"middle";"1mg1";NA
"230";"(1.2,1.8]";"2007";"middle";"1mg1";NA
"234";"(1.2,1.8]";"2008";"middle";"1mg1";NA
