year;tidal_level;sample
1992;high;mg1
1992;midlow;mg10
1992;midlow;mg11
1992;low;mg12
1992;middle;mg13
1992;middle;mg14
1992;high;mg15
1992;low;mg16
1992;low;mg17
1992;high;mg2
1992;high;mg3
1992;high;mg4
1992;high;mg5
1992;high;mg6
1992;middle;mg7
1992;middle;mg8
1992;middle;mg9
1993;high;mg1
1993;midlow;mg10
1993;low;mg11
1993;low;mg12
1993;low;mg13
1993;high;mg2
1993;high;mg3
1993;middle;mg4
1993;middle;mg5
1993;middle;mg6
1993;midlow;mg7
1993;midlow;mg8
1993;midlow;mg9
1994;high;mg1
1994;middle;mg2
1994;midlow;mg3
1994;low;mg4
1995;high;mg1
1995;middle;mg2
1995;midlow;mg3
1995;low;mg4
1996;high;mg1
1996;middle;mg2
1996;midlow;mg3
1996;low;mg4
1997;high;mg1
1997;middle;mg2
1997;midlow;mg3
1997;low;mg4
1998;high;mg1
1998;middle;mg2
1998;midlow;mg3
1998;low;mg4
1999;high;mg1
1999;middle;mg2
1999;midlow;mg3
1999;low;mg4
2000;high;mg1
2000;middle;mg2
2000;midlow;mg3
2000;low;mg4
2001;high;mg1
2001;middle;mg2
2001;midlow;mg3
2001;low;mg4
2002;high;mg1
2002;middle;mg2
2002;midlow;mg3
2002;low;mg4
2003;high;mg1
2003;middle;mg2
2003;midlow;mg3
2003;low;mg4
2004;high;mg1-1
2004;high;mg1-2
2004;high;mg1-3
2004;middle;mg2-1
2004;middle;mg2-2
2004;middle;mg2-3
2004;midlow;mg3-1
2004;midlow;mg3-2
2004;midlow;mg3-3
2004;low;mg4-1
2004;low;mg4-2
2004;low;mg4-3
2005;high;mg1
2005;middle;mg2
2005;midlow;mg3
2005;low;mg4
2006;high;mg1-1
2006;high;mg1-2
2006;high;mg1-3
2006;middle;mg2-1
2006;middle;mg2-2
2006;middle;mg2-3
2006;midlow;mg3-1
2006;midlow;mg3-2
2006;midlow;mg3-3
2006;low;mg4-1
2006;low;mg4-2
2006;low;mg4-3
2007;high;1mg1
2007;middle;1mg2
2007;midlow;1mg3
2007;low;1mg4
2007;high;2mg1
2007;middle;2mg2
2007;midlow;2mg3
2007;low;2mg4
2007;high;3mg1
2007;middle;3mg2
2007;midlow;3mg3
2007;low;3mg4
2008;high;Mg1-1
2008;high;Mg1-2
2008;high;Mg1-3
2008;middle;Mg2-1
2008;middle;Mg2-2
2008;middle;Mg2-3
2008;midlow;Mg3-1
2008;midlow;Mg3-2
2008;midlow;Mg3-3
2008;low;Mg4-1
2008;low;Mg4-2
2008;low;Mg4-3
2009;high;mg1
2009;middle;mg2
2009;midlow;mg3
2009;low;mg4
2010;high;mg1
2010;middle;mg2
2010;midlow;mg3
2010;low;mg4
2011;high;Mg1-1
2011;high;Mg1-2
2011;high;Mg1-3
2011;middle;Mg2-1
2011;middle;Mg2-2
2011;middle;Mg2-3
2011;midlow;Mg3-1
2011;midlow;Mg3-2
2011;midlow;Mg3-3
2011;low;Mg4-1
2011;low;Mg4-2
2011;low;Mg4-3
2012;high;mg1
2012;middle;mg2
2012;midlow;mg3
2012;low;mg4
