"fucus_zone";"high_beatch";"low_beatch";"zostera_zone";"fucus_zone.1";"high_beatch.1";"low_beatch.1";"zostera_zone.1"
"1992";23,9397649113416;12,4474718345175;51,9692443144928;22,5336407005942;10,7313876198273;3,72876845360685;34,6420657479533;10,9462207072357
"1993";25,6256661147005;11,4829539435035;50,4910854551611;73,677374789655;11,2736042838906;4,56133549209282;15,9545383022238;12,8819222617885
"1994";66,8544470132894;24,6411760489985;121,107913664894;108,887994559157;16,8130916250212;2,05660122927701;2,89238838052458;24,6364697569671
"1995";83,0074512464156;68,8092608139875;113,746137481295;61,457636468408;19,3216100897256;9,20417694587803;4,20610094801293;9,74744651083858
"1996";94,2499723416757;62,2197793591732;152,952970236724;65,1837640103349;23,1381026645887;20,5825240590684;19,4171002668857;8,54914159000316
"1997";88,3636887397365;74,2349892767439;160,601300633119;96,6592593226373;22,9086495400503;32,4865522052557;21,5797334079839;18,3558312078162
"1998";92,9939163904859;25,6363281915906;174,823175511732;136,762131151721;27,4949286021517;8,52446355511167;17,0190694242313;22,5555928034241
"1999";88,7791219097818;14,5189614728566;140,077699728875;95,6703671827463;29,7190511466347;11,842030534757;19,5960933959994;12,2660249439428
"2000";91,84067809198;71,3204586169314;133,581369370451;117,693777484791;20,6881990806678;6,222301067853;30,761228786278;11,3007418922806
"2002";150,028587782186;63,2771073699303;76,6948415087173;140,247084041205;36,8845161168387;12,480249119539;27,4693760160796;43,6132656105834
"2004";151,86733772587;62,4694747203441;NA;117,039182466481;23,1570853849673;26,539045859077;NA;10,2825554303697
