"fucus_zone";"high_beatch";"low_beatch";"zostera_zone";"fucus_zone.1";"high_beatch.1";"low_beatch.1";"zostera_zone.1"
"1992";114;94,2857142857143;560;222;55,6417109729742;35,5137225561602;457,055795281058;103,315052146335
"1993";336;412,5;354;405;120,896650077659;127,5;77,3045923603508;80,0312438988674
"1994";745;462;930;765;220,646776545682;179,147983522003;170,58722109232;112,716458425556
"1995";1134;907,5;685;660;269,733201515868;222,275167303952;154,806330619907;117,728501222092
"1996";770;697,5;870;645;214,895323355349;257,01410467132;68,847657912234;71,9374728496908
"1997";720;620;880;702;265,631323454144;130;96,9535971483266;70,7389567353096
"1998";2750;2130;1182;2424;820,036584549738;623,899030292563;238,985355199853;437,053772435384
"1999";3895;7240;2328;2405;1354,64571013974;5833,70379776005;623,798044241884;498,843662884475
"2000";2760;2640;2017,5;2562;373,095162123553;870;394,279406005437;721,036753570856
"2002";3250;1360;810;2497,5;337,786915081091;401,497197997695;240;952,57873690315
"2004";3090;2800;NA;1818;889,016310311571;1066,63020771025;NA;302,628485110044
