"Var1";"Var2";"Var3";"Freq"
"1";"1992";"II-1";"fucus_zone";NA
"2";"1993";"II-1";"fucus_zone";NA
"3";"1994";"II-1";"fucus_zone";NA
"4";"1995";"II-1";"fucus_zone";NA
"5";"1996";"II-1";"fucus_zone";NA
"6";"1997";"II-1";"fucus_zone";NA
"7";"1998";"II-1";"fucus_zone";NA
"8";"1999";"II-1";"fucus_zone";NA
"9";"2000";"II-1";"fucus_zone";2400
"10";"2002";"II-1";"fucus_zone";NA
"11";"2004";"II-1";"fucus_zone";3630
"12";"1992";"II-10";"fucus_zone";150
"13";"1993";"II-10";"fucus_zone";NA
"14";"1994";"II-10";"fucus_zone";690
"15";"1995";"II-10";"fucus_zone";1230
"16";"1996";"II-10";"fucus_zone";1020
"17";"1997";"II-10";"fucus_zone";1890
"18";"1998";"II-10";"fucus_zone";NA
"19";"1999";"II-10";"fucus_zone";NA
"20";"2000";"II-10";"fucus_zone";NA
"21";"2002";"II-10";"fucus_zone";NA
"22";"2004";"II-10";"fucus_zone";NA
"23";"1992";"II-11";"fucus_zone";NA
"24";"1993";"II-11";"fucus_zone";660
"25";"1994";"II-11";"fucus_zone";1350
"26";"1995";"II-11";"fucus_zone";NA
"27";"1996";"II-11";"fucus_zone";750
"28";"1997";"II-11";"fucus_zone";NA
"29";"1998";"II-11";"fucus_zone";2010
"30";"1999";"II-11";"fucus_zone";NA
"31";"2000";"II-11";"fucus_zone";NA
"32";"2002";"II-11";"fucus_zone";NA
"33";"2004";"II-11";"fucus_zone";NA
"34";"1992";"II-12";"fucus_zone";NA
"35";"1993";"II-12";"fucus_zone";NA
"36";"1994";"II-12";"fucus_zone";NA
"37";"1995";"II-12";"fucus_zone";NA
"38";"1996";"II-12";"fucus_zone";1590
"39";"1997";"II-12";"fucus_zone";NA
"40";"1998";"II-12";"fucus_zone";3090
"41";"1999";"II-12";"fucus_zone";6990
"42";"2000";"II-12";"fucus_zone";NA
"43";"2002";"II-12";"fucus_zone";NA
"44";"2004";"II-12";"fucus_zone";1350
"45";"1992";"II-13";"fucus_zone";NA
"46";"1993";"II-13";"fucus_zone";NA
"47";"1994";"II-13";"fucus_zone";NA
"48";"1995";"II-13";"fucus_zone";NA
"49";"1996";"II-13";"fucus_zone";780
"50";"1997";"II-13";"fucus_zone";NA
"51";"1998";"II-13";"fucus_zone";NA
"52";"1999";"II-13";"fucus_zone";1740
"53";"2000";"II-13";"fucus_zone";NA
"54";"2002";"II-13";"fucus_zone";NA
"55";"2004";"II-13";"fucus_zone";NA
"56";"1992";"II-14";"fucus_zone";NA
"57";"1993";"II-14";"fucus_zone";150
"58";"1994";"II-14";"fucus_zone";NA
"59";"1995";"II-14";"fucus_zone";NA
"60";"1996";"II-14";"fucus_zone";30
"61";"1997";"II-14";"fucus_zone";90
"62";"1998";"II-14";"fucus_zone";NA
"63";"1999";"II-14";"fucus_zone";8100
"64";"2000";"II-14";"fucus_zone";NA
"65";"2002";"II-14";"fucus_zone";NA
"66";"2004";"II-14";"fucus_zone";NA
"67";"1992";"II-15";"fucus_zone";NA
"68";"1993";"II-15";"fucus_zone";NA
"69";"1994";"II-15";"fucus_zone";NA
"70";"1995";"II-15";"fucus_zone";NA
"71";"1996";"II-15";"fucus_zone";NA
"72";"1997";"II-15";"fucus_zone";900
"73";"1998";"II-15";"fucus_zone";NA
"74";"1999";"II-15";"fucus_zone";1140
"75";"2000";"II-15";"fucus_zone";NA
"76";"2002";"II-15";"fucus_zone";NA
"77";"2004";"II-15";"fucus_zone";NA
"78";"1992";"II-16";"fucus_zone";0
"79";"1993";"II-16";"fucus_zone";270
"80";"1994";"II-16";"fucus_zone";NA
"81";"1995";"II-16";"fucus_zone";NA
"82";"1996";"II-16";"fucus_zone";NA
"83";"1997";"II-16";"fucus_zone";480
"84";"1998";"II-16";"fucus_zone";NA
"85";"1999";"II-16";"fucus_zone";180
"86";"2000";"II-16";"fucus_zone";NA
"87";"2002";"II-16";"fucus_zone";NA
"88";"2004";"II-16";"fucus_zone";NA
"89";"1992";"II-17";"fucus_zone";0
"90";"1993";"II-17";"fucus_zone";NA
"91";"1994";"II-17";"fucus_zone";NA
"92";"1995";"II-17";"fucus_zone";NA
"93";"1996";"II-17";"fucus_zone";NA
"94";"1997";"II-17";"fucus_zone";NA
"95";"1998";"II-17";"fucus_zone";NA
"96";"1999";"II-17";"fucus_zone";NA
"97";"2000";"II-17";"fucus_zone";NA
"98";"2002";"II-17";"fucus_zone";NA
"99";"2004";"II-17";"fucus_zone";NA
"100";"1992";"II-18";"fucus_zone";NA
"101";"1993";"II-18";"fucus_zone";30
"102";"1994";"II-18";"fucus_zone";NA
"103";"1995";"II-18";"fucus_zone";NA
"104";"1996";"II-18";"fucus_zone";450
"105";"1997";"II-18";"fucus_zone";NA
"106";"1998";"II-18";"fucus_zone";NA
"107";"1999";"II-18";"fucus_zone";NA
"108";"2000";"II-18";"fucus_zone";NA
"109";"2002";"II-18";"fucus_zone";NA
"110";"2004";"II-18";"fucus_zone";NA
"111";"1992";"II-19";"fucus_zone";NA
"112";"1993";"II-19";"fucus_zone";NA
"113";"1994";"II-19";"fucus_zone";NA
"114";"1995";"II-19";"fucus_zone";NA
"115";"1996";"II-19";"fucus_zone";NA
"116";"1997";"II-19";"fucus_zone";750
"117";"1998";"II-19";"fucus_zone";NA
"118";"1999";"II-19";"fucus_zone";NA
"119";"2000";"II-19";"fucus_zone";NA
"120";"2002";"II-19";"fucus_zone";NA
"121";"2004";"II-19";"fucus_zone";NA
"122";"1992";"II-2";"fucus_zone";NA
"123";"1993";"II-2";"fucus_zone";NA
"124";"1994";"II-2";"fucus_zone";NA
"125";"1995";"II-2";"fucus_zone";1260
"126";"1996";"II-2";"fucus_zone";NA
"127";"1997";"II-2";"fucus_zone";NA
"128";"1998";"II-2";"fucus_zone";NA
"129";"1999";"II-2";"fucus_zone";NA
"130";"2000";"II-2";"fucus_zone";3120
"131";"2002";"II-2";"fucus_zone";NA
"132";"2004";"II-2";"fucus_zone";5340
"133";"1992";"II-20";"fucus_zone";NA
"134";"1993";"II-20";"fucus_zone";570
"135";"1994";"II-20";"fucus_zone";NA
"136";"1995";"II-20";"fucus_zone";NA
"137";"1996";"II-20";"fucus_zone";NA
"138";"1997";"II-20";"fucus_zone";210
"139";"1998";"II-20";"fucus_zone";NA
"140";"1999";"II-20";"fucus_zone";5220
"141";"2000";"II-20";"fucus_zone";NA
"142";"2002";"II-20";"fucus_zone";NA
"143";"2004";"II-20";"fucus_zone";NA
"144";"1992";"II-3";"fucus_zone";NA
"145";"1993";"II-3";"fucus_zone";NA
"146";"1994";"II-3";"fucus_zone";NA
"147";"1995";"II-3";"fucus_zone";NA
"148";"1996";"II-3";"fucus_zone";NA
"149";"1997";"II-3";"fucus_zone";NA
"150";"1998";"II-3";"fucus_zone";NA
"151";"1999";"II-3";"fucus_zone";NA
"152";"2000";"II-3";"fucus_zone";3600
"153";"2002";"II-3";"fucus_zone";NA
"154";"2004";"II-3";"fucus_zone";NA
"155";"1992";"II-4";"fucus_zone";NA
"156";"1993";"II-4";"fucus_zone";NA
"157";"1994";"II-4";"fucus_zone";NA
"158";"1995";"II-4";"fucus_zone";1920
"159";"1996";"II-4";"fucus_zone";NA
"160";"1997";"II-4";"fucus_zone";NA
"161";"1998";"II-4";"fucus_zone";NA
"162";"1999";"II-4";"fucus_zone";NA
"163";"2000";"II-4";"fucus_zone";1920
"164";"2002";"II-4";"fucus_zone";NA
"165";"2004";"II-4";"fucus_zone";2040
"166";"1992";"II-5";"fucus_zone";NA
"167";"1993";"II-5";"fucus_zone";NA
"168";"1994";"II-5";"fucus_zone";NA
"169";"1995";"II-5";"fucus_zone";NA
"170";"1996";"II-5";"fucus_zone";NA
"171";"1997";"II-5";"fucus_zone";NA
"172";"1998";"II-5";"fucus_zone";1380
"173";"1999";"II-5";"fucus_zone";NA
"174";"2000";"II-5";"fucus_zone";NA
"175";"2002";"II-5";"fucus_zone";2670
"176";"2004";"II-5";"fucus_zone";NA
"177";"1992";"II-6";"fucus_zone";NA
"178";"1993";"II-6";"fucus_zone";NA
"179";"1994";"II-6";"fucus_zone";780
"180";"1995";"II-6";"fucus_zone";1020
"181";"1996";"II-6";"fucus_zone";NA
"182";"1997";"II-6";"fucus_zone";NA
"183";"1998";"II-6";"fucus_zone";5670
"184";"1999";"II-6";"fucus_zone";NA
"185";"2000";"II-6";"fucus_zone";NA
"186";"2002";"II-6";"fucus_zone";3240
"187";"2004";"II-6";"fucus_zone";NA
"188";"1992";"II-7";"fucus_zone";NA
"189";"1993";"II-7";"fucus_zone";NA
"190";"1994";"II-7";"fucus_zone";1350
"191";"1995";"II-7";"fucus_zone";NA
"192";"1996";"II-7";"fucus_zone";NA
"193";"1997";"II-7";"fucus_zone";NA
"194";"1998";"II-7";"fucus_zone";120
"195";"1999";"II-7";"fucus_zone";NA
"196";"2000";"II-7";"fucus_zone";NA
"197";"2002";"II-7";"fucus_zone";3840
"198";"2004";"II-7";"fucus_zone";NA
"199";"1992";"II-8";"fucus_zone";120
"200";"1993";"II-8";"fucus_zone";NA
"201";"1994";"II-8";"fucus_zone";60
"202";"1995";"II-8";"fucus_zone";NA
"203";"1996";"II-8";"fucus_zone";NA
"204";"1997";"II-8";"fucus_zone";NA
"205";"1998";"II-8";"fucus_zone";4230
"206";"1999";"II-8";"fucus_zone";NA
"207";"2000";"II-8";"fucus_zone";NA
"208";"2002";"II-8";"fucus_zone";NA
"209";"2004";"II-8";"fucus_zone";NA
"210";"1992";"II-9";"fucus_zone";300
"211";"1993";"II-9";"fucus_zone";NA
"212";"1994";"II-9";"fucus_zone";240
"213";"1995";"II-9";"fucus_zone";240
"214";"1996";"II-9";"fucus_zone";NA
"215";"1997";"II-9";"fucus_zone";NA
"216";"1998";"II-9";"fucus_zone";NA
"217";"1999";"II-9";"fucus_zone";NA
"218";"2000";"II-9";"fucus_zone";NA
