"oneyear.int";"year";"tidal_level";"sample";"Freq"
"2";"(1.2,1.8]";"1992";"fucus_zone";"II-1";NA
"6";"(1.2,1.8]";"1993";"fucus_zone";"II-1";NA
"10";"(1.2,1.8]";"1994";"fucus_zone";"II-1";NA
"14";"(1.2,1.8]";"1995";"fucus_zone";"II-1";NA
"18";"(1.2,1.8]";"1996";"fucus_zone";"II-1";NA
"22";"(1.2,1.8]";"1997";"fucus_zone";"II-1";NA
"26";"(1.2,1.8]";"1998";"fucus_zone";"II-1";NA
"30";"(1.2,1.8]";"1999";"fucus_zone";"II-1";NA
"34";"(1.2,1.8]";"2000";"fucus_zone";"II-1";300
"38";"(1.2,1.8]";"2002";"fucus_zone";"II-1";NA
"42";"(1.2,1.8]";"2004";"fucus_zone";"II-1";630
"46";"(1.2,1.8]";"1992";"high_beatch";"II-1";0
"50";"(1.2,1.8]";"1993";"high_beatch";"II-1";0
"54";"(1.2,1.8]";"1994";"high_beatch";"II-1";0
"58";"(1.2,1.8]";"1995";"high_beatch";"II-1";0
"62";"(1.2,1.8]";"1996";"high_beatch";"II-1";NA
"66";"(1.2,1.8]";"1997";"high_beatch";"II-1";NA
"70";"(1.2,1.8]";"1998";"high_beatch";"II-1";510
"74";"(1.2,1.8]";"1999";"high_beatch";"II-1";NA
"78";"(1.2,1.8]";"2000";"high_beatch";"II-1";NA
"82";"(1.2,1.8]";"2002";"high_beatch";"II-1";NA
"86";"(1.2,1.8]";"2004";"high_beatch";"II-1";NA
"90";"(1.2,1.8]";"1992";"low_beatch";"II-1";NA
"94";"(1.2,1.8]";"1993";"low_beatch";"II-1";NA
"98";"(1.2,1.8]";"1994";"low_beatch";"II-1";NA
"102";"(1.2,1.8]";"1995";"low_beatch";"II-1";NA
"106";"(1.2,1.8]";"1996";"low_beatch";"II-1";0
"110";"(1.2,1.8]";"1997";"low_beatch";"II-1";0
"114";"(1.2,1.8]";"1998";"low_beatch";"II-1";NA
"118";"(1.2,1.8]";"1999";"low_beatch";"II-1";270
"122";"(1.2,1.8]";"2000";"low_beatch";"II-1";NA
"126";"(1.2,1.8]";"2002";"low_beatch";"II-1";90
"130";"(1.2,1.8]";"2004";"low_beatch";"II-1";NA
"134";"(1.2,1.8]";"1992";"zostera_zone";"II-1";NA
"138";"(1.2,1.8]";"1993";"zostera_zone";"II-1";NA
"142";"(1.2,1.8]";"1994";"zostera_zone";"II-1";NA
"146";"(1.2,1.8]";"1995";"zostera_zone";"II-1";NA
