"";"sample";"year";"(0,1]";"(1,2]";"(2,3]";"(3,4]";"(4,5]";"(5,6]";"(6,7]";"(7,8]";"(8,9]";"(9,10]";"(10,11]";"(11,12]";"(12,13]";"(13,14]";"(14,15]";"(15,16]";"(16,17]";"(17,18]";"(18,19]";"(19,20]";"V22";"tidal.level"
"1";"II-10";1992;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;"fucus_zone"
"2";"II-10";1993;0;0;1;0;0;0;0;2;0;0;0;0;1;0;1;1;1;0;0;0;7;"zostera_zone"
"3";"II-10";1994;0;0;1;2;2;3;0;2;1;0;2;4;2;1;2;0;1;0;0;0;23;"fucus_zone"
"4";"II-10";1995;0;14;3;4;1;3;1;3;4;1;3;2;1;0;1;0;0;0;0;0;41;"fucus_zone"
"5";"II-10";1996;0;1;5;4;1;2;2;1;1;8;2;1;3;0;1;1;0;1;0;0;34;"fucus_zone"
"6";"II-10";1997;5;7;8;1;7;4;5;7;3;3;6;9;3;0;0;0;0;0;0;0;68;"fucus_zone"
"7";"II-10";1998;27;86;5;1;1;1;0;1;3;4;8;3;4;0;0;0;0;0;0;0;144;"zostera_zone"
"8";"II-10";1999;4;35;24;16;6;4;5;2;0;2;2;3;0;0;1;1;0;0;0;0;105;"zostera_zone"
"9";"II-10";2000;1;31;9;7;1;6;4;6;0;2;2;1;0;2;2;3;1;0;0;0;78;"low_beatch"
"10";"II-10";2002;2;8;0;2;1;5;6;2;6;4;0;0;0;0;0;0;0;0;0;0;36;"high_beatch"
"11";"II-10";2004;16;0;4;4;1;6;5;6;3;2;5;2;0;4;0;0;0;0;0;0;58;"zostera_zone"
"12";"II-11";1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"zostera_zone"
"13";"II-11";1993;2;0;4;10;2;1;0;0;1;0;1;3;0;0;0;0;0;0;0;0;24;"fucus_zone"
"14";"II-11";1994;0;7;1;2;4;8;7;4;6;0;1;0;1;3;1;0;0;0;0;0;45;"fucus_zone"
"15";"II-11";1995;0;2;1;2;2;4;1;0;2;1;0;1;3;2;2;0;0;1;0;0;24;"low_beatch"
"16";"II-11";1996;0;0;0;1;0;5;2;2;2;7;1;3;0;2;0;0;0;0;0;0;25;"fucus_zone"
"17";"II-11";1997;0;1;0;0;1;0;1;1;0;6;2;2;5;2;0;0;0;0;0;0;21;"high_beatch"
"18";"II-11";1998;8;27;4;7;8;1;4;1;3;3;2;2;2;1;1;1;0;0;0;0;75;"fucus_zone"
"19";"II-11";1999;17;101;12;7;3;3;2;2;1;0;1;0;5;2;0;0;0;0;0;0;156;"zostera_zone"
"20";"II-11";2000;1;24;29;10;3;3;3;2;1;3;2;0;0;0;1;0;0;0;1;1;84;"low_beatch"
"21";"II-11";2002;0;17;18;32;14;12;11;6;6;8;7;4;4;3;2;0;0;0;0;0;144;"zostera_zone"
"22";"II-11";2004;12;24;10;4;1;1;0;1;3;1;0;1;0;2;1;1;0;0;0;0;62;"zostera_zone"
"23";"II-1";1992;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;3;"high_beatch"
"24";"II-1";1993;0;0;0;5;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;"high_beatch"
"25";"II-1";1994;0;0;10;8;12;2;0;0;0;2;1;1;0;0;0;0;0;0;0;0;36;"high_beatch"
"26";"II-1";1995;1;1;5;9;1;1;7;7;4;0;3;3;0;0;0;0;0;0;0;0;42;"high_beatch"
"27";"II-1";1996;0;0;2;1;3;1;0;3;2;0;2;4;0;4;0;0;0;0;1;0;23;"low_beatch"
