year;tidal.level;sample
1992;high_beatch;II-1
1992;high_beatch;II-2
1992;high_beatch;II-3
1992;zostera_zone;II-4
1992;low_beatch;II-5
1992;low_beatch;II-6
1992;zostera_zone;II-7
1992;fucus_zone;II-8
1992;fucus_zone;II-9
1992;fucus_zone;II-10
1992;zostera_zone;II-11
1992;zostera_zone;II-12
1992;high_beatch;II-13
1992;high_beatch;II-14
1992;high_beatch;II-15
1992;fucus_zone;II-16
1992;fucus_zone;II-17
1992;high_beatch;II-18
1992;low_beatch;II-19
1992;zostera_zone;II-20
1993;high_beatch;II-1
1993;zostera_zone;II-2
1993;low_beatch;II-3
1993;low_beatch;II-4
1993;low_beatch;II-5
1993;low_beatch;II-6
1993;low_beatch;II-7
1993;zostera_zone;II-8
1993;zostera_zone;II-9
1993;zostera_zone;II-10
1993;fucus_zone;II-11
1993;zostera_zone;II-12
1993;high_beatch;II-13
1993;fucus_zone;II-14
1993;high_beatch;II-15
1993;fucus_zone;II-16
1993;high_beatch;II-17
1993;fucus_zone;II-18
1993;zostera_zone;II-19
1993;fucus_zone;II-20
1994;high_beatch;II-1
1994;high_beatch;II-2
1994;high_beatch;II-3
1994;high_beatch;II-4
1994;high_beatch;II-5
1994;fucus_zone;II-6
1994;fucus_zone;II-7
1994;fucus_zone;II-8
1994;fucus_zone;II-9
1994;fucus_zone;II-10
1994;fucus_zone;II-11
1994;zostera_zone;II-12
1994;zostera_zone;II-13
1994;zostera_zone;II-14
1994;zostera_zone;II-15
1994;low_beatch;II-16
1994;low_beatch;II-17
1994;low_beatch;II-18
1994;zostera_zone;II-19
1994;zostera_zone;II-20
1995;high_beatch;II-1
1995;fucus_zone;II-2
1995;high_beatch;II-3
1995;fucus_zone;II-4
1995;high_beatch;II-5
1995;fucus_zone;II-6
1995;zostera_zone;II-7
1995;high_beatch;II-8
1995;fucus_zone;II-9
1995;fucus_zone;II-10
1995;low_beatch;II-11
1995;low_beatch;II-12
1995;zostera_zone;II-13
1995;low_beatch;II-14
1995;low_beatch;II-15
1995;zostera_zone;II-16
1995;low_beatch;II-17
1995;low_beatch;II-18
1995;zostera_zone;II-19
1995;zostera_zone;II-20
1996;low_beatch;II-1
1996;low_beatch;II-2
1996;low_beatch;II-3
1996;low_beatch;II-4
1996;low_beatch;II-5
1996;zostera_zone;II-6
1996;zostera_zone;II-7
1996;zostera_zone;II-8
1996;zostera_zone;II-9
1996;fucus_zone;II-10
1996;fucus_zone;II-11
1996;fucus_zone;II-12
1996;fucus_zone;II-13
1996;fucus_zone;II-14
1996;high_beatch;II-15
1996;high_beatch;II-16
1996;high_beatch;II-17
1996;fucus_zone;II-18
1996;high_beatch;II-19
1996;low_beatch;II-20
1997;low_beatch;II-1
1997;low_beatch;II-2
1997;low_beatch;II-3
1997;low_beatch;II-4
1997;low_beatch;II-5
1997;zostera_zone;II-6
1997;zostera_zone;II-7
1997;zostera_zone;II-8
1997;zostera_zone;II-9
1997;fucus_zone;II-10
1997;high_beatch;II-11
1997;high_beatch;II-12
1997;high_beatch;II-13
1997;fucus_zone;II-14
1997;fucus_zone;II-15
1997;fucus_zone;II-16
1997;low_beatch;II-17
1997;zostera_zone;II-18
1997;fucus_zone;II-19
1997;fucus_zone;II-20
1998;high_beatch;II-1
1998;high_beatch;II-2
1998;high_beatch;II-3
1998;high_beatch;II-4
1998;fucus_zone;II-5
1998;fucus_zone;II-6
1998;fucus_zone;II-7
1998;fucus_zone;II-8
1998;zostera_zone;II-9
1998;zostera_zone;II-10
1998;fucus_zone;II-11
1998;fucus_zone;II-12
1998;zostera_zone;II-13
1998;zostera_zone;II-14
1998;zostera_zone;II-15
1998;low_beatch;II-16
1998;low_beatch;II-17
1998;low_beatch;II-18
1998;low_beatch;II-19
1998;low_beatch;II-20
1999;low_beatch;II-1
1999;low_beatch;II-2
1999;low_beatch;II-3
1999;low_beatch;II-4
1999;low_beatch;II-5
1999;zostera_zone;II-6
1999;zostera_zone;II-7
1999;zostera_zone;II-8
1999;zostera_zone;II-9
1999;zostera_zone;II-10
1999;zostera_zone;II-11
1999;fucus_zone;II-12
1999;fucus_zone;II-13
1999;fucus_zone;II-14
1999;fucus_zone;II-15
1999;fucus_zone;II-16
1999;high_beatch;II-17
1999;high_beatch;II-18
1999;high_beatch;II-19
1999;fucus_zone;II-20
2000;fucus_zone;II-1
2000;fucus_zone;II-2
2000;fucus_zone;II-3
2000;fucus_zone;II-4
2000;zostera_zone;II-5
2000;zostera_zone;II-6
2000;zostera_zone;II-7
2000;zostera_zone;II-8
2000;low_beatch;II-9
2000;low_beatch;II-10
2000;low_beatch;II-11
2000;low_beatch;II-12
2000;zostera_zone;II-13
2000;high_beatch;II-14
2000;high_beatch;II-15
2002;low_beatch;II-1
2002;low_beatch;II-2
2002;zostera_zone;II-3
2002;zostera_zone;II-4
2002;fucus_zone;II-5
2002;fucus_zone;II-6
2002;fucus_zone;II-7
2002;high_beatch;II-8
2002;high_beatch;II-9
2002;high_beatch;II-10
2002;zostera_zone;II-11
2002;zostera_zone;II-12
2004;fucus_zone;II-1
2004;fucus_zone;II-2
2004;zostera_zone;II-3
2004;fucus_zone;II-4
2004;high_beatch;II-5
2004;high_beatch;II-6
2004;high_beatch;II-7
2004;zostera_zone;II-8
2004;zostera_zone;II-9
2004;zostera_zone;II-10
2004;zostera_zone;II-11
2004;fucus_zone;II-12
