year;tidal_level;sample;Length.mm
2006;middle;sgl1;10
2006;middle;sgl1;2,2
2006;middle;sgl1;1,3
2006;middle;sgl1;10,3
2006;middle;sgl1;1,3
2006;middle;sgl1;11,8
2006;middle;sgl1;2,2
2006;middle;sgl1;11
2006;middle;sgl1;1,5
2006;middle;sgl1;9,6
2006;middle;sgl1;1,2
2006;middle;sgl1;12,5
2006;middle;sgl1;1,4
2006;middle;sgl1;3,7
2006;middle;sgl1;1,5
2006;middle;sgl2;1,2
2006;middle;sgl2;1,6
2006;middle;sgl2;1,1
2006;middle;sgl2;2
2006;middle;sgl2;1,2
2006;middle;sgl2;1,5
2006;middle;sgl2;3,2
2006;middle;sgl3;1,5
2006;middle;sgl3;2,5
2006;middle;sgl3;1,7
2006;middle;sgl3;1,7
2006;middle;sgl3;1,5
2006;middle;sgl3;1,5
2006;middle;sgl3;1,5
2006;middle;sgl3;1,8
2006;middle;sgl3;1,5
2006;middle;sgl3;1,7
2006;middle;sgl3;1,8
2006;middle;sgl3;1,6
2006;middle;sgl3;5
2006;middle;sgl3;1,6
2006;middle;sgl3;1,9
2006;middle;sgl3;3,1
2006;middle;sgl3;1,6
2006;middle;sgl3;1,8
2006;middle;sgl3;1,6
2006;middle;sgl3;1,9
2006;middle;sgl3;1,3
2006;middle;sgl3;7,6
2006;middle;sgl3;3,2
2006;middle;sgl3;1,1
2006;middle;sgl3;1,5
2006;middle;sgl4;8,4
2006;middle;sgl4;11,2
2006;middle;sgl4;9,6
2006;middle;sgl4;9,3
2006;middle;sgl4;12,7
2006;middle;sgl4;3,9
2006;middle;sgl4;12,8
2006;middle;sgl4;13,5
2006;middle;sgl4;12,1
2006;middle;sgl4;10,7
2006;middle;sgl4;10,2
2006;middle;sgl4;4,2
2006;middle;sgl4;9,5
2006;middle;sgl4;12
2006;middle;sgl4;11,2
2006;middle;sgl4;10
2006;middle;sgl4;5,4
2006;middle;sgl4;1,4
2006;middle;sgl4;7,1
2006;middle;sgl4;12,4
2006;middle;sgl4;11,2
2006;middle;sgl4;10
2006;middle;sgl4;5,9
2006;middle;sgl4;2,5
2006;middle;sgl4;9,2
2006;middle;sgl4;8,2
2006;middle;sgl4;9,2
2006;middle;sgl4;8,7
2006;middle;sgl4;6
2006;middle;sgl4;1,7
2006;middle;sgl4;12,2
2006;middle;sgl4;8,8
2006;middle;sgl4;13,5
2006;middle;sgl4;9,5
2006;middle;sgl4;6,9
2006;middle;sgl4;3,7
2006;middle;sgl4;11,3
2006;middle;sgl4;10
2006;middle;sgl4;11
2006;middle;sgl4;11,4
2006;middle;sgl4;6,1
2006;middle;sgl4;13,5
2006;middle;sgl4;8,9
2006;middle;sgl4;9
2006;middle;sgl4;10,7
2006;middle;sgl4;5,8
2006;middle;sgl4;9,5
2006;middle;sgl5;9,6
2006;middle;sgl5;7
2006;middle;sgl5;12,5
2006;middle;sgl5;10
2006;middle;sgl5;10
2006;middle;sgl5;5,7
2006;middle;sgl5;9
2006;middle;sgl5;5,7
2006;middle;sgl5;9,3
2006;middle;sgl5;4,9
2006;middle;sgl5;10,3
2006;middle;sgl5;2,5
2006;middle;sgl5;10,5
2006;middle;sgl5;5,7
2006;middle;sgl5;8,8
2006;middle;sgl5;6,5
