year;sample;Length.mm;corenum
2015;16;1.7;10
2015;16;7.4;10
2015;17;3.1;10
2015;17;1.7;10
2015;17;2.5;10
2015;17;2.2;10
2015;17;2.3;10
2015;17;2.3;10
2015;17;1.7;10
2015;18;2.5;10
2015;19;1.6;10
2015;19;1.8;10
2015;19;2.7;10
2015;19;1.8;10
2015;20;1.8;10
2015;20;1.8;10
2015;20;2.2;10
2015;20;2.3;10
2015;21;3.7;10
2015;21;5.3;10
2015;21;5.7;10
2015;21;1.7;10
2015;21;3.3;10
2015;21;5.9;10
2015;21;2.0;10
2015;21;1.9;10
2015;21;1.9;10
2015;21;3.7;10
2015;21;2.1;10
2015;21;NA;10
2015;21;2.3;10
2015;21;1.4;10
2015;21;2.2;10
2015;21;3.2;10
2015;21;1.4;10
2015;21;1.3;10
2015;21;1.6;10
2015;22;4.3;10
2015;22;1.7;10
2015;22;2.3;10
2015;22;1.9;10
2015;23;2.1;10
2015;23;2.5;10
2015;23;4.1;10
2015;23;2.1;10
2015;23;2.0;10
2015;23;3.1;10
2015;23;1.7;10
2015;23;1.8;10
2015;23;2.3;10
2015;24;2.4;10
2015;24;NA;10
2015;24;2.4;10
2015;24;2.6;10
2015;24;1.9;10
2015;24;2.3;10
2015;24;1.6;10
2015;24;2.3;10
2015;24;2.2;10
2015;24;1.5;10
2015;24;2.7;10
2015;24;3.0;10
2015;25;3.4;10
2015;25;1.7;10
2015;25;1.4;10
2014;16;3.8;10
2014;16;2.6;10
2014;16;2.7;10
2014;17;3.4;10
2014;17;2.2;10
2014;18;3.5;10
2014;18;2.7;10
2014;18;2.6;10
2014;18;3.2;10
2014;18;2.4;10
2014;18;2.1;10
2014;18;2.2;10
2014;18;2.3;10
2014;18;2.1;10
2014;18;2.1;10
2014;18;1.8;10
2014;18;2.1;10
2014;18;3.1;10
2014;18;1.8;10
2014;18;3.0;10
2014;18;2.2;10
2014;19;2.2;10
2014;19;2.9;10
2014;19;3.4;10
2014;19;2.5;10
2014;19;2.4;10
2014;19;3.1;10
2014;19;3.3;10
2014;19;3.2;10
2014;19;2.7;10
2014;19;2.6;10
2014;19;2.6;10
2014;19;2.0;10
2014;19;2.8;10
2014;19;1.7;10
2014;19;2.2;10
2014;19;2.4;10
2014;19;3.5;10
2014;19;1.8;10
2014;19;2.3;10
2014;19;2.2;10
2014;19;2.4;10
2014;19;2.7;10
2014;19;2.5;10
2014;19;3.0;10
2014;19;2.7;10
2014;19;2.2;10
2014;19;2.1;10
2014;19;1.8;10
2014;19;3.7;10
2014;19;2.5;10
2014;19;2.4;10
2014;19;4.1;10
2014;19;3.6;10
2014;19;3.5;10
2014;19;2.3;10
2014;19;2.9;10
2014;19;3.6;10
2014;19;9.9;10
2014;19;2.1;10
2014;19;2.5;10
2014;19;2.6;10
2014;19;1.7;10
2014;19;2.4;10
2014;19;3.2;10
2014;19;2.8;10
2014;19;3.0;10
2014;19;2.3;10
2014;20;2.2;10
2014;20;1.7;10
2014;20;2.3;10
2014;20;2.2;10
2014;20;3.5;10
2014;20;2.7;10
2014;20;3.4;10
2014;20;2.9;10
2014;20;1.6;10
2014;20;2.3;10
2014;20;3.3;10
2014;20;3.1;10
2014;20;3.4;10
2014;20;2.4;10
2014;20;3.0;10
2014;20;1.8;10
2014;20;1.9;10
2014;20;3.9;10
2014;21;6.4;10
2014;21;5.6;10
2014;21;6.0;10
2014;21;3.3;10
2014;21;7.8;10
2014;21;4.7;10
2014;21;6.4;10
2014;21;6.9;10
2014;21;2.2;10
2014;21;2.5;10
2014;21;2.3;10
2014;21;1.9;10
2014;21;1.5;10
2014;21;2.3;10
2014;21;2.5;10
2014;21;2.7;10
2014;21;3.6;10
2014;21;3.1;10
2014;21;1.6;10
2014;21;1.4;10
2014;21;1.9;10
2014;21;3.2;10
2014;21;1.7;10
2014;21;1.8;10
2014;21;2.1;10
2014;21;2.6;10
2014;21;1.5;10
2014;21;2.8;10
2014;21;1.7;10
2014;21;2.5;10
2014;21;1.5;10
2014;21;2.3;10
2014;21;1.8;10
2014;21;1.8;10
2014;21;1.5;10
2014;21;2.2;10
2014;21;1.7;10
2014;21;1.4;10
2014;21;2.3;10
2014;21;2.3;10
2014;21;2.8;10
2014;21;1.9;10
2014;21;2.0;10
2014;21;9.3;10
2014;21;4.7;10
2014;21;4.3;10
2014;22;2.5;10
2014;22;2.6;10
2014;22;2.9;10
2014;22;2.7;10
2014;22;2.1;10
2014;22;5.3;10
2014;22;2.9;10
2014;22;3.0;10
2014;22;4.4;10
2014;22;3.2;10
2014;22;2.7;10
2014;22;5.0;10
2014;22;5.0;10
2014;22;2.3;10
2014;22;3.3;10
2014;23;3.4;10
2014;23;4.0;10
2014;23;2.6;10
2014;23;2.6;10
2014;23;2.8;10
2014;23;2.0;10
2014;23;1.9;10
2014;23;2.7;10
2014;23;1.9;10
2014;23;3.0;10
2014;24;2.5;10
2014;24;2.3;10
2014;24;2.7;10
2014;24;4.2;10
2013;16;4.5;10
2013;17;2.9;10
2013;17;3.9;10
2013;17;5.9;10
2013;17;7.5;10
2013;17;6.9;10
2013;17;4.5;10
2013;19;5.1;10
2013;19;6.0;10
2013;19;6.8;10
2013;19;6.1;10
2013;19;4.9;10
2013;19;3.6;10
2013;19;7.7;10
2013;20;2.3;10
2013;20;6.3;10
2013;20;6.9;10
2013;20;7.4;10
2013;20;5.3;10
2013;20;3.8;10
2013;20;3.2;10
2013;20;5.4;10
2013;20;3.8;10
2013;20;6.5;10
2013;20;5.1;10
2013;20;4.0;10
2013;20;3.3;10
2013;21;2.8;10
2013;21;4.7;10
2013;21;2.8;10
2013;21;2.6;10
2013;21;2.2;10
2013;21;2.0;10
2013;21;2.0;10
2013;21;1.8;10
2013;21;3.0;10
2013;21;1.6;10
2013;21;1.9;10
2013;21;2.1;10
2013;21;1.4;10
2013;21;3.8;10
2013;21;1.7;10
2013;21;4.1;10
2013;21;4.1;10
2013;21;7.0;10
2013;21;6.0;10
2013;21;12.1;10
2013;21;6.2;10
2013;21;4.2;10
2013;21;1.8;10
2013;22;NA;10
2013;22;7.2;10
2013;22;6.3;10
2013;22;5.7;10
2013;22;7.0;10
2013;22;5.4;10
2013;22;4.9;10
2013;22;6.8;10
2013;22;5.3;10
2013;22;6.6;10
2013;22;5.7;10
2013;22;6.7;10
2013;22;5.7;10
2013;22;7.5;10
2013;22;5.3;10
2013;22;5.8;10
2013;22;6.1;10
2013;22;4.9;10
2013;22;4.7;10
2013;22;4.4;10
2013;22;4.4;10
2013;22;3.6;10
2013;22;3.1;10
2013;22;3.3;10
2013;22;4.7;10
2013;22;2.7;10
2013;22;1.9;10
2013;22;2.7;10
2013;22;2.5;10
2013;23;2.2;10
2013;23;2.8;10
2013;23;6.7;10
2013;23;3.4;10
2013;23;6.7;10
2013;23;5.8;10
2013;23;5.1;10
2013;23;1.8;10
2013;23;6.2;10
