year;sample;Length.mm;corenum
2015;1;2.7;14
2015;3;2.1;14
2015;3;1.6;14
2015;4;2.1;14
2015;5;2.1;14
2015;6;2.3;14
2015;6;2.2;14
2015;6;1.6;14
2015;6;2.1;14
2015;6;1.4;14
2015;6;2.4;14
2015;6;1.9;14
2015;6;2.9;14
2015;6;NA;14
2015;6;1.6;14
2015;6;2.3;14
2015;6;1.7;14
2015;6;1.6;14
2015;6;1.8;14
2015;6;1.8;14
2015;6;1.7;14
2015;7;2.2;14
2015;8;2.8;14
2015;8;3.4;14
2015;8;2.7;14
2015;8;2.7;14
2015;8;2.2;14
2015;8;4.2;14
2015;8;2.3;14
2015;10;2.1;14
2015;10;1.4;14
2015;10;2.0;14
2015;10;2.5;14
2015;10;2.3;14
2015;10;3.2;14
2015;11;2.1;14
2015;11;2.3;14
2015;11;2.4;14
2015;12;1.7;14
2015;12;2.0;14
2015;12;1.7;14
2015;12;1.6;14
2015;12;1.4;14
2015;12;1.4;14
2015;12;2.2;14
2015;12;1.5;14
2015;12;1.8;14
2015;12;2.3;14
2015;12;1.8;14
2015;12;1.7;14
2015;12;1.6;14
2015;12;1.5;14
2015;12;1.6;14
2015;13;1.5;14
2015;13;1.4;14
2015;15;1.8;14
2015;15;1.5;14
2014;1;3.2;14
2014;2;3.1;14
2014;2;2.2;14
2014;2;3.3;14
2014;2;2.7;14
2014;2;2.6;14
2014;3;3.6;14
2014;3;4.5;14
2014;4;2.1;14
2014;4;2.2;14
2014;4;1.8;14
2014;4;2.2;14
2014;4;3.6;14
2014;4;2.8;14
2014;4;2.1;14
2014;4;2.0;14
2014;4;2.3;14
2014;4;2.7;14
2014;4;2.2;14
2014;4;2.0;14
2014;4;3.1;14
2014;4;2.1;14
2014;5;4.2;14
2014;6;2.5;14
2014;6;2.2;14
2014;6;2.4;14
2014;6;1.6;14
2014;6;2.0;14
2014;6;2.1;14
2014;6;3.4;14
2014;6;1.6;14
2014;6;1.5;14
2014;6;1.9;14
2014;6;2.0;14
2014;6;2.7;14
2014;6;1.4;14
2014;6;1.4;14
2014;6;1.3;14
2014;6;2.2;14
2014;6;1.9;14
2014;6;1.5;14
2014;7;1.9;14
2014;7;1.7;14
2014;7;1.4;14
2014;7;1.9;14
2014;7;1.4;14
2014;7;2.2;14
2014;7;2.4;14
2014;7;1.8;14
2014;7;2.0;14
2014;7;1.4;14
2014;7;1.9;14
2014;7;1.7;14
2014;7;1.6;14
2014;7;1.7;14
2014;7;1.6;14
2014;7;2.0;14
2014;7;1.5;14
2014;7;1.8;14
2014;7;2.0;14
2014;7;NA;14
2014;7;1.7;14
2014;7;2.9;14
2014;7;1.8;14
2014;7;2.3;14
2014;7;1.9;14
2014;7;2.2;14
2014;7;2.2;14
2014;7;3.2;14
2014;7;2.0;14
2014;7;1.6;14
2014;7;1.5;14
2014;7;2.0;14
2014;7;1.7;14
2014;7;1.5;14
2014;7;1.6;14
2014;7;1.6;14
2014;7;1.6;14
2014;7;1.6;14
2014;7;1.7;14
2014;7;2.1;14
2014;7;2.3;14
2014;7;3.7;14
2014;7;3.3;14
2014;7;1.8;14
2014;7;2.4;14
2014;7;3.7;14
2014;7;1.4;14
2014;7;2.4;14
2014;8;2.4;14
2014;8;2.8;14
2014;8;2.8;14
2014;8;2.1;14
2014;8;3.0;14
2014;8;3.7;14
2014;8;3.5;14
2014;8;3.3;14
2014;8;2.8;14
2014;8;2.7;14
2014;8;3.8;14
2014;8;2.8;14
2014;8;2.7;14
2014;8;4.0;14
2014;8;2.0;14
2014;8;1.9;14
2014;9;5.3;14
2014;9;3.8;14
2014;9;2.5;14
2014;9;3.4;14
2014;9;4.4;14
2014;9;4.1;14
2014;9;3.1;14
2014;9;2.1;14
2014;9;3.6;14
2014;9;3.1;14
2014;9;2.4;14
2014;9;3.3;14
2014;10;2.9;14
2014;10;2.2;14
2014;10;1.9;14
2014;10;3.3;14
2014;11;2.8;14
2014;11;1.9;14
2014;11;2.4;14
2014;12;2.2;14
2014;12;2.7;14
2014;12;1.5;14
2014;12;2.2;14
2014;13;2.9;14
2013;1;3.5;14
2013;2;1.7;14
2013;2;3.3;14
2013;3;2.2;14
2013;3;1.8;14
2013;3;2.2;14
2013;3;2.0;14
2013;3;NA;14
2013;3;2.2;14
2013;3;2.3;14
2013;3;1.6;14
2013;3;1.8;14
2013;3;1.6;14
2013;3;2.0;14
2013;3;2.9;14
2013;3;1.7;14
2013;3;2.7;14
2013;3;2.5;14
2013;4;2.1;14
2013;4;1.9;14
2013;4;1.9;14
2013;4;1.9;14
2013;4;1.8;14
2013;4;1.4;14
2013;4;1.8;14
2013;4;1.6;14
2013;6;1.6;14
2013;6;2.6;14
2013;6;1.7;14
2013;6;1.6;14
2013;7;1.7;14
2013;7;1.5;14
2013;7;NA;14
2013;7;1.4;14
2013;7;2.2;14
2013;7;1.4;14
2013;8;3.2;14
2013;8;3.8;14
2013;8;4.1;14
2013;8;4.4;14
2013;8;2.7;14
2013;8;2.7;14
2013;8;4.5;14
2013;8;3.8;14
2013;8;4.0;14
2013;8;2.8;14
2013;8;4.2;14
2013;8;2.6;14
2013;8;4.4;14
2013;8;3.5;14
2013;8;2.7;14
2013;8;2.6;14
2013;8;2.1;14
2013;8;3.3;14
2013;8;4.6;14
2013;8;4.5;14
2013;8;2.2;14
2013;8;3.3;14
2013;8;2.7;14
2013;8;3.0;14
2013;8;2.9;14
2013;8;3.3;14
2013;8;4.6;14
2013;8;1.8;14
2013;9;3.9;14
2013;9;3.1;14
2013;9;3.7;14
2013;9;2.2;14
2013;9;3.3;14
2013;9;4.3;14
2013;9;3.5;14
2013;9;2.5;14
2013;9;2.4;14
2013;9;2.0;14
2013;9;1.3;14
2013;9;1.5;14
2013;9;5.9;14
2013;9;2.0;14
2013;9;2.4;14
2013;9;2.7;14
2013;9;2.6;14
2013;9;2.3;14
2013;9;2.4;14
2013;9;2.2;14
2013;9;2.3;14
2013;9;3.7;14
2013;9;2.3;14
2013;9;2.4;14
2013;9;1.9;14
2013;9;2.2;14
2013;9;3.0;14
2013;9;3.9;14
2013;9;1.7;14
2013;9;2.1;14
2013;9;3.3;14
2013;9;2.8;14
2013;9;2.8;14
2013;9;2.7;14
2013;10;2.2;14
2013;10;1.5;14
2013;10;1.6;14
2013;10;1.7;14
2013;10;1.8;14
2013;10;1.7;14
2013;10;1.6;14
2013;10;1.8;14
2013;10;1.5;14
2013;10;1.8;14
2013;10;1.6;14
2013;10;1.7;14
2013;10;1.8;14
2013;10;1.8;14
2013;10;1.9;14
2013;10;2.2;14
2013;10;1.9;14
2013;10;3.7;14
2013;10;1.9;14
2013;10;1.7;14
2013;10;1.8;14
2013;10;4.2;14
2013;10;1.7;14
2013;10;1.8;14
2013;10;1.9;14
2013;10;2.2;14
2013;10;2.2;14
2013;10;2.0;14
2013;10;1.5;14
2013;12;1.5;14
2013;12;2.6;14
2013;12;3.7;14
2013;12;3.8;14
2013;12;1.9;14
2013;12;1.8;14
2013;12;NA;14
2013;12;NA;14
2013;12;1.8;14
2013;12;2.7;14
2013;12;1.5;14
2013;12;1.5;14
2013;12;1.7;14
2013;12;1.7;14
2013;12;2.3;14
2013;12;1.8;14
2013;12;1.5;14
2013;12;1.7;14
2013;12;1.7;14
2013;12;NA;14
2013;12;1.6;14
2013;12;1.7;14
