"Var1";"Var2";"Freq"
"1";"1";"2001";NA
"2";"2";"2001";NA
"3";"3";"2001";NA
"4";"4";"2001";NA
"5";"5";"2001";NA
"6";"6";"2001";NA
"7";"7";"2001";1590
"8";"8";"2001";300
"9";"9";"2001";1650
"10";"10";"2001";990
"11";"11";"2001";1260
"12";"12";"2001";1350
"13";"13";"2001";780
"14";"14";"2001";2100
"15";"15";"2001";1290
"16";"16";"2001";NA
"17";"1";"2002";840
"18";"2";"2002";30
"19";"3";"2002";1320
"20";"4";"2002";780
"21";"5";"2002";0
"22";"6";"2002";0
"23";"7";"2002";360
"24";"8";"2002";1440
"25";"9";"2002";510
"26";"10";"2002";1980
"27";"11";"2002";1800
"28";"12";"2002";2670
"29";"13";"2002";2010
"30";"14";"2002";2100
"31";"15";"2002";1770
"32";"16";"2002";1530
"33";"1";"2003";270
"34";"2";"2003";1020
"35";"3";"2003";1560
"36";"4";"2003";1500
"37";"5";"2003";4710
"38";"6";"2003";0
"39";"7";"2003";3540
"40";"8";"2003";2370
"41";"9";"2003";3150
"42";"10";"2003";1770
"43";"11";"2003";720
"44";"12";"2003";720
"45";"13";"2003";2400
"46";"14";"2003";1650
"47";"15";"2003";990
"48";"16";"2003";NA
"49";"1";"2004";600
"50";"2";"2004";240
"51";"3";"2004";1200
"52";"4";"2004";780
"53";"5";"2004";5430
"54";"6";"2004";1950
"55";"7";"2004";1050
"56";"8";"2004";6120
"57";"9";"2004";390
"58";"10";"2004";330
"59";"11";"2004";1620
"60";"12";"2004";480
"61";"13";"2004";4680
"62";"14";"2004";NA
"63";"15";"2004";NA
"64";"16";"2004";NA
"65";"1";"2005";1230
"66";"2";"2005";1860
"67";"3";"2005";1080
"68";"4";"2005";180
"69";"5";"2005";750
"70";"6";"2005";600
"71";"7";"2005";270
"72";"8";"2005";420
"73";"9";"2005";480
"74";"10";"2005";990
"75";"11";"2005";1860
"76";"12";"2005";600
"77";"13";"2005";120
"78";"14";"2005";150
"79";"15";"2005";2310
"80";"16";"2005";NA
"81";"1";"2006";960
"82";"2";"2006";120
"83";"3";"2006";330
"84";"4";"2006";2370
"85";"5";"2006";150
"86";"6";"2006";1740
"87";"7";"2006";750
"88";"8";"2006";90
"89";"9";"2006";1050
"90";"10";"2006";1110
"91";"11";"2006";300
"92";"12";"2006";1140
"93";"13";"2006";NA
"94";"14";"2006";NA
"95";"15";"2006";NA
"96";"16";"2006";NA
"97";"1";"2007";30
"98";"2";"2007";750
"99";"3";"2007";390
"100";"4";"2007";1470
"101";"5";"2007";1710
"102";"6";"2007";3090
"103";"7";"2007";90
"104";"8";"2007";180
"105";"9";"2007";810
"106";"10";"2007";870
"107";"11";"2007";3480
"108";"12";"2007";5310
"109";"13";"2007";300
"110";"14";"2007";780
"111";"15";"2007";1920
"112";"16";"2007";NA
"113";"1";"2008";1380
"114";"2";"2008";2490
"115";"3";"2008";900
"116";"4";"2008";270
"117";"5";"2008";1080
"118";"6";"2008";2040
"119";"7";"2008";3390
"120";"8";"2008";270
"121";"9";"2008";2130
"122";"10";"2008";390
"123";"11";"2008";NA
"124";"12";"2008";NA
"125";"13";"2008";NA
"126";"14";"2008";NA
"127";"15";"2008";NA
"128";"16";"2008";NA
"129";"1";"2009";360
"130";"2";"2009";1320
"131";"3";"2009";660
"132";"4";"2009";780
"133";"5";"2009";2850
"134";"6";"2009";1170
"135";"7";"2009";660
"136";"8";"2009";1170
"137";"9";"2009";360
"138";"10";"2009";1560
"139";"11";"2009";180
"140";"12";"2009";2400
"141";"13";"2009";1680
"142";"14";"2009";1260
"143";"15";"2009";420
"144";"16";"2009";NA
"145";"1";"2010";360
"146";"2";"2010";1110
"147";"3";"2010";240
"148";"4";"2010";780
"149";"5";"2010";60
"150";"6";"2010";840
"151";"7";"2010";930
"152";"8";"2010";660
"153";"9";"2010";720
"154";"10";"2010";930
"155";"11";"2010";1260
"156";"12";"2010";1410
"157";"13";"2010";450
"158";"14";"2010";90
"159";"15";"2010";390
"160";"16";"2010";NA
"161";"1";"2011";30
"162";"2";"2011";330
"163";"3";"2011";180
"164";"4";"2011";360
"165";"5";"2011";0
"166";"6";"2011";0
"167";"7";"2011";300
"168";"8";"2011";2250
"169";"9";"2011";150
"170";"10";"2011";1080
"171";"11";"2011";330
"172";"12";"2011";60
"173";"13";"2011";270
"174";"14";"2011";30
"175";"15";"2011";90
"176";"16";"2011";NA
"177";"1";"2012";0
"178";"2";"2012";480
"179";"3";"2012";60
"180";"4";"2012";330
"181";"5";"2012";0
"182";"6";"2012";210
"183";"7";"2012";120
"184";"8";"2012";330
"185";"9";"2012";180
"186";"10";"2012";270
"187";"11";"2012";60
"188";"12";"2012";60
"189";"13";"2012";0
"190";"14";"2012";30
"191";"15";"2012";0
"192";"16";"2012";NA
