"(1,2.5]";"(2.5,7.9]";"(7.9,22.3]"
"2001";19,0981432360743;72,1485411140583;8,75331564986737
"2002";35,8934169278997;52,0376175548589;12,0689655172414
"2003";54,5454545454545;41,1363636363636;4,31818181818182
"2004";62,7261761158022;37,1531966224367;0,120627261761158
"2005";39,3023255813954;59,5348837209302;1,16279069767442
"2006";40,0593471810089;59,3471810089021;0,593471810089021
"2007";66,0056657223796;32,2946175637394;1,69971671388102
"2008";49,3723849372385;45,81589958159;4,81171548117155
"2009";41,5329768270945;44,2067736185383;14,2602495543672
"2010";30,791788856305;48,9736070381232;20,2346041055718
"2011";34,6153846153846;48,3516483516484;17,032967032967
"2012";74,6478873239437;22,5352112676056;2,8169014084507
