year;sample;Length.mm
2001;7;2,5
2001;7;3,8
2001;7;7,7
2001;7;3,4
2001;7;3,5
2001;7;4,3
2001;7;3,1
2001;7;5,0
2001;7;2,4
2001;7;3,5
2001;7;3,8
2001;7;14,0
2001;7;3,5
2001;7;3,5
2001;7;2,5
2001;7;4,2
2001;7;4,4
2001;7;2,9
2001;7;2,6
2001;7;2,4
2001;7;3,1
2001;7;3,8
2001;7;3,4
2001;7;2,9
2001;7;3,0
2001;7;2,9
2001;7;4,0
2001;7;4,2
2001;7;3,5
2001;7;4,6
2001;7;4,4
2001;7;4,4
2001;7;3,3
2001;7;3,2
2001;7;3,4
2001;7;2,5
2001;7;4,1
2001;7;3,1
2001;7;3,3
2001;7;5,6
2001;7;4,5
2001;7;5,8
2001;7;3,1
2001;7;4,1
2001;7;1,9
2001;7;4,1
2001;7;2,7
2001;7;5,0
2001;7;3,8
2001;7;4,4
2001;7;3,9
2001;7;3,4
2001;7;3,6
2001;8;3,0
2001;8;4,0
2001;8;3,3
2001;8;2,2
2001;8;2,2
2001;8;2,6
2001;8;3,2
2001;8;1,5
2001;8;4,2
2001;8;2,6
2001;9;6,2
2001;9;6,8
2001;9;5,1
2001;9;6,7
2001;9;4,4
2001;9;6,4
2001;9;4,5
2001;9;2,5
2001;9;5,2
2001;9;5,9
2001;9;5,2
2001;9;6,1
2001;9;3,6
2001;9;6,4
2001;9;4,9
2001;9;3,3
2001;9;2,5
2001;9;4,0
2001;9;2,3
2001;9;2,7
2001;9;3,2
2001;9;4,2
2001;9;2,5
2001;9;2,4
2001;9;1,5
2001;9;7,0
2001;9;3,0
2001;9;2,6
2001;9;4,0
2001;9;5,7
2001;9;6,5
2001;9;4,6
2001;9;3,5
2001;9;7,0
2001;9;5,1
2001;9;3,6
2001;9;3,7
2001;9;6,2
2001;9;8,7
2001;9;2,7
2001;9;5,6
2001;9;4,9
2001;9;1,6
2001;9;4,0
2001;9;5,9
2001;9;3,6
2001;9;6,9
2001;9;6,7
2001;9;6,7
2001;9;1,9
2001;9;4,4
2001;9;1,6
2001;9;6,2
2001;9;7,2
2001;9;1,8
2001;10;7,4
2001;10;5,5
2001;10;6,5
2001;10;5,2
2001;10;8,3
2001;10;8,2
2001;10;3,2
2001;10;3,6
2001;10;3,9
2001;10;5,5
2001;10;8,6
2001;10;8,5
2001;10;3,6
2001;10;3,0
2001;10;9,6
2001;10;3,9
2001;10;8,2
2001;10;14,9
2001;10;6,1
2001;10;8,7
2001;10;6,9
2001;10;6,4
2001;10;9,3
2001;10;4,1
2001;10;6,5
2001;10;8,2
2001;10;5,8
2001;10;5,2
2001;10;6,0
2001;10;8,0
2001;10;9,0
2001;10;5,9
2001;10;8,3
2001;11;3,4
2001;11;3,1
2001;11;2,4
2001;11;2,3
2001;11;5,4
2001;11;1,5
2001;11;5,1
2001;11;4,3
2001;11;2,8
2001;11;1,5
2001;11;2,6
2001;11;3,0
2001;11;2,0
2001;11;4,3
2001;11;4,3
2001;11;2,2
2001;11;4,3
2001;11;4,0
2001;11;2,8
2001;11;5,8
2001;11;3,0
2001;11;2,4
2001;11;2,8
2001;11;2,1
2001;11;8,4
2001;11;2,2
2001;11;3,7
2001;11;2,8
2001;11;1,6
2001;11;2,6
2001;11;3,5
2001;11;3,6
2001;11;3,9
2001;11;3,2
2001;11;2,6
2001;11;2,5
2001;11;NA
2001;11;4,6
2001;11;1,8
2001;11;3,4
2001;11;2,5
2001;11;3,7
2001;11;2,8
2001;12;7,2
2001;12;3,4
2001;12;7,2
2001;12;6,7
2001;12;6,8
2001;12;8,0
2001;12;9,5
2001;12;6,5
2001;12;5,1
2001;12;6,2
2001;12;8,9
2001;12;11,0
2001;12;8,2
2001;12;2,3
2001;12;5,3
2001;12;8,9
2001;12;2,6
2001;12;4,0
2001;12;2,4
2001;12;5,2
2001;12;1,4
2001;12;7,8
2001;12;7,4
2001;12;1,8
2001;12;8,3
2001;12;6,0
2001;12;7,0
2001;12;3,1
2001;12;2,2
2001;12;8,6
2001;12;4,8
2001;12;12,6
2001;12;8,0
2001;12;7,0
2001;12;5,2
2001;12;2,3
2001;12;2,2
2001;12;6,7
2001;12;4,8
2001;12;4,0
2001;12;1,4
2001;12;1,4
2001;12;1,4
2001;12;1,4
2001;12;1,5
2001;13;3,2
2001;13;4,4
2001;13;2,9
2001;13;6,3
2001;13;2,4
2001;13;3,5
2001;13;4,4
2001;13;4,5
2001;13;7,6
2001;13;5,0
2001;13;4,6
2001;13;4,5
2001;13;6,5
2001;13;6,7
2001;13;1,5
2001;13;3,5
2001;13;3,1
2001;13;3,8
2001;13;3,6
2001;13;3,1
2001;13;4,8
2001;13;6,4
2001;13;6,5
2001;13;4,1
2001;13;2,2
2001;13;3,6
2001;14;8,1
2001;14;7,0
2001;14;3,5
2001;14;7,3
2001;14;3,1
2001;14;7,5
2001;14;7,3
2001;14;2,5
2001;14;4,5
2001;14;6,0
2001;14;5,4
2001;14;2,5
2001;14;3,6
2001;14;2,1
2001;14;8,4
2001;14;2,2
2001;14;5,8
2001;14;5,9
2001;14;2,1
2001;14;1,8
2001;14;4,9
2001;14;6,4
2001;14;5,8
2001;14;1,8
2001;14;2,5
2001;14;6,1
2001;14;2,2
2001;14;8,2
2001;14;6,9
2001;14;4,7
2001;14;6,4
2001;14;5,4
2001;14;3,6
2001;14;4,6
2001;14;7,6
2001;14;2,2
2001;14;4,5
2001;14;6,6
2001;14;6,1
2001;14;4,6
2001;14;6,1
2001;14;5,6
2001;14;2,6
2001;14;7,1
2001;14;1,5
2001;14;7,9
2001;14;7,3
2001;14;10,3
2001;14;7,5
2001;14;3,3
2001;14;2,1
2001;14;1,9
2001;14;2,4
2001;14;1,9
2001;14;6,8
2001;14;2,0
2001;14;2,6
2001;14;4,0
2001;14;3,7
2001;14;8,2
2001;14;2,5
2001;14;2,3
2001;14;7,0
2001;14;2,2
2001;14;8,0
2001;14;4,9
2001;14;4,7
2001;14;2,6
2001;14;1,5
2001;14;3,8
2001;15;6,4
2001;15;2,7
2001;15;6,2
2001;15;6,5
2001;15;5,4
2001;15;6,9
2001;15;4,1
2001;15;1,6
2001;15;5,0
2001;15;5,2
2001;15;7,2
2001;15;5,9
2001;15;6,1
2001;15;3,8
2001;15;5,5
2001;15;3,8
2001;15;11,7
2001;15;4,3
2001;15;1,5
2001;15;4,3
2001;15;6,6
2001;15;6,1
2001;15;6,0
2001;15;6,9
2001;15;3,4
2001;15;4,7
2001;15;5,0
2001;15;3,2
2001;15;4,4
2001;15;3,6
2001;15;5,6
2001;15;4,0
2001;15;5,6
2001;15;2,4
2001;15;7,2
2001;15;5,6
2001;15;5,1
2001;15;4,6
2001;15;2,2
2001;15;2,0
2001;15;3,5
2001;15;3,6
2001;15;4,6
2002;1;4,0
2002;1;4,3
2002;1;3,0
2002;1;2,5
2002;1;3,4
2002;1;4,5
2002;1;2,6
2002;1;1,8
2002;1;1,7
2002;1;3,4
2002;1;3,6
2002;1;1,8
2002;1;2,6
2002;1;1,6
2002;1;2,8
2002;1;4,6
2002;1;2,7
2002;1;3,5
2002;1;2,5
2002;1;2,9
2002;1;1,6
2002;1;2,4
2002;1;3,1
2002;1;3,2
2002;1;2,9
2002;1;2,4
2002;1;3,1
2002;1;NA
2002;1;2,8
2002;2;3,4
2002;2;NA
2002;3;5,6
2002;3;3,8
2002;3;5,0
2002;3;4,9
2002;3;3,6
2002;3;5,8
2002;3;4,7
2002;3;3,3
2002;3;2,6
2002;3;2,8
2002;3;2,5
2002;3;2,0
2002;3;2,4
2002;3;3,5
2002;3;4,0
2002;3;3,6
2002;3;3,8
2002;3;1,4
2002;3;2,1
2002;3;1,6
2002;3;2,9
2002;3;3,6
2002;3;2,9
2002;3;4,0
2002;3;4,0
2002;3;2,8
2002;3;3,2
2002;3;2,1
2002;3;4,4
2002;3;3,8
2002;3;3,7
2002;3;3,4
2002;3;3,3
2002;3;2,8
2002;3;2,7
2002;3;2,7
2002;3;4,0
2002;3;4,2
2002;3;3,5
2002;3;3,2
2002;3;3,7
2002;3;2,8
2002;3;2,3
2002;3;3,1
2002;4;4,3
2002;4;2,3
2002;4;5,0
2002;4;1,5
2002;4;1,0
2002;4;1,3
2002;4;4,5
2002;4;1,6
2002;4;3,6
2002;4;1,9
2002;4;1,3
2002;4;4,7
2002;4;4,3
2002;4;1,2
2002;4;NA
2002;4;2,5
2002;4;2,6
2002;4;1,8
2002;4;4,7
2002;4;1,4
2002;4;3,4
2002;4;1,8
2002;4;1,5
2002;4;2,5
2002;4;1,8
2002;4;1,4
2002;4;1,4
2002;4;4,3
2002;7;2,8
2002;7;2,9
2002;7;5,5
2002;7;3,1
2002;7;2,5
2002;7;2,2
2002;7;2,3
2002;7;2,7
2002;7;2,0
2002;7;2,4
2002;7;2,1
2002;7;2,0
2002;8;4,2
2002;8;1,9
2002;8;2,6
2002;8;4,1
2002;8;1,6
2002;8;1,5
2002;8;1,3
2002;8;1,8
2002;8;3,6
2002;8;1,5
2002;8;1,5
2002;8;1,3
2002;8;2,0
2002;8;1,5
2002;8;1,8
2002;8;1,4
2002;8;3,2
2002;8;2,1
2002;8;1,7
2002;8;2,4
2002;8;1,4
2002;8;2,3
2002;8;2,5
2002;8;2,1
2002;8;1,3
2002;8;1,8
2002;8;2,4
2002;8;1,8
2002;8;1,9
2002;8;1,3
2002;8;1,6
2002;8;2,4
2002;8;1,3
2002;8;NA
2002;8;1,6
2002;8;1,5
2002;8;1,9
2002;8;1,5
2002;8;1,6
2002;8;2,0
2002;8;1,2
2002;8;1,4
2002;8;1,8
2002;8;1,4
2002;8;2,5
2002;8;1,9
2002;8;9,9
2002;8;6,4
2002;8;9,0
2002;9;1,6
2002;9;4,0
2002;9;2,8
2002;9;3,4
2002;9;2,7
2002;9;2,5
2002;9;1,3
2002;9;3,4
2002;9;5,4
2002;9;2,4
2002;9;NA
2002;9;4,8
2002;9;1,3
2002;9;3,0
2002;9;1,5
2002;9;2,1
2002;9;1,1
2002;9;5
2002;10;5,0
2002;10;6,0
2002;10;2,4
2002;10;1,8
2002;10;1,5
2002;10;1,6
2002;10;7,5
2002;10;4,0
2002;10;1,6
2002;10;2,7
2002;10;2,7
2002;10;1,7
2002;10;4,0
2002;10;3,9
2002;10;1,3
2002;10;1,7
2002;10;1,9
2002;10;5,3
2002;10;3,8
2002;10;2,3
2002;10;1,4
2002;10;4,2
2002;10;1,8
2002;10;5,1
