"oneyear.int";"year";"sample";"Freq"
"2";"(1.3,1.9]";"2001";"1";NA
"6";"(1.3,1.9]";"2002";"1";150
"10";"(1.3,1.9]";"2003";"1";180
"14";"(1.3,1.9]";"2004";"1";60
"18";"(1.3,1.9]";"2005";"1";30
"22";"(1.3,1.9]";"2006";"1";0
"26";"(1.3,1.9]";"2007";"1";0
"30";"(1.3,1.9]";"2008";"1";570
"34";"(1.3,1.9]";"2009";"1";0
"38";"(1.3,1.9]";"2010";"1";30
"42";"(1.3,1.9]";"2011";"1";0
"46";"(1.3,1.9]";"2012";"1";0
"50";"(1.3,1.9]";"2001";"2";NA
"54";"(1.3,1.9]";"2002";"2";0
"58";"(1.3,1.9]";"2003";"2";60
"62";"(1.3,1.9]";"2004";"2";180
"66";"(1.3,1.9]";"2005";"2";390
"70";"(1.3,1.9]";"2006";"2";0
"74";"(1.3,1.9]";"2007";"2";120
"78";"(1.3,1.9]";"2008";"2";780
"82";"(1.3,1.9]";"2009";"2";360
"86";"(1.3,1.9]";"2010";"2";90
"90";"(1.3,1.9]";"2011";"2";120
"94";"(1.3,1.9]";"2012";"2";390
"98";"(1.3,1.9]";"2001";"3";NA
"102";"(1.3,1.9]";"2002";"3";60
"106";"(1.3,1.9]";"2003";"3";180
"110";"(1.3,1.9]";"2004";"3";480
"114";"(1.3,1.9]";"2005";"3";60
"118";"(1.3,1.9]";"2006";"3";30
"122";"(1.3,1.9]";"2007";"3";30
"126";"(1.3,1.9]";"2008";"3";300
"130";"(1.3,1.9]";"2009";"3";120
"134";"(1.3,1.9]";"2010";"3";180
"138";"(1.3,1.9]";"2011";"3";60
"142";"(1.3,1.9]";"2012";"3";0
"146";"(1.3,1.9]";"2001";"4";NA
"150";"(1.3,1.9]";"2002";"4";300
"154";"(1.3,1.9]";"2003";"4";450
"158";"(1.3,1.9]";"2004";"4";120
"162";"(1.3,1.9]";"2005";"4";0
"166";"(1.3,1.9]";"2006";"4";480
"170";"(1.3,1.9]";"2007";"4";450
"174";"(1.3,1.9]";"2008";"4";90
"178";"(1.3,1.9]";"2009";"4";150
"182";"(1.3,1.9]";"2010";"4";60
"186";"(1.3,1.9]";"2011";"4";90
"190";"(1.3,1.9]";"2012";"4";180
"194";"(1.3,1.9]";"2001";"5";NA
"198";"(1.3,1.9]";"2002";"5";0
"202";"(1.3,1.9]";"2003";"5";2130
"206";"(1.3,1.9]";"2004";"5";2340
"210";"(1.3,1.9]";"2005";"5";60
"214";"(1.3,1.9]";"2006";"5";30
"218";"(1.3,1.9]";"2007";"5";660
"222";"(1.3,1.9]";"2008";"5";390
"226";"(1.3,1.9]";"2009";"5";1290
"230";"(1.3,1.9]";"2010";"5";0
"234";"(1.3,1.9]";"2011";"5";0
"238";"(1.3,1.9]";"2012";"5";0
"242";"(1.3,1.9]";"2001";"6";NA
"246";"(1.3,1.9]";"2002";"6";0
"250";"(1.3,1.9]";"2003";"6";0
"254";"(1.3,1.9]";"2004";"6";630
"258";"(1.3,1.9]";"2005";"6";0
"262";"(1.3,1.9]";"2006";"6";360
"266";"(1.3,1.9]";"2007";"6";630
"270";"(1.3,1.9]";"2008";"6";570
"274";"(1.3,1.9]";"2009";"6";330
"278";"(1.3,1.9]";"2010";"6";150
"282";"(1.3,1.9]";"2011";"6";0
"286";"(1.3,1.9]";"2012";"6";180
"290";"(1.3,1.9]";"2001";"7";30
"294";"(1.3,1.9]";"2002";"7";0
"298";"(1.3,1.9]";"2003";"7";510
"302";"(1.3,1.9]";"2004";"7";300
"306";"(1.3,1.9]";"2005";"7";30
"310";"(1.3,1.9]";"2006";"7";30
"314";"(1.3,1.9]";"2007";"7";30
"318";"(1.3,1.9]";"2008";"7";660
"322";"(1.3,1.9]";"2009";"7";30
"326";"(1.3,1.9]";"2010";"7";60
"330";"(1.3,1.9]";"2011";"7";90
"334";"(1.3,1.9]";"2012";"7";30
"338";"(1.3,1.9]";"2001";"8";30
"342";"(1.3,1.9]";"2002";"8";720
"346";"(1.3,1.9]";"2003";"8";210
"350";"(1.3,1.9]";"2004";"8";2550
"354";"(1.3,1.9]";"2005";"8";120
"358";"(1.3,1.9]";"2006";"8";30
"362";"(1.3,1.9]";"2007";"8";0
"366";"(1.3,1.9]";"2008";"8";150
"370";"(1.3,1.9]";"2009";"8";0
"374";"(1.3,1.9]";"2010";"8";60
"378";"(1.3,1.9]";"2011";"8";240
"382";"(1.3,1.9]";"2012";"8";30
"386";"(1.3,1.9]";"2001";"9";150
"390";"(1.3,1.9]";"2002";"9";60
"394";"(1.3,1.9]";"2003";"9";810
"398";"(1.3,1.9]";"2004";"9";30
"402";"(1.3,1.9]";"2005";"9";30
"406";"(1.3,1.9]";"2006";"9";120
"410";"(1.3,1.9]";"2007";"9";270
"414";"(1.3,1.9]";"2008";"9";450
"418";"(1.3,1.9]";"2009";"9";90
"422";"(1.3,1.9]";"2010";"9";60
"426";"(1.3,1.9]";"2011";"9";60
"430";"(1.3,1.9]";"2012";"9";90
"434";"(1.3,1.9]";"2001";"10";0
"438";"(1.3,1.9]";"2002";"10";870
"442";"(1.3,1.9]";"2003";"10";780
"446";"(1.3,1.9]";"2004";"10";60
"450";"(1.3,1.9]";"2005";"10";90
"454";"(1.3,1.9]";"2006";"10";240
"458";"(1.3,1.9]";"2007";"10";210
"462";"(1.3,1.9]";"2008";"10";60
"466";"(1.3,1.9]";"2009";"10";90
"470";"(1.3,1.9]";"2010";"10";210
"474";"(1.3,1.9]";"2011";"10";90
"478";"(1.3,1.9]";"2012";"10";210
"482";"(1.3,1.9]";"2001";"11";120
"486";"(1.3,1.9]";"2002";"11";540
"490";"(1.3,1.9]";"2003";"11";150
"494";"(1.3,1.9]";"2004";"11";540
"498";"(1.3,1.9]";"2005";"11";420
"502";"(1.3,1.9]";"2006";"11";0
"506";"(1.3,1.9]";"2007";"11";1770
"510";"(1.3,1.9]";"2008";"11";NA
"514";"(1.3,1.9]";"2009";"11";30
"518";"(1.3,1.9]";"2010";"11";180
"522";"(1.3,1.9]";"2011";"11";240
"526";"(1.3,1.9]";"2012";"11";30
"530";"(1.3,1.9]";"2001";"12";210
"534";"(1.3,1.9]";"2002";"12";420
"538";"(1.3,1.9]";"2003";"12";60
"542";"(1.3,1.9]";"2004";"12";90
"546";"(1.3,1.9]";"2005";"12";30
"550";"(1.3,1.9]";"2006";"12";480
"554";"(1.3,1.9]";"2007";"12";3000
"558";"(1.3,1.9]";"2008";"12";NA
"562";"(1.3,1.9]";"2009";"12";360
"566";"(1.3,1.9]";"2010";"12";270
"570";"(1.3,1.9]";"2011";"12";30
"574";"(1.3,1.9]";"2012";"12";30
"578";"(1.3,1.9]";"2001";"13";30
"582";"(1.3,1.9]";"2002";"13";240
"586";"(1.3,1.9]";"2003";"13";480
"590";"(1.3,1.9]";"2004";"13";1590
"594";"(1.3,1.9]";"2005";"13";30
"598";"(1.3,1.9]";"2006";"13";NA
"602";"(1.3,1.9]";"2007";"13";0
"606";"(1.3,1.9]";"2008";"13";NA
"610";"(1.3,1.9]";"2009";"13";420
"614";"(1.3,1.9]";"2010";"13";150
"618";"(1.3,1.9]";"2011";"13";90
"622";"(1.3,1.9]";"2012";"13";0
"626";"(1.3,1.9]";"2001";"14";180
"630";"(1.3,1.9]";"2002";"14";150
"634";"(1.3,1.9]";"2003";"14";210
"638";"(1.3,1.9]";"2004";"14";NA
"642";"(1.3,1.9]";"2005";"14";0
"646";"(1.3,1.9]";"2006";"14";NA
"650";"(1.3,1.9]";"2007";"14";180
"654";"(1.3,1.9]";"2008";"14";NA
"658";"(1.3,1.9]";"2009";"14";300
"662";"(1.3,1.9]";"2010";"14";0
"666";"(1.3,1.9]";"2011";"14";0
"670";"(1.3,1.9]";"2012";"14";0
