year;sample
2001;7
2001;8
2001;9
2001;10
2001;11
2001;12
2001;13
2001;14
2001;15
2002;1
2002;2
2002;3
2002;4
2002;5
2002;6
2002;7
2002;8
2002;9
2002;10
2002;11
2002;12
2002;13
2002;14
2002;15
2002;16
2003;1
2003;2
2003;3
2003;4
2003;5
2003;6
2003;7
2003;8
2003;9
2003;10
2003;11
2003;12
2003;13
2003;14
2003;15
2004;1
2004;2
2004;3
2004;4
2004;5
2004;6
2004;7
2004;8
2004;9
2004;10
2004;11
2004;12
2004;13
2005;1
2005;2
2005;3
2005;4
2005;5
2005;6
2005;7
2005;8
2005;9
2005;10
2005;11
2005;12
2005;13
2005;14
2005;15
2006;1
2006;2
2006;3
2006;4
2006;5
2006;6
2006;7
2006;8
2006;9
2006;10
2006;11
2006;12
2007;1
2007;2
2007;3
2007;4
2007;5
2007;6
2007;7
2007;8
2007;9
2007;10
2007;11
2007;12
2007;13
2007;14
2007;15
2008;1
2008;2
2008;3
2008;4
2008;5
2008;6
2008;7
2008;8
2008;9
2008;10
2009;1
2009;2
2009;3
2009;4
2009;5
2009;6
2009;7
2009;8
2009;9
2009;10
2009;11
2009;12
2009;13
2009;14
2009;15
2010;1
2010;2
2010;3
2010;4
2010;5
2010;6
2010;7
2010;8
2010;9
2010;10
2010;11
2010;12
2010;13
2010;14
2010;15
2011;1
2011;2
2011;3
2011;4
2011;5
2011;6
2011;7
2011;8
2011;9
2011;10
2011;11
2011;12
2011;13
2011;14
2011;15
2012;1
2012;2
2012;3
2012;4
2012;5
2012;6
2012;7
2012;8
2012;9
2012;10
2012;11
2012;12
2012;13
2012;14
2012;15
