"Var1";"Var2";"Freq"
"1";"mbb1";"1994";550
"2";"mbb2";"1994";350
"3";"mbb1";"1995";480
"4";"mbb2";"1995";500
"5";"mbb1";"1996";130
"6";"mbb2";"1996";390
"7";"mbb1";"1997";130
"8";"mbb2";"1997";310
"9";"mbb1";"1998";570
"10";"mbb2";"1998";940
"11";"mbb1";"1999";9330
"12";"mbb2";"1999";7730
"13";"mbb1";"2000";2470
"14";"mbb2";"2000";3350
"15";"mbb1";"2001";2220
"16";"mbb2";"2001";2810
"17";"mbb1";"2002";2120
"18";"mbb2";"2002";3260
"19";"mbb1";"2003";1630
"20";"mbb2";"2003";2230
"21";"mbb1";"2004";2410
"22";"mbb2";"2004";2300
"23";"mbb1";"2005";1940
"24";"mbb2";"2005";1710
"25";"mbb1";"2006";630
"26";"mbb2";"2006";960
"27";"mbb1";"2007";870
"28";"mbb2";"2007";1240
"29";"mbb1";"2008";1380
"30";"mbb2";"2008";2300
"31";"mbb1";"2009";1810
"32";"mbb2";"2009";1680
"33";"mbb1";"2010";1220
"34";"mbb2";"2010";2140
"35";"mbb1";"2011";920
"36";"mbb2";"2011";1990
"37";"mbb1";"2012";570
"38";"mbb2";"2012";1250
