"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"(1,2]";1,11111111111111;4,08163265306122;0;2,27272727272727;41,0596026490066;62,1922626025791;47,5945017182131;8,34990059642147;4,64684014869888;1,55440414507772;34,1825902335456;10,4109589041096;15,0943396226415;9,47867298578199;34,2391304347826;28,3667621776504;14,8809523809524;10,9965635738832;14,8351648351648
"(2,3]";25,5555555555556;6,12244897959184;3,84615384615385;0;5,96026490066225;8,44079718640094;22,5085910652921;17,6938369781312;7,0631970260223;3,10880829015544;3,39702760084926;4,10958904109589;2,51572327044025;1,4218009478673;8,96739130434783;15,4727793696275;10,1190476190476;6,87285223367698;3,84615384615385
"(3,4]";11,1111111111111;7,14285714285714;9,61538461538462;2,27272727272727;0;8,61664712778429;8,59106529209622;16,10337972167;13,3828996282528;8,03108808290155;1,27388535031847;2,19178082191781;0,628930817610063;1,8957345971564;3,80434782608696;7,44985673352436;6,8452380952381;4,12371134020619;3,84615384615385
"(4,5]";6,66666666666667;1,02040816326531;5,76923076923077;0;1,32450331125828;8,03048065650645;3,09278350515464;8,54870775347912;12,0817843866171;9,06735751295337;1,69851380042463;4,10958904109589;1,25786163522013;0,947867298578199;2,98913043478261;5,44412607449857;6,8452380952381;6,87285223367698;3,84615384615385
"(5,6]";3,33333333333333;4,08163265306122;1,92307692307692;0;4,63576158940397;5,68581477139508;4,46735395189003;6,95825049701789;9,85130111524164;14,5077720207254;5,30785562632696;4,65753424657534;3,14465408805031;1,4218009478673;5,70652173913043;2,00573065902579;4,76190476190476;3,78006872852234;3,2967032967033
"(6,7]";4,44444444444444;14,2857142857143;3,84615384615385;0;3,3112582781457;2,28604923798359;3,78006872852234;7,3558648111332;11,8959107806691;13,9896373056995;7,21868365180467;10,958904109589;3,14465408805031;2,3696682464455;1,90217391304348;2,29226361031519;4,76190476190476;6,87285223367698;6,04395604395604
"(7,8]";1,11111111111111;9,18367346938776;5,76923076923077;9,09090909090909;1,32450331125828;0,82063305978898;4,46735395189003;11,7296222664016;9,29368029739777;12,6943005181347;13,3757961783439;18,6301369863014;9,43396226415094;6,63507109004739;3,53260869565217;2,29226361031519;4,76190476190476;8,59106529209622;7,69230769230769
"(8,9]";6,66666666666667;14,2857142857143;11,5384615384615;22,7272727272727;0,662251655629139;1,05509964830012;2,23367697594502;10,934393638171;12,639405204461;14,5077720207254;13,3757961783439;19,1780821917808;20,125786163522;16,5876777251185;6,52173913043478;5,44412607449857;5,35714285714286;10,9965635738832;18,1318681318681
"(9,10]";11,1111111111111;5,10204081632653;17,3076923076923;9,09090909090909;2,64900662251656;0,293083235638921;1,03092783505155;5,96421471172962;12,2676579925651;13,4715025906736;12,1019108280255;16,986301369863;26,4150943396226;28,9099526066351;10,8695652173913;10,0286532951289;10,4166666666667;12,0274914089347;12,0879120879121
"(10,11]";12,2222222222222;2,04081632653061;13,4615384615385;18,1818181818182;3,3112582781457;0,293083235638921;0;1,59045725646123;2,97397769516729;4,14507772020725;5,52016985138004;5,20547945205479;13,8364779874214;20,3791469194313;12,7717391304348;13,1805157593123;14,5833333333333;17,5257731958763;8,79120879120879
"(11,12]";5,55555555555556;5,10204081632653;0;22,7272727272727;4,63576158940397;0,468933177022274;0;1,59045725646123;0,743494423791822;1,81347150259067;2,12314225053079;2,46575342465753;3,77358490566038;8,53080568720379;7,60869565217391;6,87679083094556;13,6904761904762;8,93470790378007;13,7362637362637
"(12,13]";1,11111111111111;11,2244897959184;7,69230769230769;2,27272727272727;12,5827814569536;0,468933177022274;0,515463917525773;0,99403578528827;0,929368029739777;1,55440414507772;0,212314225053079;0,821917808219178;0;0,947867298578199;0,815217391304348;1,14613180515759;2,38095238095238;2,06185567010309;3,84615384615385
"(13,14]";0;3,06122448979592;3,84615384615385;6,81818181818182;13,2450331125828;0,586166471277843;0,859106529209622;1,19284294234592;1,30111524163569;0,77720207253886;0,212314225053079;0;0,628930817610063;0,4739336492891;0,271739130434783;0;0,297619047619048;0,343642611683849;0
"(14,15]";1,11111111111111;9,18367346938776;11,5384615384615;4,54545454545455;3,97350993377483;0,351699882766706;0,515463917525773;0,795228628230616;0,743494423791822;0,518134715025907;0;0,273972602739726;0;0;0;0;0,297619047619048;0;0
"(15,16]";3,33333333333333;4,08163265306122;1,92307692307692;0;0,662251655629139;0,117233294255569;0;0;0,185873605947955;0;0;0;0;0;0;0;0;0;0
"(16,17]";3,33333333333333;0;1,92307692307692;0;0,662251655629139;0,234466588511137;0;0;0;0,259067357512953;0;0;0;0;0;0;0;0;0
"(17,18]";0;0;0;0;0;0,0586166471277843;0,171821305841924;0;0;0;0;0;0;0;0;0;0;0;0
"(18,19]";1,11111111111111;0;0;0;0;0;0,171821305841924;0;0;0;0;0;0;0;0;0;0;0;0
"(19,20]";1,11111111111111;0;0;0;0;0;0;0,198807157057654;0;0;0;0;0;0;0;0;0;0;0
