"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"(1,2]";1,11111111111111;4,44444444444444;0;1,11111111111111;68,8888888888889;1178,88888888889;307,777777777778;46,6666666666667;27,7777777777778;6,66666666666667;178,888888888889;42,2222222222222;26,6666666666667;22,2222222222222;140;110;55,5555555555556;35,5555555555556;30
"(2,3]";23,469387755102;6,12244897959184;2,04081632653061;0;9,18367346938776;146,938775510204;133,673469387755;90,8163265306122;38,7755102040816;12,2448979591837;16,3265306122449;15,3061224489796;4,08163265306122;3,06122448979592;33,6734693877551;55,1020408163265;34,6938775510204;20,4081632653061;7,14285714285714
"(3,4]";19,2307692307692;13,4615384615385;9,61538461538462;1,92307692307692;0;282,692307692308;96,1538461538462;155,769230769231;138,461538461538;59,6153846153846;11,5384615384615;15,3846153846154;1,92307692307692;7,69230769230769;26,9230769230769;50;44,2307692307692;23,0769230769231;13,4615384615385
"(4,5]";13,6363636363636;2,27272727272727;6,81818181818182;0;4,54545454545455;311,363636363636;40,9090909090909;97,7272727272727;147,727272727273;79,5454545454545;18,1818181818182;34,0909090909091;4,54545454545455;4,54545454545455;25;43,1818181818182;52,2727272727273;45,4545454545455;15,9090909090909
"(5,6]";1,98675496688742;2,64900662251656;0,662251655629139;0;4,63576158940397;64,2384105960265;17,2185430463576;23,1788079470199;35,0993377483444;37,0860927152318;16,5562913907285;11,2582781456954;3,3112582781457;1,98675496688742;13,9072847682119;4,63576158940397;10,5960264900662;7,28476821192053;3,97350993377483
"(6,7]";0,234466588511137;0,82063305978898;0,117233294255569;0;0,293083235638921;2,28604923798359;1,28956623681125;2,16881594372802;3,75146541617819;3,16529894490035;1,99296600234467;2,34466588511137;0,293083235638921;0,293083235638921;0,41031652989449;0,468933177022274;0,937866354044549;1,17233294255569;0,644783118405627
"(7,8]";0,171821305841924;1,54639175257732;0,515463917525773;0,687285223367698;0,343642611683849;2,40549828178694;4,46735395189003;10,1374570446735;8,59106529209622;8,4192439862543;10,8247422680412;11,6838487972509;2,57731958762887;2,40549828178694;2,23367697594502;1,3745704467354;2,74914089347079;4,29553264604811;2,40549828178694
"(8,9]";1,19284294234592;2,78330019880716;1,19284294234592;1,98807157057654;0,198807157057654;3,57852882703777;2,5844930417495;10,934393638171;13,5188866799205;11,1332007952286;12,5248508946322;13,9165009940358;6,36182902584493;6,95825049701789;4,7713717693837;3,77733598409543;3,57852882703777;6,36182902584493;6,56063618290259
"(9,10]";1,85873605947955;0,929368029739777;1,6728624535316;0,743494423791822;0,743494423791822;0,929368029739777;1,11524163568773;5,57620817843866;12,2676579925651;9,66542750929368;10,5947955390335;11,5241635687732;7,80669144981413;11,3382899628253;7,43494423791822;6,50557620817844;6,50557620817844;6,50557620817844;4,08921933085502
"(10,11]";2,84974093264249;0,518134715025907;1,81347150259067;2,07253886010363;1,29533678756477;1,29533678756477;0;2,07253886010363;4,14507772020725;4,14507772020725;6,73575129533679;4,92227979274611;5,69948186528497;11,139896373057;12,1761658031088;11,9170984455959;12,6943005181347;13,2124352331606;4,14507772020725
"(11,12]";1,06157112526539;1,06157112526539;0;2,12314225053079;1,48619957537155;1,69851380042463;0;1,69851380042463;0,849256900212314;1,48619957537155;2,12314225053079;1,91082802547771;1,27388535031847;3,82165605095541;5,9447983014862;5,09554140127389;9,76645435244161;5,52016985138004;5,30785562632696
"(12,13]";0,273972602739726;3,01369863013699;1,0958904109589;0,273972602739726;5,20547945205479;2,19178082191781;0,821917808219178;1,36986301369863;1,36986301369863;1,64383561643836;0,273972602739726;0,821917808219178;0;0,547945205479452;0,821917808219178;1,0958904109589;2,19178082191781;1,64383561643836;1,91780821917808
"(13,14]";0;1,88679245283019;1,25786163522013;1,88679245283019;12,5786163522013;6,28930817610063;3,14465408805031;3,77358490566038;4,40251572327044;1,88679245283019;0,628930817610063;0;0,628930817610063;0,628930817610063;0,628930817610063;0;0,628930817610063;0,628930817610063;0
"(14,15]";0,4739336492891;4,2654028436019;2,8436018957346;0,947867298578199;2,8436018957346;2,8436018957346;1,4218009478673;1,8957345971564;1,8957345971564;0,947867298578199;0;0,4739336492891;0;0;0;0;0,4739336492891;0;0
"(15,16]";0,815217391304348;1,08695652173913;0,271739130434783;0;0,271739130434783;0,543478260869565;0;0;0,271739130434783;0;0;0;0;0;0;0;0;0;0
"(16,17]";0,859598853868195;0;0,286532951289398;0;0,286532951289398;1,14613180515759;0;0;0;0,286532951289398;0;0;0;0;0;0;0;0;0
"(17,18]";0;0;0;0;0;0,297619047619048;0,297619047619048;0;0;0;0;0;0;0;0;0;0;0;0
"(18,19]";0,343642611683849;0;0;0;0;0;0,343642611683849;0;0;0;0;0;0;0;0;0;0;0;0
"(19,20]";0,549450549450549;0;0;0;0;0;0;0,549450549450549;0;0;0;0;0;0;0;0;0;0;0
