year;sample;Length.mm
1994;mbb1;2
1994;mbb1;2,1
1994;mbb1;2,2
1994;mbb1;2,3
1994;mbb1;2,3
1994;mbb1;2,4
1994;mbb1;2,6
1994;mbb1;2,7
1994;mbb1;2,7
1994;mbb1;2,7
1994;mbb1;9,6
1994;mbb1;2,7
1994;mbb1;2,8
1994;mbb1;2,9
1994;mbb1;3
1994;mbb1;3,2
1994;mbb1;2,6
1994;mbb1;4,1
1994;mbb1;5,2
1994;mbb1;7
1994;mbb1;8,2
1994;mbb1;8,4
1994;mbb1;2,7
1994;mbb1;2,8
1994;mbb1;2,9
1994;mbb1;3
1994;mbb1;3,2
1994;mbb1;2,6
1994;mbb1;4,1
1994;mbb1;5,2
1994;mbb1;7
1994;mbb1;8,2
1994;mbb1;8,4
1994;mbb1;9,7
1994;mbb1;9,8
1994;mbb1;9,8
1994;mbb1;9,9
1994;mbb1;9,9
1994;mbb1;10
1994;mbb1;10,1
1994;mbb1;10,2
1994;mbb1;10,3
1994;mbb1;10,3
1994;mbb1;10,3
1994;mbb1;10,4
1994;mbb1;10,4
1994;mbb1;11
1994;mbb1;11
1994;mbb1;11
1994;mbb1;11,2
1994;mbb1;11,2
1994;mbb1;11,2
1994;mbb1;11,7
1994;mbb1;12,9
1994;mbb1;18,6
1994;mbb2;2,1
1994;mbb2;2,1
1994;mbb2;2,9
1994;mbb2;3
1994;mbb2;3,1
1994;mbb2;3,5
1994;mbb2;3,6
1994;mbb2;3,7
1994;mbb2;3,7
1994;mbb2;3,9
1994;mbb2;4
1994;mbb2;4
1994;mbb2;4,1
1994;mbb2;4,5
1994;mbb2;4,5
1994;mbb2;4,8
1994;mbb2;5,6
1994;mbb2;6,5
1994;mbb2;6,6
1994;mbb2;7,7
1994;mbb2;8,8
1994;mbb2;9
1994;mbb2;9,4
1994;mbb2;9,6
1994;mbb2;9,9
1994;mbb2;11
1994;mbb2;12
1994;mbb2;14,7
1994;mbb2;15,1
1994;mbb2;15,3
1994;mbb2;15,8
1994;mbb2;16,2
1994;mbb2;16,6
1994;mbb2;16,8
1994;mbb2;19,5
1995;mbb1;8,9
1995;mbb1;14,2
1995;mbb1;3,7
1995;mbb1;8,3
1995;mbb1;13,6
1995;mbb1;1,6
1995;mbb1;6,8
1995;mbb1;14,1
1995;mbb1;6,4
1995;mbb1;13,2
1995;mbb1;7,5
1995;mbb1;12,9
1995;mbb1;15,7
1995;mbb1;4,7
1995;mbb1;10,2
1995;mbb1;12,8
1995;mbb1;14,2
1995;mbb1;2,9
1995;mbb1;11,6
1995;mbb1;8,3
1995;mbb1;6,2
1995;mbb1;9,2
1995;mbb1;7,9
1995;mbb1;8,3
1995;mbb1;15,2
1995;mbb1;8,1
1995;mbb1;4
1995;mbb1;11,7
1995;mbb1;4
1995;mbb1;12,2
1995;mbb1;11,7
1995;mbb1;8,5
1995;mbb1;3,2
1995;mbb1;6,7
1995;mbb1;9,2
1995;mbb1;2,4
1995;mbb1;14,7
1995;mbb1;6,6
1995;mbb1;5,6
1995;mbb1;3
1995;mbb1;4
1995;mbb1;3
1995;mbb1;12,4
1995;mbb1;2,5
1995;mbb1;6,4
1995;mbb1;6,3
1995;mbb1;5,2
1995;mbb1;6,7
1995;mbb2;15,7
1995;mbb2;8,3
1995;mbb2;1,7
1995;mbb2;2
1995;mbb2;10,4
1995;mbb2;6,9
1995;mbb2;1,9
1995;mbb2;12
1995;mbb2;12,7
1995;mbb2;14,1
1995;mbb2;3,1
1995;mbb2;7,8
1995;mbb2;7,7
1995;mbb2;7,7
1995;mbb2;13
1995;mbb2;9,3
