"oneyear.int";"year";"sample";"Freq"
"2";"(1.3,1.9]";"1994";"mbb1";0
"6";"(1.3,1.9]";"1995";"mbb1";10
"10";"(1.3,1.9]";"1996";"mbb1";0
"14";"(1.3,1.9]";"1997";"mbb1";10
"18";"(1.3,1.9]";"1998";"mbb1";120
"22";"(1.3,1.9]";"1999";"mbb1";2580
"26";"(1.3,1.9]";"2000";"mbb1";580
"30";"(1.3,1.9]";"2001";"mbb1";130
"34";"(1.3,1.9]";"2002";"mbb1";30
"38";"(1.3,1.9]";"2003";"mbb1";40
"42";"(1.3,1.9]";"2004";"mbb1";440
"46";"(1.3,1.9]";"2005";"mbb1";110
"50";"(1.3,1.9]";"2006";"mbb1";40
"54";"(1.3,1.9]";"2007";"mbb1";40
"58";"(1.3,1.9]";"2008";"mbb1";350
"62";"(1.3,1.9]";"2009";"mbb1";160
"66";"(1.3,1.9]";"2010";"mbb1";50
"70";"(1.3,1.9]";"2011";"mbb1";60
"74";"(1.3,1.9]";"2012";"mbb1";30
"78";"(1.3,1.9]";"1994";"mbb2";0
"82";"(1.3,1.9]";"1995";"mbb2";20
"86";"(1.3,1.9]";"1996";"mbb2";0
"90";"(1.3,1.9]";"1997";"mbb2";0
"94";"(1.3,1.9]";"1998";"mbb2";250
"98";"(1.3,1.9]";"1999";"mbb2";3890
"102";"(1.3,1.9]";"2000";"mbb2";1120
"106";"(1.3,1.9]";"2001";"mbb2";90
"110";"(1.3,1.9]";"2002";"mbb2";30
"114";"(1.3,1.9]";"2003";"mbb2";10
"118";"(1.3,1.9]";"2004";"mbb2";130
"122";"(1.3,1.9]";"2005";"mbb2";40
"126";"(1.3,1.9]";"2006";"mbb2";40
"130";"(1.3,1.9]";"2007";"mbb2";70
"134";"(1.3,1.9]";"2008";"mbb2";430
"138";"(1.3,1.9]";"2009";"mbb2";190
"142";"(1.3,1.9]";"2010";"mbb2";170
"146";"(1.3,1.9]";"2011";"mbb2";130
"150";"(1.3,1.9]";"2012";"mbb2";100
