year;tidal_level;sample;Length.mm
2006;middle;sgl1;8,5
2006;middle;sgl1;6,5
2006;middle;sgl1;5,2
2006;middle;sgl1;6,3
2006;middle;sgl1;4,7
2006;middle;sgl1;3,2
2006;middle;sgl1;3,2
2006;middle;sgl1;3
2006;middle;sgl1;2,5
2006;middle;sgl1;4,2
2006;middle;sgl1;4,3
2006;middle;sgl1;4,4
2006;middle;sgl1;1,7
2006;middle;sgl1;2,2
2006;middle;sgl1;4
2006;middle;sgl1;2,7
2006;middle;sgl1;4,2
2006;middle;sgl1;5,4
2006;middle;sgl1;5,5
2006;middle;sgl1;5
2006;middle;sgl1;4,5
2006;middle;sgl1;4,3
2006;middle;sgl1;4,5
2006;middle;sgl1;4,9
2006;middle;sgl1;5,6
2006;middle;sgl1;6,5
2006;middle;sgl1;7,1
2006;middle;sgl1;6,5
2006;middle;sgl1;3,7
2006;middle;sgl1;2,2
2006;middle;sgl1;3,2
2006;middle;sgl1;4,5
2006;middle;sgl1;5,5
2006;middle;sgl1;6,4
2006;middle;sgl1;5
2006;middle;sgl1;4,8
2006;middle;sgl1;4,5
2006;middle;sgl1;6,3
2006;middle;sgl1;7
2006;middle;sgl1;6,2
2006;middle;sgl1;5,3
2006;middle;sgl1;6,8
2006;middle;sgl1;6,5
2006;middle;sgl1;6,5
2006;middle;sgl1;7,2
2006;middle;sgl1;6
2006;middle;sgl1;6,5
2006;middle;sgl1;7,1
2006;middle;sgl1;6,6
2006;middle;sgl1;5,7
2006;middle;sgl1;6,3
2006;middle;sgl1;2,7
2006;middle;sgl1;5,4
2006;middle;sgl1;4,6
2006;middle;sgl1;6,2
2006;middle;sgl1;5
2006;middle;sgl1;9
2006;middle;sgl1;6,9
2006;middle;sgl1;6,3
2006;middle;sgl1;7,1
2006;middle;sgl1;8,3
2006;middle;sgl1;7,7
2006;middle;sgl1;4,3
2006;middle;sgl1;8,5
2006;middle;sgl1;8,3
2006;middle;sgl1;3,3
2006;middle;sgl1;10
2006;middle;sgl1;7,9
2006;middle;sgl1;8,8
2006;middle;sgl1;8
2006;middle;sgl1;8,1
2006;middle;sgl1;7,1
2006;middle;sgl1;9,2
2006;middle;sgl1;7,6
2006;middle;sgl1;8,9
2006;middle;sgl1;8,8
2006;middle;sgl1;8,2
2006;middle;sgl1;10,2
2006;middle;sgl1;11
2006;middle;sgl1;14,2
2006;middle;sgl1;13,2
2006;middle;sgl1;12,1
2006;middle;sgl1;13,6
2006;middle;sgl1;15,5
2006;middle;sgl1;9,5
2006;middle;sgl1;8,6
2006;middle;sgl1;8,3
2006;middle;sgl1;14
2006;middle;sgl1;13,3
2006;middle;sgl1;10
2006;middle;sgl1;7,6
2006;middle;sgl1;2,5
2006;middle;sgl1;2,5
2006;middle;sgl2;2,3
2006;middle;sgl2;3,1
2006;middle;sgl2;2
2006;middle;sgl2;3
2006;middle;sgl2;5,1
2006;middle;sgl2;2,8
2006;middle;sgl2;1,3
2006;middle;sgl2;3,7
2006;middle;sgl2;1,8
2006;middle;sgl2;2,3
2006;middle;sgl2;1,4
2006;middle;sgl2;1,9
2006;middle;sgl2;2,2
2006;middle;sgl2;2,1
2006;middle;sgl2;2,1
2006;middle;sgl2;2,5
2006;middle;sgl2;1,9
2006;middle;sgl2;1,3
2006;middle;sgl2;2
2006;middle;sgl2;2,9
2006;middle;sgl2;1,7
2006;middle;sgl2;2
2006;middle;sgl2;1,5
2006;middle;sgl2;1,3
2006;middle;sgl2;1,6
2006;middle;sgl2;1,6
2006;middle;sgl2;1,3
2006;middle;sgl2;1,8
2006;middle;sgl2;2,3
2006;middle;sgl2;1,4
2006;middle;sgl2;1,3
2006;middle;sgl2;1,1
2006;middle;sgl2;2,5
2006;middle;sgl2;1,2
2006;middle;sgl2;2
2006;middle;sgl2;1,9
2006;middle;sgl2;1,3
2006;middle;sgl2;4,1
2006;middle;sgl2;2,7
2006;middle;sgl2;6,5
2006;middle;sgl2;6
2006;middle;sgl2;4,1
2006;middle;sgl2;3,5
2006;middle;sgl2;4,4
2006;middle;sgl2;5,8
2006;middle;sgl2;4,5
2006;middle;sgl2;5,5
2006;middle;sgl2;5,7
2006;middle;sgl2;5,7
2006;middle;sgl2;6,2
2006;middle;sgl2;6,5
2006;middle;sgl2;6,2
2006;middle;sgl2;6,3
2006;middle;sgl2;5
2006;middle;sgl2;6,9
2006;middle;sgl2;6,7
2006;middle;sgl2;3,8
2006;middle;sgl2;2,6
2006;middle;sgl2;2,7
2006;middle;sgl2;2,3
2006;middle;sgl2;1,9
2006;middle;sgl2;3,9
2006;middle;sgl2;2,7
2006;middle;sgl2;3,3
2006;middle;sgl2;2,6
2006;middle;sgl2;5,9
2006;middle;sgl2;3,5
2006;middle;sgl2;2,3
2006;middle;sgl2;2,2
2006;middle;sgl2;1,5
2006;middle;sgl2;3
2006;middle;sgl2;1,5
2006;middle;sgl2;2,6
2006;middle;sgl2;4,9
2006;middle;sgl2;3,7
2006;middle;sgl2;5,8
2006;middle;sgl2;4,8
2006;middle;sgl2;4
2006;middle;sgl2;6,2
2006;middle;sgl2;4,7
2006;middle;sgl2;5,5
2006;middle;sgl2;5,9
2006;middle;sgl2;4,9
2006;middle;sgl2;4,9
2006;middle;sgl2;6,7
2006;middle;sgl2;6,2
2006;middle;sgl2;6,7
2006;middle;sgl2;6,3
2006;middle;sgl2;6,4
2006;middle;sgl2;6,5
2006;middle;sgl2;6,7
2006;middle;sgl2;4,8
2006;middle;sgl2;7,8
2006;middle;sgl2;6,7
2006;middle;sgl2;2
2006;middle;sgl2;2,1
2006;middle;sgl2;4,5
2006;middle;sgl2;6,9
2006;middle;sgl2;7,1
2006;middle;sgl2;8,2
2006;middle;sgl2;8,9
2006;middle;sgl2;7,9
2006;middle;sgl2;7,3
2006;middle;sgl2;7,1
2006;middle;sgl2;7,5
2006;middle;sgl2;8,5
2006;middle;sgl2;10,1
2006;middle;sgl2;9
2006;middle;sgl2;9
2006;middle;sgl2;11,5
2006;middle;sgl2;9
2006;middle;sgl2;9,7
2006;middle;sgl2;9,2
2006;middle;sgl2;9,2
2006;middle;sgl2;8,9
2006;middle;sgl2;8
2006;middle;sgl2;8,4
2006;middle;sgl2;8,6
2006;middle;sgl2;11
2006;middle;sgl2;10
2006;middle;sgl2;9,5
2006;middle;sgl2;8,2
2006;middle;sgl2;7,2
2006;middle;sgl2;6,9
2006;middle;sgl2;8,1
2006;middle;sgl2;8,2
2006;middle;sgl2;8,2
2006;middle;sgl2;8,7
2006;middle;sgl2;8,1
2006;middle;sgl2;7,6
2006;middle;sgl2;8,3
2006;middle;sgl2;7
2006;middle;sgl2;9,3
2006;middle;sgl2;6,5
2006;middle;sgl2;7,6
2006;middle;sgl2;7,3
2006;middle;sgl2;9,1
2006;middle;sgl2;7,8
2006;middle;sgl2;8,4
2006;middle;sgl2;1,3
2006;middle;sgl2;9
2006;middle;sgl2;7,6
2006;middle;sgl2;8
2006;middle;sgl2;7,8
2006;middle;sgl2;7,5
2006;middle;sgl2;10
2006;middle;sgl2;7
2006;middle;sgl2;8,3
2006;middle;sgl2;7,4
2006;middle;sgl2;6,6
2006;middle;sgl2;7,8
2006;middle;sgl2;6,3
2006;middle;sgl2;8,6
2006;middle;sgl2;8
2006;middle;sgl2;7
2006;middle;sgl2;9
2006;middle;sgl2;9
2006;middle;sgl2;8,6
2006;middle;sgl2;8,1
2006;middle;sgl2;7,5
2006;middle;sgl2;8
2006;middle;sgl2;8,5
2006;middle;sgl2;8,2
2006;middle;sgl2;8,4
2006;middle;sgl2;7
2006;middle;sgl2;7,5
2006;middle;sgl2;9
2006;middle;sgl2;9,4
2006;middle;sgl2;7,2
2006;middle;sgl2;8,4
2006;middle;sgl2;8,1
2006;middle;sgl2;9,1
2006;middle;sgl2;7,9
2006;middle;sgl2;7,8
2006;middle;sgl2;9
2006;middle;sgl2;9,9
2006;middle;sgl2;13,5
2006;middle;sgl2;15,2
2006;middle;sgl2;15,7
2006;middle;sgl2;14,5
2006;middle;sgl2;13,7
2006;middle;sgl3;5,9
2006;middle;sgl3;8,8
2006;middle;sgl3;4,5
2006;middle;sgl3;6,2
2006;middle;sgl3;6,1
2006;middle;sgl3;1,3
2006;middle;sgl3;1,2
2006;middle;sgl3;5,1
2006;middle;sgl3;1,2
2006;middle;sgl3;7,9
2006;middle;sgl3;6,6
2006;middle;sgl3;1,2
2006;middle;sgl3;14
2006;middle;sgl3;5,5
2006;middle;sgl3;5,2
2006;middle;sgl3;5,8
2006;middle;sgl3;6,3
2006;middle;sgl3;6
2006;middle;sgl3;2,1
2006;middle;sgl3;5,5
2006;middle;sgl3;1,6
2006;middle;sgl3;5,2
2006;middle;sgl3;3,7
2006;middle;sgl3;2,6
2006;middle;sgl3;3,7
2006;middle;sgl3;3,1
2006;middle;sgl3;5,4
2006;middle;sgl3;1,2
2006;middle;sgl3;5,4
2006;middle;sgl3;1,7
2006;middle;sgl3;1,3
2006;middle;sgl3;10,5
2006;middle;sgl3;4,7
2006;middle;sgl3;4,3
2006;middle;sgl3;3,6
2006;middle;sgl3;3
2006;middle;sgl3;5,8
2006;middle;sgl3;8,8
2006;middle;sgl3;6,2
2006;middle;sgl3;10,2
2006;middle;sgl3;6,2
2006;middle;sgl3;9,2
2006;middle;sgl3;3
