year;tidal_level;sample;square;N.indd
2006;middle;sgl1;10;94
2006;middle;sgl2;10;205
2006;middle;sgl3;10;111
2006;middle;sgl4;10;97
2006;middle;sgl5;10;108
2006;middle;sgl6;10;98
2006;middle;sgl7;10;222
2006;middle;sgl8;10;80
2006;middle;sgl9;10;56
2006;middle;sgl10;10;94
2006;low_zostera;ngl1;20;82
2006;low_zostera;ngl2;20;39
2006;low_zostera;ngl3;20;46
2006;low_zostera;ngl4;20;31
2006;low_zostera;ngl5;20;50
2006;low;ngl6;20;53
2006;low;ngl7;20;55
2006;low;ngl8;20;45
2006;low;ngl9;20;70
2006;low;ngl10;20;60
