"Estuary";"Goreliy";"Klyushuha";"Lomnishniy";"Medvezhya";"razrez2";"Seldyanaya";"Suhaya";"YuG";"ZRS"
"Estuary";0;0,139675519123449;1;1;NA;0,0449222730192194;NA;1;0,139675519123449;0,641996874801265
"Goreliy";0,00674432647173284;0;0,641996874801265;1;NA;0,0017444697261948;NA;1;1;3,43035205840891e-06
"Klyushuha";0,431727393217753;0,037080713629599;0;1;NA;1;NA;1;1;0,146568843810782
"Lomnishniy";0,830381905989605;0,766778480184013;0,127840199501517;0;NA;NA;NA;1;1;1
"Medvezhya";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"razrez2";0,00187176137580081;6,97787890477919e-05;0,0709183642573448;NA;NA;0;NA;0,126426833746737;NA;0,0582073560445235
"Seldyanaya";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Suhaya";0,448290244860037;0,216270730961975;0,0702290472457121;0,7562523302396;NA;0,00574667426121533;NA;0;1;1
"YuG";0,0066512151963547;0,188311628027315;0,0920501677286025;0,197322571742337;NA;NA;NA;0,869485813039806;0;1
"ZRS";0,0356664930445147;1,31936617631112e-07;0,00771414967425166;0,199136475406987;NA;0,00253075461063146;NA;0,452680260075958;0,0720205968458218;0
