"Estuary";"Goreliy";"Klyushuha";"Lomnishniy";"Medvezhya";"razrez2";"Seldyanaya";"Suhaya";"YuG";"ZRS"
"Estuary";0;0,00912968355516819;1;1;NA;0,0134572647020477;NA;0,982370773988334;0,174833815775059;0,000713168986436585
"Goreliy";0,000396942763268182;0;1;1;NA;0,000552051911228979;NA;0,613096291296366;1;0,000537130200580549
"Klyushuha";0,468528798015458;0,306175913232801;0;0,579815402877237;NA;1;NA;0,406584536369786;0,579815402877237;1
"Lomnishniy";0,871743440233236;0,544093294460641;0,0373860734684988;0;NA;NA;NA;1;1;0,941154518950437
"Medvezhya";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"razrez2";0,000611693850093076;2,20820764491592e-05;0,253169995100323;NA;NA;0;NA;0,0421737856140214;NA;0,049907965719802
"Seldyanaya";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Suhaya";0,0818642311656945;0,0437925922354547;0,0225880297983214;0,666666666666667;NA;0,00200827550542959;NA;0;1;1
"YuG";0,0092017797776347;0,144586301303347;0,0362384626798273;0,265702623906705;NA;NA;NA;0,747060078104662;0;0,443647147895952
"ZRS";2,97153744348577e-05;2,06588538684827e-05;0,608932123886653;0,0723965014577259;NA;0,0024953982859901;NA;0,370083122282068;0,0260968910527031;0
