"Estuary";"Goreliy";"Klyushuha";"Lomnishniy";"Medvezhya";"razrez2";"Seldyanaya";"Suhaya";"YuG";"ZRS"
"Estuary";1;0,701298701298701;0,211221249926668;0,0857142857142857;NA;0,863636363636364;NA;0,5;0,713286713286713;0,807017543859649
"Goreliy";0,701298701298701;1;0,294829661355974;-0,314285714285714;NA;0,936363636363636;NA;0,565934065934066;0,447552447552448;0,815789473684211
"Klyushuha";0,211221249926668;0,294829661355974;1;0,9;NA;0,5;NA;0,533539731682147;0,785714285714285;0,156808951646008
"Lomnishniy";0,0857142857142857;-0,314285714285714;0,9;1;NA;NA;NA;0,5;0,542857142857143;0,771428571428571
"Medvezhya";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"razrez2";0,863636363636364;0,936363636363636;0,5;NA;NA;1;NA;0,904761904761905;1;0,866666666666667
"Seldyanaya";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Suhaya";0,5;0,565934065934066;0,533539731682147;0,5;NA;0,904761904761905;NA;1;-0,2;0,3
"YuG";0,713286713286713;0,447552447552448;0,785714285714285;0,542857142857143;NA;1;NA;-0,2;1;0,636363636363636
"ZRS";0,807017543859649;0,815789473684211;0,156808951646008;0,771428571428571;NA;0,866666666666667;NA;0,3;0,636363636363636;1
