"Estuary";"Goreliy";"Klyushuha";"Lomnishniy";"Medvezhya";"razrez2";"Seldyanaya";"Suhaya";"YuG";"ZRS"
"Estuary";0;1,0808006489782e-07;NA;NA;1,73993944634354e-05;0,00630796346894691;0,494766998455418;NA;NA;1
"Goreliy";7,20533765985465e-09;0;NA;NA;2,82622269662802e-05;0,0368544777252988;1;NA;NA;1
"Klyushuha";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lomnishniy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Medvezhya";1,24281389024539e-06;2,17401745894463e-06;NA;NA;0;0,0306961022555079;0,389215437342145;NA;NA;1
"razrez2";0,000525663622412242;0,00368544777252988;NA;NA;0,00279055475050072;0;0,0756167539407544;NA;NA;0,804527003767398
"Seldyanaya";0,0706809997793454;0,388002874193872;NA;NA;0,0486519296677681;0,00840186154897271;0;NA;NA;1
"Suhaya";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"YuG";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ZRS";0,777819734493488;0,830538740046285;NA;NA;0,759071033438929;0,134087833961233;0,992915664449094;NA;NA;0
