"Estuary";"Goreliy";"Klyushuha";"Lomnishniy";"Medvezhya";"razrez2";"Seldyanaya";"Suhaya";"YuG";"ZRS"
"Estuary";1;0,913793051914802;NA;NA;0,847504950812849;0,868361357283311;0,402211367799005;NA;NA;0,0693633611396007
"Goreliy";0,913793051914802;1;NA;NA;0,837560858530196;0,791724529819004;0,198651816724231;NA;NA;0,0526370190117333
"Klyushuha";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lomnishniy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Medvezhya";0,847504950812849;0,837560858530196;NA;NA;1;0,805107417976429;0,382954665348855;NA;NA;0,0753793039366446
"razrez2";0,868361357283311;0,791724529819004;NA;NA;0,805107417976429;1;0,745843859325954;NA;NA;0,539222193733286
"Seldyanaya";0,402211367799005;0,198651816724231;NA;NA;0,382954665348855;0,745843859325954;1;NA;NA;-0,0021853590557013
"Suhaya";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"YuG";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ZRS";0,0693633611396007;0,0526370190117333;NA;NA;0,0753793039366446;0,539222193733286;-0,0021853590557013;NA;NA;1
