"Estuary";"Goreliy";"Klyushuha";"Lomnishniy";"Medvezhya";"razrez2";"Seldyanaya";"Suhaya";"YuG";"ZRS"
"Estuary";0;0,00154275467833531;NA;1;0,0189268637117257;0,00159874846592345;0,0825845341516245;NA;0,171838714734434;0,122668294320619
"Goreliy";6,17101871334125e-05;0;NA;1;0,171838714734434;0,00103318130670571;0,604584159092234;NA;1;0,0338261603643009
"Klyushuha";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lomnishniy";0,871743440233236;0,396501457725948;NA;0;1;NA;1;NA;1;1
"Medvezhya";0,000860311986896622;0,0101081596902608;NA;0,622787172011662;0;0,0219488250630349;0,00338845022175027;NA;1;1
"razrez2";6,66145194134771e-05;3,97377425656043e-05;NA;NA;0,0010451821458588;0;0,171838714734434;NA;NA;0,417452499741834
"Seldyanaya";0,00434655442903287;0,0465064737763257;NA;0,544093294460641;0,000147323922684794;0,0112049672535921;0;NA;1;1
"Suhaya";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"YuG";0,0102451939411279;0,286122902914987;NA;0,265702623906705;0,354147641232921;NA;0,795414501853898;NA;0;0,703073704662811
"ZRS";0,00681490524003436;0,00169130801821504;NA;0,110787172011662;0,102651327328351;0,0298180356958453;0,551969673209533;NA;0,0585894753885676;0
