;Estuary;Lomnishniy;Goreliy_high;Goreliy_low;Goreliy_middle;Goreliy_midlow;razrez2_fucus_zone;razrez2_high_beatch;razrez2_low_beatch;razrez2_zostera_zone;YuG;ZRS
Estuary;0;1;0,008894821;0,1498627648;0,290753017;0,9665374092;0,0043965583;0,0336431618;0,6500604281;0,1685737329;0,3680711911;0,0020206455
Lomnishniy;0,8717434402;0;1;1;1;1;NA;NA;NA;NA;1;1
Goreliy_high;0,0001411876;0,110787172;0;0,8055081515;0,0049217228;0,7435867942;0,026367673;0,0427537301;0,2622967025;0,0336431618;1;0,0013416616
Goreliy_low;0,0032578862;0,5440932945;0,0263499584;0;1;0,0204697413;0,0099182285;0,0026624288;1;0,9450167089;1;0,9450167089
Goreliy_middle;0,0069226909;0,5440932945;7,5718811752612E-005;0,0464241325;0;0,3215305074;0,0071702084;0,0204697413;0,0480961784;0,0427537301;1;0,1311987061
Goreliy_midlow;0,040272392;0,957154519;0,0225329332;0,0003411624;0,0078422075;0;0,8082087708;0,8055081515;0,8030936282;1;1;1
razrez2_fucus_zone;6,66145194134771E-005;NA;0,0004546151;0,0001599714;0,0001120345;0,028864599;0;0,0015236633;0,9450167089;0,1228118496;NA;0,0143898885
razrez2_high_beatch;0,0006116939;NA;0,0008066742;3,97377425656043E-005;0,0003436122;0,0259841339;2,20820764491592E-005;0;0,4345944252;0,2331774359;NA;0,122274516
razrez2_low_beatch;0,0185731551;NA;0,0060999233;0,0599721425;0,0009430623;0,0250966759;0,0375883776;0,0111434468;0;0,568821465;NA;1
razrez2_zostera_zone;0,003746083;NA;0,0006116939;0,0352869812;0,0008138621;0,0510032607;0,0025585802;0,0052994872;0,0158005963;0;NA;0,4632353017
YuG;0,0092017798;0,2657026239;0,3785686697;0,7447415468;0,1601454373;0,6966831094;NA;NA;NA;NA;0;0,8055081515
ZRS;2,97153744348577E-005;0,0723965015;1,91665936664087E-005;0,0350006188;0,0027914618;0,1148558954;0,0002358998;0,0024953983;0,1827207505;0,012519873;0,0260968911;0
