"area";"mantel";"p"
"1";"Estuary";0,3168;0,003
"2";"Lomnishniy";-0,0999;0,47
"3";"Goreliy_high";0,102;0,173
"4";"Goreliy_low";8e-04;0,424
"5";"Goreliy_middle";-0,05;0,608
"6";"Goreliy_midlow";-0,0413;0,6
"7";"razrez2_fucus_zone";0,6316;0,001
"8";"razrez2_high_beatch";0,1157;0,268
"9";"razrez2_low_beatch";0,2068;0,144
"10";"razrez2_zostera_zone";0,5723;0,003
"11";"YuG";0,3687;0,015
"12";"ZRS";0,0108;0,404
"13";"Medvezhya";0,0154;0,391
"14";"Seldyanaya";0,2524;0,005
"15";"Goreliy_all";0,0269;0,368
"16";"razrez2_all";0,6103;0,001
