taxon;species;Bolshoy_Goreliy;Yakovleva;Lebyazhya;Suhaya_salma;Seldyanaya;Levaya;Kolvica;estuary2;estuary3;estuary4;estuary5;estuary7;estuary8;ZRS;MG1;MG2;MG3;MG4;Estuary;YuG;Lomnishniy;razrez2_high;reazrez2_fucus;razrez2_zostera;razrez2_low
Amphipoda;Amphithoe rubricata;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amphipoda;Atylus carinatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Amphipoda;Classicorophium(Corophium) bonelli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Amphipoda;Gammaridae;0;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1
Amphipoda;Monoculodes sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1
Amphipoda;Pontoporea femorata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Amphipoda;Pontoporeia affinis;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0
Amphipoda;Priscillina armata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Amphipoda;Pseudalibrotus littoralis;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;1
Bivalvia;Macoma balthica;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bivalvia;Mya arenaria;1;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Bivalvia;Mytilus edulis;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0
Bivalvia;Serripes groenlandica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Cirripedia;Semibalanus balanoides;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cumacea;Diastilus sulcata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
Decapoda;Crangon crangon;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Dipleta;Chironomidae varia;1;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0
Echinodermata;Asterias rubens;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gastropoda;Cylichna alba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Gastropoda;Cylichna occulta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Gastropoda;Epheria vincta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Gastropoda;Hydrobia ulvae;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0
Gastropoda;Littorina sp.;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;0;0;0;0
Gastropoda;Skeneopsis planorbis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Gastropoda;Testudinalia tesselata;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
