"site";"Amphithoe rubricata";"Atylus carinatus";"Classicorophium(Corophium) bonelli";"Gammaridae";"Monoculodes sp.";"Pontoporea femorata";"Pontoporeia affinis";"Priscillina armata";"Pseudalibrotus littoralis";"Macoma balthica";"Mya arenaria";"Mytilus edulis";"Serripes groenlandica";"Semibalanus balanoides";"Diastilus sulcata";"Crangon crangon";"Chironomidae varia";"Asterias rubens";"Cylichna alba";"Cylichna occulta";"Epheria vincta";"Hydrobia ulvae";"Littorina sp.";"Skeneopsis planorbis";"Testudinalia tesselata";"Dynamena pumila";"Jaera sp.";"Mysis relicta";"Nematoda";"Nemertini";"Oligochaeta";"Arenicola marina";"Capitella capitata";"Castalia punctata";"Chaetozone setosa";"Eteone longa";"Euchone analis";"Fabricia sabella";"Harmathoe imbricata";"Lumbriconereis sp.";"Micronephthys minuta";"Microspio theli";"Nephthys sp.";"Nereis pelagica";"Nereis virens";"Ophelia limacina";"Pectinaria sp.";"Phyllodoce groenlandica";"Polychaeta varia";"Polydora quadrilobata";"Pygospio elegans";"Scalibregma inflatum";"Scoloplos armiger";"Spionidae gen. sp.";"Travisia forbesii";"Tubificoides benedeni";"Halicriptus spinulosus";"Priapulus caudatus"
"Bolshoy_Goreliy";0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Yakovleva";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lebyazhya";0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Suhaya_salma";0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1
"Seldyanaya";0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Levaya";0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kolvica";1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"estuary2";0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"estuary3";0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"estuary4";0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"estuary5";0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"estuary7";0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"estuary8";0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ZRS";0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"MG1";0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
