"N1age.low_beatch.2.length.N1age.low_beatch..";"N_bez_spata.low_beatch.1.length.N_bez_spata.low_beatch....1."
"1993";25,0998007960223;791,643859320591
"1994";34,6410161513775;175,698605572156
"1995";56,9209978830308;301,286848670845
"1996";25,0998007960223;399,718314091895
"1997";72,0416546173115;176,592374871453
"1998";220,045449850707;303,968367179707
"1999";780,173057725015;488,876251657345
"2000";260,959767013998;1119,18633180141
"2002";42,4264068711929;789,944643924482
"2004";NA;339,411254969543
