area;tidal_level;year_tau;oneyear_tau;all_before_tau;old_before_tau;polovozrelye_before_tau
estuary;middle;1993;3,3333333333;110;55;50
estuary;middle;1994;50;393,3333333333;196,6666666667;26,6666666667
estuary;middle;1995;40;1440;720;293,3333333333
estuary;middle;1996;0;860;430;233,3333333333
estuary;middle;1997;0;673,3333333333;336,6666666667;203,3333333333
estuary;middle;1998;203,3333333333;426,6666666667;213,3333333333;153,3333333333
estuary;middle;1999;403,3333333333;1033,3333333333;516,6666666667;180
estuary;middle;2000;56,6666666667;3273,3333333333;1636,6666666667;36,6666666667
estuary;middle;2001;123,3333333333;3693,3333333333;1846,6666666667;116,6666666667
estuary;middle;2002;46,6666666667;4900;2450;293,3333333333
estuary;middle;2003;363,3333333333;3626,6666666667;1813,3333333333;280
estuary;middle;2004;703,3333333333;3473,3333333333;1736,6666666667;640
estuary;middle;2005;173,3333333333;4466,6666666667;2233,3333333333;886,6666666667
estuary;middle;2006;66,6666666667;2706,6666666667;1353,3333333333;610
estuary;middle;2007;880;1806,6666666667;903,3333333333;466,6666666667
estuary;middle;2008;416,6666666667;2340;1170;540
estuary;middle;2009;346,6666666667;2400;1200;506,6666666667
estuary;middle;2010;206,6666666667;2673,3333333333;1336,6666666667;356,6666666667
estuary;middle;2011;113,3333333333;3473,3333333333;1736,6666666667;546,6666666667
estuary;middle;2012;50;2960;1480;776,6666666667
ZRS;middle;1995;15;450;450;450
ZRS;middle;1996;0;490;475;490
ZRS;middle;1997;5;260;260;260
ZRS;middle;1998;185;220;215;220
ZRS;middle;1999;3235;650;465;755
ZRS;middle;2000;850;6765;3530;8530
ZRS;middle;2001;110;2560;1710;2910
ZRS;middle;2002;30;2455;2345;2515
ZRS;middle;2003;25;2620;2590;2690
ZRS;middle;2004;285;1925;1900;1930
ZRS;middle;2005;75;1845;1560;2355
ZRS;middle;2006;40;1720;1645;1825
ZRS;middle;2007;55;720;680;795
ZRS;middle;2008;390;1025;970;1055
ZRS;middle;2009;175;1620;1230;1840
ZRS;middle;2010;110;1460;1285;1745
ZRS;middle;2011;95;1575;1465;1680
ZRS;middle;2012;65;1405;1310;1455
YuG;middle;2002;225;1256,6666666667;1166,6666666667;1256,6666666667
YuG;middle;2003;414;1130,625;1035;1196,25
YuG;middle;2004;690;1682;1358,5714285714;1758
YuG;middle;2005;118;1705,3846153846;1015,3846153846;1913,0769230769
YuG;middle;2006;150;802;684;860
YuG;middle;2007;544;830;680;842,5
YuG;middle;2008;402;1168;624;1412
YuG;middle;2009;240;1329;927;1434
YuG;middle;2010;100;1004;764;1122
YuG;middle;2011;74;670;570;682
YuG;middle;2012;78;344;311,5384615385;364
lomnishniy;middle;2008;612;498;435;21
lomnishniy;middle;2009;18;1422;810;138
lomnishniy;middle;2010;6;810;990;135
lomnishniy;middle;2011;33;540;667,5;165
lomnishniy;middle;2012;138;378;345;39
razrez2;high_beatch;1993;0;93,9604780137;110;94,2857142857
razrez2;high_beatch;1994;13,416407865;255;412,5;412,5
razrez2;high_beatch;1995;51,9615242271;414,7890526728;562,5;462
razrez2;high_beatch;1996;15;548,1721649836;862,5;907,5
razrez2;high_beatch;1997;0;517,5932749252;690;697,5
razrez2;high_beatch;1998;871,0338684575;210,7130750571;580;620
razrez2;high_beatch;1999;5466,2875884827;1246,5335355679;1320;2130
razrez2;high_beatch;2000;127,2792206136;6974,3658357895;1560;7240
razrez2;fucus_zone;1993;13,416407865;118,1101181102;150;114
razrez2;fucus_zone;1994;50,199601592;285,9049397338;330;336
razrez2;fucus_zone;1995;189,2617235471;537,9187830889;705;745
razrez2;fucus_zone;1996;15,4919333848;698,201798605;942;1134
razrez2;fucus_zone;1997;51,6720427311;529,7681237728;760;770
razrez2;fucus_zone;1998;459,9891303064;648,2874967716;645;720
razrez2;fucus_zone;1999;1226,3237745392;2093,488441601;1770;2750
razrez2;fucus_zone;2000;306,4310689209;2508,3807155523;1635;3895
razrez2;zostera_zone;1993;0;231,0194796981;277,5;222
razrez2;zostera_zone;1994;15,4919333848;196,0357110325;405;405
razrez2;zostera_zone;1995;62,20932406;280,2182071092;730;765
razrez2;zostera_zone;1996;0;332,7088619524;582;660
razrez2;zostera_zone;1997;62,20932406;137,2042273401;637,5;645
razrez2;zostera_zone;1998;471,6778561688;254,7710024906;624;702
razrez2;zostera_zone;1999;395,5755300824;689,4621531234;1044;2424
razrez2;zostera_zone;2000;646,0108358224;910,5803844285;1305;2405
razrez2;low_beatch;1993;25,099800796;791,6438593206;560;560
razrez2;low_beatch;1994;34,6410161514;175,6986055722;324;354
razrez2;low_beatch;1995;56,920997883;301,2868486708;900;930
razrez2;low_beatch;1996;25,099800796;399,7183140919;750;685
razrez2;low_beatch;1997;72,0416546173;176,5923748715;855;870
razrez2;low_beatch;1998;220,0454498507;303,9683671797;805;880
razrez2;low_beatch;1999;780,173057725;488,8762516573;912;1182
razrez2;low_beatch;2000;260,959767014;1119,1863318014;1074;2328
goreliy;high;1993;0;72,8571428571;85;72,8571428571
goreliy;high;1994;50;143,3333333333;143,3333333333;143,3333333333
goreliy;high;1995;10;1200;1150;1220
goreliy;high;1996;0;210;200;210
goreliy;high;1997;10;260;260;260
goreliy;high;1998;170;160;150;160
goreliy;high;1999;1270;930;760;930
goreliy;high;2000;1840;3060;1790;3160
goreliy;high;2001;350;5770;3930;6100
goreliy;high;2002;230;2980;2630;3030
goreliy;high;2003;340;2260;2030;2380
goreliy;high;2004;960;2010;1670;2110
goreliy;high;2005;570;2480;1520;2620
goreliy;high;2006;440;2830;2260;3060
goreliy;high;2007;490;1870;1430;2200
goreliy;high;2008;300;1320;830;1940
goreliy;high;2009;540;980;680;1100
goreliy;high;2010;20;1720;1180;1860
goreliy;high;2011;80;890;870;900
goreliy;high;2012;250;1950;1870;2000
goreliy;middle;1993;13,3333333333;108;108;108
goreliy;middle;1994;250;480;466,6666666667;480
goreliy;middle;1995;10;1320;1070;1360
goreliy;middle;1996;110;720;710;710
goreliy;middle;1997;10;1430;1320;1440
goreliy;middle;1998;320;580;570;580
goreliy;middle;1999;4610;2310;1990;2400
goreliy;middle;2000;1220;7070;2460;8030
goreliy;middle;2001;130;4420;3200;4800
goreliy;middle;2002;170;3400;3270;3530
goreliy;middle;2003;140;1910;1740;2200
goreliy;middle;2004;340;1870;1730;2110
goreliy;middle;2005;250;1510;1170;1700
goreliy;middle;2006;610;1880;1630;2290
goreliy;middle;2007;710;1610;1000;1910
goreliy;middle;2008;610;1420;710;1990
goreliy;middle;2009;200;2320;1710;2740
goreliy;middle;2010;20;1240;1040;1280
goreliy;middle;2011;140;660;640;690
goreliy;middle;2012;200;1150;1010;1210
goreliy;midlow;1993;25;50;50;50
goreliy;midlow;1994;70;182,5;157,5;182,5
goreliy;midlow;1995;230;1820;1750;1820
goreliy;midlow;1996;0;1650;1420;1750
goreliy;midlow;1997;0;470;470;470
goreliy;midlow;1998;280;180;180;180
goreliy;midlow;1999;1510;2150;1870;2320
goreliy;midlow;2000;150;4050;2540;4240
goreliy;midlow;2001;110;1310;1160;1350
goreliy;midlow;2002;100;2200;2090;2240
goreliy;midlow;2003;550;700;600;730
goreliy;midlow;2004;30;2520;1970;2710
goreliy;midlow;2005;0;1020;990;1040
goreliy;midlow;2006;40;1350;1350;1350
goreliy;midlow;2007;60;640;600;650
goreliy;midlow;2008;160;530;470;540
goreliy;midlow;2009;70;960;800;1030
goreliy;midlow;2010;40;660;590;790
goreliy;midlow;2011;340;1330;1290;1330
goreliy;midlow;2012;50;1460;1120;1590
goreliy;low;1993;0;13,3333333333;13,3333333333;13,3333333333
goreliy;low;1994;0;96,6666666667;96,6666666667;96,6666666667
goreliy;low;1995;260;380;380;390
goreliy;low;1996;30;1090;830;1100
goreliy;low;1997;50;420;390;420
goreliy;low;1998;310;340;290;380
goreliy;low;1999;1220;1090;780;1120
goreliy;low;2000;0;2970;1750;3580
goreliy;low;2001;40;720;720;720
goreliy;low;2002;20;840;800;840
goreliy;low;2003;50;920;900;930
goreliy;low;2004;70;1500;1450;1540
goreliy;low;2005;10;1500;1430;1540
goreliy;low;2006;0;830;820;830
goreliy;low;2007;20;760;760;760
goreliy;low;2008;90;650;630;660
goreliy;low;2009;30;730;640;740
goreliy;low;2010;90;460;430;470
goreliy;low;2011;200;1140;1050;1140
goreliy;low;2012;20;1020;820;1100
