Location;Year;Core;Species
South;2001;4;Hydrobia ulvae
South;2001;4;Halicryptus spinulosus
South;2001;4;Fabricia sabella
South;2001;4;Scoloplos armiger
South;2001;4;Tubificoides benedeni
South;2001;4;Clitellio arenarius
South;2001;4;Pygospio elegans
South;2001;4;Polydora quadrilobata
South;2001;4;Eteone longa
South;2001;5;Scoloplos armiger
South;2001;5;Halicryptus spinulosus
South;2001;5;Travisia forbesii
South;2001;5;Polydora quadrilobata
South;2001;5;Eteone longa
South;2001;5;Hydrobia ulvae
South;2001;5;Littorina saxatilis
South;2001;6;Hydrobia ulvae
South;2001;6;Scoloplos armiger
South;2001;6;Polydora quadrilobata
South;2001;6;Travisia forbesii
South;2001;6;Arenicola marina
South;2001;7;Tubificoides benedeni
South;2001;7;Hydrobia ulvae
South;2001;7;Eteone longa
South;2001;7;Harmathoe imbricata
South;2001;7;Polydora quadrilobata
South;2001;7;Capitella capitata
South;2001;7;Fabricia sabella
South;2001;7;Pygospio elegans
South;2001;7;Scoloplos armiger
South;2001;7;Phyllodoce groenlandica
South;2001;8;Scoloplos armiger
South;2001;8;Littorina littorea
South;2001;8;Hydrobia ulvae
South;2001;8;Arenicola marina
South;2001;8;Capitella capitata
South;2001;8;Eteone longa
South;2001;8;Tubificoides benedeni
South;2001;8;Nemertini indet.
South;2001;8;Polydora quadrilobata
South;2001;8;Fabricia sabella
South;2001;8;Phyllodoce groenlandica
South;2001;8;Micronephthys minuta
South;2001;8;Pygospio elegans
South;2001;9;Travisia forbesii
South;2001;9;Scoloplos armiger
South;2001;9;Arenicola marina
South;2001;9;Hydrobia ulvae
South;2001;9;Eteone longa
South;2001;9;Microspio sp.
South;2001;9;Halicryptus spinulosus
South;2001;9;Polydora quadrilobata
South;2001;10;Hydrobia ulvae
South;2001;10;Halicryptus spinulosus
South;2001;10;Scoloplos armiger
South;2001;10;Diastylis sulcata
South;2001;10;Tubificoides benedeni
South;2001;10;Pygospio elegans
South;2001;11;Halicryptus spinulosus
South;2001;11;Scoloplos armiger
South;2001;11;Littorina saxatilis
South;2001;11;Diastylis sulcata
South;2001;11;Hydrobia ulvae
South;2001;11;Capitella capitata
South;2001;12;Scoloplos armiger
South;2001;12;Pygospio elegans
South;2001;12;Microspio sp.
South;2001;12;Littorina obtusata
South;2001;12;Hydrobia ulvae
South;2001;12;Eteone longa
South;2001;13;Cylichna occulta
South;2001;13;Hydrobia ulvae
South;2001;13;Scoloplos armiger
South;2001;13;Pygospio elegans
South;2001;14;Hydrobia ulvae
South;2001;14;Nemertini indet.
South;2001;14;Scoloplos armiger
South;2001;14;Pygospio elegans
South;2001;14;Travisia forbesii
South;2001;14;Polydora quadrilobata
South;2001;14;Eteone longa
South;2001;14;Microspio sp.
South;2001;15;Hydrobia ulvae
South;2001;15;Scoloplos armiger
South;2001;15;Arenicola marina
South;2001;15;Polydora quadrilobata
South;2001;15;Pygospio elegans
South;2001;15;Travisia forbesii
South;2001;15;Eteone longa
South;2001;15;Littorina saxatilis
South;2001;15;Clitellio arenarius
South;2001;15;Microspio sp.
South;2002;1;Halicryptus spinulosus
South;2002;1;Travisia forbesii
South;2002;1;Scoloplos armiger
South;2002;1;Eteone longa
South;2002;1;Microspio sp.
South;2002;1;Tubificoides benedeni
South;2002;1;Capitella capitata
South;2002;1;Hydrobia ulvae
South;2002;2;Hydrobia ulvae
South;2002;2;Nemertini indet.
South;2002;2;Halicryptus spinulosus
South;2002;2;Scoloplos armiger
South;2002;2;Phyllodoce groenlandica
South;2002;2;Tubificoides benedeni
South;2002;2;Microspio sp.
South;2002;2;Capitella capitata
South;2002;2;Eteone longa
South;2002;3;Hydrobia ulvae
South;2002;3;Scoloplos armiger
South;2002;3;Tubificoides benedeni
South;2002;3;Eteone longa
South;2002;3;Capitella capitata
South;2002;4;Eteone longa
South;2002;4;Microspio sp.
South;2002;4;Scoloplos armiger
South;2002;4;Tubificoides benedeni
South;2002;4;Travisia forbesii
South;2002;4;Hydrobia ulvae
South;2002;5;Hydrobia ulvae
South;2002;5;Scoloplos armiger
South;2002;5;Eteone longa
South;2002;5;Microspio sp.
South;2002;5;Nemertini indet.
South;2002;6;Tubificoides benedeni
South;2002;6;Hydrobia ulvae
South;2002;6;Halocladius vitripennis
South;2002;6;Scoloplos armiger
South;2002;6;Microspio sp.
South;2002;6;Eteone longa
South;2002;6;Capitella capitata
South;2002;6;Fabricia sabella
South;2002;7;Hydrobia ulvae
South;2002;7;Scoloplos armiger
South;2002;7;Phyllodoce groenlandica
South;2002;7;Microspio sp.
South;2002;7;Eteone longa
South;2002;7;Nemertini indet.
South;2002;8;Diastylis sulcata
South;2002;8;Eteone longa
South;2002;8;Nemertini indet.
South;2002;8;Scoloplos armiger
South;2002;8;Phyllodoce groenlandica
South;2002;8;Microspio sp.
South;2002;8;Monoculoides sp.
South;2002;9;Hydrobia ulvae
South;2002;9;Littorina obtusata
South;2002;9;Littorina saxatilis
South;2002;9;Scoloplos armiger
South;2002;9;Microspio sp.
South;2002;9;Eteone longa
South;2002;9;Arenicola marina
South;2002;10;Nemertini indet.
South;2002;10;Tubificoides benedeni
South;2002;10;Hydrobia ulvae
South;2002;10;Travisia forbesii
South;2002;10;Scoloplos armiger
