area;tidal_level;Alitte virens;Arenicola marina ;Atylus carinatus;Capitella capitata;Chironomidae;Clitellio arenarius;Corophium bonelli;Crangon crangon;Cylichna alba;Cylichna occulta;Diastylis sulcata;Dolichopodidae;Enchytraeidae;Epheria vincta;Eteone longa;Fabricia sabella;Gammarus sp;Halicryptus spinulosus;Harmathoe imbricata;Hydrobia ulvae;Jaera sp;Limaponlia cocksi;Littorina littorea;Littorina obtusata;Littorina saxatilis;Macoma balthica;Micronephthys minuta;Microspio theli;Monoculodes sp.;Mya arenaria;Mytilus edulis;Nemertini indet.;Nephthys sp.;Oligochaeta;Ophelia limacina;Paranais littoralis;Pectinaria sp.;Phyllodoce groenlandica;Polydora quadrilobata;Pontoporea affinis;Pseudalibrotus littoralis;Pygospio elegans;Scalibregma inflatum;Scoloplos armiger;Spio filicornis;Spionidae gen. sp.;Travisia forbesii;Tubifex costatus;Tubificoides benedeni;Nereimyra (Castalia) punctata;Chaetozone setosa;Priapulus caudatus;Priscillina armata;Serripes groenlandica;Skeneopsis planorbis;Pontoporea femorata;Diastilus sulcata
ZRS;middle;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Goreliy;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Goreliy;middle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Goreliy;midlow;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Goreliy;high;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Estuary;middle;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
YuG;low;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
Lomnishniy;low;0;1;1;0;1;0;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;0;1;1;0;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0
razrez2;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
razrez2;fucus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
razrez2;zostera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
razrez2;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
