area;sample;tidal_zone;Length.mm
Lisya;Ls1;middle;0,75
Lisya;Ls1;middle;0,75
Lisya;Ls1;middle;0,55
Lisya;Ls1;middle;0,65
Lisya;Ls1;middle;0,55
Lisya;Ls1;middle;0,8
Lisya;Ls1;middle;0,55
Lisya;Ls1;middle;0,65
Lisya;Ls1;middle;0,55
Lisya;Ls1;middle;0,65
Lisya;Ls1;middle;0,6
Lisya;Ls1;middle;0,35
Lisya;Ls1;middle;0,5
Lisya;Ls1;middle;0,6
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,8
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,7
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,65
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,65
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;1
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,45
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,4
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,7
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,65
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,8
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,65
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,65
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,45
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,65
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,5
Lisya;Ls2;middle;0,45
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,55
Lisya;Ls2;middle;0,6
Lisya;Ls2;middle;0,55
Lisya;Ls3;middle;0,55
Lisya;Ls3;middle;0,6
Lisya;Ls3;middle;0,6
Lisya;Ls3;middle;0,65
Lisya;Ls3;middle;0,65
Lisya;Ls3;middle;0,5
Lisya;Ls3;middle;0,45
Lisya;Ls3;middle;0,5
