"season";"year";"m0"
"1";"DJF";1979;-0,733333333333333
"2";"MAM";1979;1,4
"3";"JJA";1979;12,9555555555556
"4";"SON";1979;4,32222222222222
"5";"DJF";1980;-1,05
"6";"MAM";1980;0,628571428571429
"7";"JJA";1980;13,6
"8";"SON";1980;4,92222222222222
"9";"DJF";1981;-0,8
"10";"MAM";1981;-1
"11";"JJA";1981;11,8111111111111
"12";"SON";1981;5
"13";"DJF";1982;-0,425
"14";"MAM";1982;0,725
"15";"JJA";1982;10,7888888888889
"16";"SON";1982;4,35555555555556
"17";"DJF";1983;-0,6
"18";"MAM";1983;1,15
"19";"JJA";1983;12,9375
"20";"SON";1983;5,43333333333333
"21";"DJF";1984;-0,75
"22";"MAM";1984;2,55
"23";"JJA";1984;13,9555555555556
"24";"SON";1984;6,04285714285714
"25";"DJF";1985;-0,8
"26";"MAM";1985;-0,4625
"27";"JJA";1985;12,96
"28";"SON";1985;6,21428571428571
"29";"DJF";1986;-0,666666666666667
"30";"MAM";1986;1,25714285714286
"31";"JJA";1986;13,1666666666667
"32";"SON";1986;5,67142857142857
"33";"DJF";1987;-0,2
"34";"MAM";1987;0,25
"35";"JJA";1987;9,91111111111111
"36";"SON";1987;8,16666666666667
"37";"DJF";1988;-0,8
"38";"MAM";1988;1,16666666666667
"39";"JJA";1988;12,9111111111111
"40";"SON";1988;6,7
"41";"DJF";1989;-1
"42";"MAM";1989;2,54
"43";"JJA";1989;13,1777777777778
"44";"SON";1989;7,25
"45";"DJF";1990;-1,2
"46";"MAM";1990;1,16
"47";"JJA";1990;12,0888888888889
"48";"SON";1990;6,81428571428571
"49";"DJF";1991;-0,85
"50";"MAM";1991;0,9
"51";"JJA";1991;12,5333333333333
"52";"SON";1991;4,22857142857143
"53";"DJF";1992;-1
"54";"MAM";1992;7
"55";"JJA";1992;10,0333333333333
"56";"SON";1992;5,38571428571429
"57";"MAM";1993;2,4
"58";"JJA";1993;13,2333333333333
"59";"SON";1993;4,01428571428571
"60";"MAM";1994;-0,866666666666667
"61";"JJA";1994;12,9875
"62";"SON";1994;6,15
"63";"DJF";1995;-1
"64";"JJA";1995;10,85
"65";"SON";1995;6,04285714285714
"66";"DJF";1996;-1,1
"67";"MAM";1996;-1,05
"68";"JJA";1996;10,89
"69";"SON";1996;6,58
"70";"JJA";1997;13,06
"71";"SON";1997;5,37857142857143
"72";"DJF";1998;-1,1
"73";"MAM";1998;-0,65
"74";"JJA";1998;12,0222222222222
"75";"SON";1998;6,37142857142857
"76";"DJF";1999;-1,1
"77";"MAM";1999;0,233333333333333
"78";"JJA";1999;12,12
"79";"SON";1999;5,7
"80";"DJF";2000;1
"81";"MAM";2000;3
"82";"JJA";2000;14,1444444444444
"83";"SON";2000;7,2
"84";"DJF";2001;-1,4
"85";"MAM";2001;0,85
"86";"JJA";2001;11,8222222222222
"87";"SON";2001;4,92857142857143
"88";"DJF";2002;-1,35
"89";"MAM";2002;-0,0666666666666667
"90";"JJA";2002;12,19
"91";"SON";2002;5,21428571428571
"92";"DJF";2003;0
"93";"MAM";2003;2,34
"94";"JJA";2003;14,125
"95";"SON";2003;6,975
"96";"DJF";2004;-1
"97";"MAM";2004;0,7
"98";"JJA";2004;14,0555555555556
"99";"SON";2004;6,85714285714286
"100";"DJF";2005;1,8
"101";"MAM";2005;-0,6
"102";"JJA";2005;13,46
"103";"SON";2005;6,18571428571429
"104";"DJF";2006;0,1
"105";"MAM";2006;2,675
"106";"JJA";2006;12,0777777777778
"107";"SON";2006;7,22857142857143
"108";"DJF";2007;0,7
"109";"MAM";2007;3,5
"110";"JJA";2007;13,4888888888889
"111";"SON";2007;6,9
"112";"DJF";2008;0,8
"113";"MAM";2008;2,8
"114";"JJA";2008;12,275
"115";"SON";2008;5,7375
"116";"DJF";2009;0,4
"117";"MAM";2009;2,36666666666667
"118";"JJA";2009;11,8
"119";"SON";2009;5,15714285714286
"120";"DJF";2010;-0,85
"121";"MAM";2010;3,35
"122";"JJA";2010;11,8571428571429
