"season";"year";"m0_50"
"1";"DJF";1979;-0,822222222222222
"2";"MAM";1979;-0,203333333333333
"3";"JJA";1979;6,99814814814815
"4";"SON";1979;3,24444444444444
"5";"DJF";1980;-0,833333333333333
"6";"MAM";1980;-0,0380952380952381
"7";"JJA";1980;9,36296296296296
"8";"SON";1980;3,83703703703704
"9";"DJF";1981;-0,461111111111111
"10";"MAM";1981;-0,838888888888889
"11";"JJA";1981;6,84259259259259
"12";"SON";1981;4,60925925925926
"13";"DJF";1982;-0,154166666666667
"14";"MAM";1982;-0,258333333333333
"15";"JJA";1982;5,71666666666667
"16";"SON";1982;3,63518518518519
"17";"DJF";1983;-0,666666666666667
"18";"MAM";1983;0,161111111111111
"19";"JJA";1983;5,6125
"20";"SON";1983;4,51296296296296
"21";"DJF";1984;-0,175
"22";"MAM";1984;0,414583333333333
"23";"JJA";1984;7,95555555555556
"24";"SON";1984;5,56190476190476
"25";"DJF";1985;-0,283333333333333
"26";"MAM";1985;-0,222916666666667
"27";"JJA";1985;7,465
"28";"SON";1985;4,74047619047619
"29";"DJF";1986;-0,305555555555556
"30";"MAM";1986;0,459523809523809
"31";"JJA";1986;6,97407407407407
"32";"SON";1986;5,09523809523809
"33";"DJF";1987;-0,241666666666667
"34";"MAM";1987;-0,486111111111111
"35";"JJA";1987;5,45740740740741
"36";"SON";1987;6,54444444444444
"37";"DJF";1988;-0,716666666666667
"38";"MAM";1988;-0,311111111111111
"39";"JJA";1988;7,63888888888889
"40";"SON";1988;5,04583333333333
"41";"DJF";1989;-0,975
"42";"MAM";1989;0,236666666666667
"43";"JJA";1989;7,31074074074074
"44";"SON";1989;6,38055555555556
"45";"DJF";1990;-1,03333333333333
"46";"MAM";1990;-0,113333333333333
"47";"JJA";1990;8,08888888888889
"48";"SON";1990;5,74047619047619
"49";"DJF";1991;-0,416666666666667
"50";"MAM";1991;-0,108333333333333
"51";"JJA";1991;7,76296296296296
"52";"SON";1991;3,40714285714286
"53";"DJF";1992;-0,75
"54";"MAM";1992;3,91666666666667
"55";"JJA";1992;6,31851851851852
"56";"SON";1992;5,11666666666667
"57";"MAM";1993;0,486666666666667
"58";"JJA";1993;8,1537037037037
"59";"SON";1993;2,92142857142857
"60";"MAM";1994;-0,916666666666667
"61";"JJA";1994;7,9875
"62";"SON";1994;4,9
"63";"DJF";1995;-0,0666666666666667
"64";"JJA";1995;5,60416666666667
"65";"SON";1995;5,31904761904762
"66";"DJF";1996;-0,9
"67";"MAM";1996;-1,06666666666667
"68";"JJA";1996;5,23466666666667
"69";"SON";1996;5,24
"70";"JJA";1997;6,07166666666667
"71";"SON";1997;4,54404761904762
"72";"DJF";1998;-0,266666666666667
"73";"MAM";1998;-0,733333333333333
"74";"JJA";1998;7,8537037037037
"75";"SON";1998;5,33571428571429
"76";"DJF";1999;-1
"77";"MAM";1999;-0,177777777777778
"78";"JJA";1999;10,5233333333333
"79";"SON";1999;5,50416666666667
"80";"DJF";2000;1,1
"81";"MAM";2000;2,08666666666667
"82";"JJA";2000;13,4407407407407
"83";"SON";2000;6,91428571428571
"84";"DJF";2001;-0,2
"85";"MAM";2001;0,416666666666667
"86";"JJA";2001;9,81481481481481
"87";"SON";2001;4,57619047619048
"88";"DJF";2002;-1,13333333333333
"89";"MAM";2002;-0,383333333333333
"90";"JJA";2002;10,52
"91";"SON";2002;5,21904761904762
"92";"DJF";2003;0,0166666666666666
"93";"MAM";2003;1,65
"94";"JJA";2003;12,7583333333333
"95";"SON";2003;6,84583333333333
"96";"DJF";2004;-0,966666666666667
"97";"MAM";2004;0,433333333333333
"98";"JJA";2004;12,3481481481481
"99";"SON";2004;6,61904761904762
"100";"DJF";2005;1,86666666666667
"101";"MAM";2005;-0,866666666666667
"102";"JJA";2005;12,05
"103";"SON";2005;6,01904761904762
"104";"DJF";2006;0,0333333333333333
"105";"MAM";2006;2,1
"106";"JJA";2006;10,3666666666667
"107";"SON";2006;7,36190476190476
"108";"DJF";2007;0,733333333333333
"109";"MAM";2007;2,72222222222222
"110";"JJA";2007;12,462962962963
"111";"SON";2007;7,05238095238095
"112";"DJF";2008;1,6
"113";"MAM";2008;1,81111111111111
"114";"JJA";2008;10,8333333333333
"115";"SON";2008;5,58333333333333
"116";"DJF";2009;0,216666666666667
"117";"MAM";2009;0,322222222222222
"118";"JJA";2009;10,34
"119";"SON";2009;4,92857142857143
"120";"DJF";2010;-0,816666666666667
"121";"MAM";2010;1,65
"122";"JJA";2010;9,2047619047619
