"year";"m0";"date"
"1";1979;6,16538461538462;1979-01-01
"2";1980;6,25925925925926;1980-01-01
"3";1981;6,07916666666667;1981-01-01
"4";1982;4,68;1982-01-01
"5";1983;6,6125;1983-01-01
"6";1984;7,18461538461538;1984-01-01
"7";1985;6,48461538461538;1985-01-01
"8";1986;6,34615384615385;1986-01-01
"9";1987;6,05652173913044;1987-01-01
"10";1988;7,80454545454545;1988-01-01
"11";1989;7,85454545454545;1989-01-01
"12";1990;6,95217391304348;1990-01-01
"13";1991;5,94166666666667;1991-01-01
"14";1992;7,44444444444444;1992-01-01
"15";1993;7,58095238095238;1993-01-01
"16";1994;7,92105263157895;1994-01-01
"17";1995;8,00625;1995-01-01
"18";1996;7,7;1996-01-01
"19";1997;9,89705882352941;1997-01-01
"20";1998;7,91578947368421;1998-01-01
"21";1999;7,18695652173913;1999-01-01
"22";2000;8,80454545454545;2000-01-01
"23";2001;7,43157894736842;2001-01-01
"24";2002;7,06818181818182;2002-01-01
"25";2003;7,52083333333333;2003-01-01
"26";2004;8,3952380952381;2004-01-01
"27";2005;9,42631578947368;2005-01-01
"28";2006;8,1;2006-01-01
"29";2007;9,045;2007-01-01
"30";2008;7,665;2008-01-01
"31";2009;7,36363636363636;2009-01-01
"32";2010;8;2010-01-01
