year,month,mean_temperature
1979,1,-0.1000000
1979,2,-0.8000000
1979,3,-0.4000000
1979,4,-0.4000000
1979,5,2.6000000
1979,6,7.7500000
1979,7,15.1000000
1979,8,13.5666667
1979,9,9.5500000
1979,10,4.3750000
1979,11,0.7666667
1979,12,-1.3000000
1980,1,NA
1980,2,-1.0500000
1980,3,-1.0000000
1980,4,-0.7333333
1980,5,4.3000000
1980,6,12.4000000
1980,7,14.7000000
1980,8,13.7000000
1980,9,11.1500000
1980,10,6.4333333
1980,11,0.6750000
1980,12,NA
1981,1,NA
1981,2,-1.2000000
1981,3,-1.2000000
1981,4,NA
1981,5,-0.6000000
1981,6,9.6666667
1981,7,13.5500000
1981,8,12.5500000
1981,9,7.9333333
1981,10,5.2333333
1981,11,1.8333333
1981,12,-0.6000000
1982,1,-0.7000000
1982,2,-0.5000000
1982,3,-0.5000000
1982,4,-0.3000000
1982,5,4.0000000
1982,6,6.1000000
1982,7,12.5500000
1982,8,11.5666667
1982,9,7.9666667
1982,10,3.5333333
1982,11,1.5666667
1982,12,0.2000000
1983,1,NA
1983,2,-0.6000000
1983,3,-0.7000000
1983,4,-0.3500000
1983,5,4.5000000
1983,6,11.6000000
1983,7,14.3333333
1983,8,12.8500000
1983,9,7.5666667
1983,10,5.4000000
1983,11,2.3000000
1983,12,NA
1984,1,-0.6000000
1984,2,NA
1984,3,-0.7000000
1984,4,-0.4000000
1984,5,7.6666667
1984,6,13.0000000
1984,7,14.4000000
1984,8,14.4666667
1984,9,9.1000000
1984,10,5.2750000
1984,11,3.0000000
1984,12,-0.9000000
1985,1,NA
1985,2,-0.8000000
1985,3,-0.8000000
1985,4,-0.8500000
1985,5,0.1666667
1985,6,10.1333333
1985,7,14.2333333
1985,8,14.1250000
1985,9,10.4333333
1985,10,3.4333333
1985,11,1.9000000
1985,12,NA
1986,1,-0.5000000
1986,2,-0.6000000
1986,3,-0.5500000
1986,4,-0.5000000
1986,5,3.6333333
1986,6,12.6000000
1986,7,16.1333333
1986,8,10.7666667
1986,9,8.0000000
1986,10,4.7333333
1986,11,1.5000000
1986,12,-0.9000000
1987,1,-0.2000000
1987,2,-0.2000000
1987,3,-0.0500000
1987,4,-0.8666667
1987,5,4.2000000
1987,6,6.7666667
1987,7,11.4500000
1987,8,11.5500000
1987,9,9.4666667
1987,10,6.8666667
1987,11,NA
1987,12,NA
1988,1,-0.6000000
1988,2,-1.0000000
1988,3,-1.2000000
1988,4,-0.7000000
1988,5,5.4000000
1988,6,10.0000000
1988,7,15.6666667
1988,8,14.6000000
1988,9,12.3000000
1988,10,5.5000000
1988,11,0.1000000
1988,12,NA
1989,1,-1.0000000
1989,2,-1.0000000
1989,3,-0.8000000
1989,4,-0.6000000
1989,5,4.7000000
1989,6,10.2000000
1989,7,13.9500000
1989,8,14.1333333
1989,9,10.1500000
1989,10,5.8000000
1989,11,NA
1989,12,NA
1990,1,-1.4000000
1990,2,-1.0000000
1990,3,-0.1000000
1990,4,-0.8000000
1990,5,3.7500000
1990,6,8.2333333
1990,7,14.2666667
1990,8,13.7666667
1990,9,10.9000000
1990,10,6.1000000
1990,11,1.5000000
1990,12,NA
1991,1,-1.4000000
1991,2,-1.4000000
1991,3,-1.5000000
1991,4,-0.8000000
1991,5,2.9500000
1991,6,8.9000000
1991,7,13.3750000
1991,8,13.8333333
1991,9,5.4666667
1991,10,3.5333333
1991,11,2.6000000
1991,12,0.8000000
1992,1,NA
1992,2,-1.0000000
1992,3,NA
1992,4,7.0000000
1992,5,NA
1992,6,8.2000000
1992,7,11.0500000
1992,8,9.9000000
1992,9,9.0000000
1992,10,4.6750000
1992,11,1.0000000
1992,12,NA
1993,1,NA
1993,2,NA
1993,3,NA
1993,4,-1.3000000
1993,5,4.8666667
1993,6,10.0000000
1993,7,14.5500000
1993,8,13.6333333
1993,9,7.8333333
1993,10,2.9500000
1993,11,-0.6500000
1993,12,NA
1994,1,NA
1994,2,NA
1994,3,-1.2000000
1994,4,-0.2000000
1994,5,NA
1994,6,10.6666667
1994,7,14.2333333
1994,8,14.6000000
1994,9,9.6250000
1994,10,4.3000000
1994,11,1.0500000
1994,12,NA
1995,1,NA
1995,2,NA
1995,3,NA
1995,4,NA
1995,5,NA
1995,6,9.8000000
1995,7,12.1750000
1995,8,8.7000000
1995,9,8.3500000
1995,10,6.3000000
1995,11,0.4000000
1995,12,-1.0000000
1996,1,NA
1996,2,-1.1000000
1996,3,-1.2000000
1996,4,-0.9000000
1996,5,NA
1996,6,7.4333333
1996,7,10.8500000
1996,8,14.4000000
1996,9,8.0000000
1996,10,4.4500000
1996,11,NA
1996,12,NA
1997,1,NA
1997,2,NA
1997,3,NA
1997,4,NA
1997,5,NA
1997,6,10.9750000
1997,7,15.5666667
1997,8,13.3333333
1997,9,8.5500000
1997,10,4.3000000
1997,11,-0.9000000
1997,12,NA
1998,1,NA
1998,2,-1.1000000
1998,3,-0.8000000
1998,4,-0.5000000
1998,5,NA
1998,6,8.5666667
1998,7,15.1000000
1998,8,12.4000000
1998,9,9.4333333
1998,10,5.6000000
1998,11,2.5500000
1998,12,NA
1999,1,-1.2000000
1999,2,-1.0000000
1999,3,-0.6000000
1999,4,-0.3000000
1999,5,1.6000000
1999,6,7.6000000
1999,7,15.6250000
1999,8,11.9666667
1999,9,8.4333333
1999,10,5.5666667
1999,11,1.8000000
1999,12,NA
2000,1,NA
2000,2,NA
2000,3,-0.8000000
2000,4,-0.3000000
2000,5,5.3666667
2000,6,10.5000000
2000,7,16.3500000
2000,8,15.7750000
2000,9,10.7000000
2000,10,6.5000000
2000,11,3.0000000
2000,12,1.0000000
2001,1,NA
2001,2,NA
2001,3,NA
2001,4,-0.8000000
2001,5,2.5000000
2001,6,11.5000000
2001,7,13.9700000
2001,8,10.0000000
2001,9,7.5000000
2001,10,4.7500000
2001,11,0.5000000
2001,12,-1.4000000
2002,1,-1.4000000
2002,2,-1.3000000
2002,3,-1.2000000
2002,4,-0.5000000
2002,5,1.5000000
2002,6,9.1666667
2002,7,14.7250000
2002,8,11.8333333
2002,9,8.1333333
2002,10,3.8666667
2002,11,0.5000000
2002,12,NA
2003,1,-1.0000000
2003,2,-1.0000000
2003,3,-0.7000000
2003,4,-0.7000000
2003,5,4.3666667
2003,6,9.6666667
2003,7,17.3333333
2003,8,16.0000000
2003,9,9.7250000
2003,10,4.8000000
2003,11,2.5000000
2003,12,2.0000000
2004,1,NA
2004,2,-1.0000000
2004,3,-1.3700000
2004,4,-1.1900000
2004,5,2.7000000
2004,6,11.1333333
2004,7,15.9000000
2004,8,15.1333333
2004,9,9.7333333
2004,10,5.2000000
2004,11,3.2000000
2004,12,NA
2005,1,NA
2005,2,NA
2005,3,NA
2005,4,-0.6000000
2005,5,NA
2005,6,10.1250000
2005,7,16.5000000
2005,8,14.8666667
2005,9,10.0500000
2005,10,4.9250000
2005,11,3.5000000
2005,12,1.8000000
2006,1,NA
2006,2,0.1000000
2006,3,0.0000000
2006,4,-0.7000000
2006,5,5.7000000
2006,6,11.3666667
2006,7,12.4314444
2006,8,12.4429774
2006,9,10.5796825
2006,10,5.9093889
2006,11,1.1233636
2006,12,NA
2007,1,NA
2007,2,NA
2007,3,-0.2987778
2007,4,NA
2007,5,5.4000000
2007,6,12.2100000
2007,7,13.3050000
2007,8,14.5281667
2007,9,8.7844444
2007,10,6.1300000
2007,11,3.6070000
2007,12,0.7336923
2008,1,NA
2008,2,NA
2008,3,-0.6130000
2008,4,NA
2008,5,4.5000000
2008,6,11.7993333
2008,7,14.3674762
2008,8,9.8855000
2008,9,8.8674957
2008,10,4.2981875
2008,11,2.1395500
2008,12,0.8130000
2009,1,NA
2009,2,0.0000000
2009,3,-0.6042308
2009,4,-0.5210556
2009,5,8.2330000
2009,6,8.4260000
2009,7,13.2910000
2009,8,14.8175667
2009,9,9.0223333
2009,10,2.9965000
2009,11,1.5880000
2009,12,1.3240000
