CRUISEINFO ,,,,,,,,,,
90,COUNTRY CODE,RUSSIA,,,,,,,,
,PROJECT ,Data archaeology and rescue,,,,,,,,
,INSTITUTE,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,PLATFORM,UNKNOWN,,,,,,,,
,CRUISE,,,,,,,,,
,REFERENCE,Nansen bottle with reversing termometr,,,,,,,,
,COUNTING,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,VOUCHER,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
0,NUMBER,,,,,,,,,

STATION,1,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,1,2,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N
LONG END,33,39.4,,E
BOTTOM DEPTH,65,m,,
COMMENTS,UNDER ICE MESUREMENTS,,,

DETAILS,DEPTH,TEMP,SAL,
units,m,C,psu,
decimal places,0,1,1,
,0,-1.3,27.3,
,5,-1.2,27.4,
,10,-1.1,27.5,
,15,-1,27.5,
,25,-0.9,27.6,
,50,-0.3,27.8,
,65,-0.3,27.8,

STATION,19,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,1,20,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,-1.2,27.5,,,,,,,
,5,-1.1,27.5,,,,,,,
,10,-1,27.6,,,,,,,
,15,-0.9,27.7,,,,,,,
,25,-0.7,27.8,,,,,,,
,50,-0.3,27.9,,,,,,,
,65,-0.3,27.9,,,,,,,

STATION,31,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,2,1,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,-1.4,27.4,,,,,,,
,5,-1.2,27.6,,,,,,,
,10,-0.9,27.8,,,,,,,
,15,-0.7,27.9,,,,,,,
,25,-0.4,28,,,,,,,
,50,-0.2,28.3,,,,,,,
,65,-0.2,28.3,,,,,,,

STATION,50,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,2,20,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E
BOTTOM DEPTH,65,m,,
COMMENTS,UNDER ICE MESUREMENTS,,,

DETAILS,DEPTH,TEMP,SAL,
units,m,C,psu,
decimal places,0,1,1,
,0,-1.3,27.7,
,5,-1.2,27.8,
,10,-1.1,27.8,
,15,-0.9,27.9,
,25,-0.7,28,
,50,-0.5,28.2,
,65,-0.5,28.2,

STATION,102,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,4,13,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,-1.2,27.9,,,,,,,
,5,-1.1,28,,,,,,,
,10,-1.1,28.1,,,,,,,
,15,-1.1,28.1,,,,,,,
,25,-1.2,28.2,,,,,,,
,50,-0.9,28.3,,,,,,,
,65,-0.9,28.3,,,,,,,

STATION,150,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,5,31,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,6.7,22.5,,,,,,,
,5,4,26.4,,,,,,,
,10,0.8,27.5,,,,,,,
,15,0.5,27.7,,,,,,,
,25,0.1,28.1,,,,,,,
,50,-0.6,28.3,,,,,,,
,65,-0.6,28.3,,,,,,,

STATION,152,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,2,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,7.5,22.7,,,,,,,
,5,4.5,26.8,,,,,,,
,10,2.3,27.6,,,,,,,
,15,2,27.8,,,,,,,
,25,1.4,28.1,,,,,,,
,50,-0.6,28.3,,,,,,,
,65,-0.6,28.3,,,,,,,

STATION,165,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,15,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,13.1,22,,,,,,,
,5,10.5,25.5,,,,,,,
,10,8.9,26,,,,,,,
,15,6.7,26.3,,,,,,,
,25,2.6,27.1,,,,,,,
,50,0.5,27.9,,,,,,,
,65,0.4,27.9,,,,,,,

STATION,177,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,27,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,12.5,22.5,,,,,,,
,5,12.2,22.6,,,,,,,
,10,10.5,24.2,,,,,,,
,15,8.7,24.9,,,,,,,
,25,5,26.4,,,,,,,
,50,1,27.9,,,,,,,
,65,0.8,27.9,,,,,,,

STATION,190,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,7,10,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,14.5,22.6,,,,,,,
,5,13.4,23.2,,,,,,,
,10,9.5,24,,,,,,,
,15,7.1,26.4,,,,,,,
,25,2.2,27.7,,,,,,,
,50,0,28.4,,,,,,,
,65,0,28.4,,,,,,,

STATION,200,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,7,20,1961

HEADERS,,, , , 
LAT END,66,19.5,,N,
LONG END,33,39.4,,E,
BOTTOM DEPTH,65,m,,,
COMMENTS,,,,,

DETAILS,DEPTH,TEMP,SAL,,
units,m,C,psu,,
decimal places,0,1,1,,
,0,18.1,21.3,,
,5,12.6,23.9,,
,10,7,25.9,,
,15,5.5,26.5,,
,25,2.5,27.7,,
,50,1.2,28,,
,65,1.2,27.2,,,,,,,

STATION,212,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,8,1,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,15.8,23.6,,,,,,,
,5,15.1,24.2,,,,,,,
,10,13.5,25,,,,,,,
,15,11.4,25.2,,,,,,,
,25,7.1,26,,,,,,,
,50,2.9,28.3,,,,,,,
,65,2.9,28.3,,,,,,,

STATION,221,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,8,10,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,15,24,,,,,,,
,5,14.9,24.3,,,,,,,
,10,13.7,25.1,,,,,,,
,15,13.4,25.3,,,,,,,
,25,13,25.5,,,,,,,
,50,6,27.4,,,,,,,
,65,2,27.5,,,,,,,

STATION,227,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,8,16,1961

HEADERS,,, , , 
LAT END,66,19.5,,N,
LONG END,33,39.4,,E,
BOTTOM DEPTH,65,m,,,
COMMENTS,,,,,

DETAILS,DEPTH,TEMP,SAL,,
units,m,C,psu,,
decimal places,0,1,1,,
,0,14.5,24.7,,
,5,14.4,24.7,,
,10,14.2,24.8,,
,15,13.8,25,,
,25,12.7,25.2,,
,50,3.1,27.5,,
,65,2.9,27.6,,

STATION,234,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,8,23,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,13.5,22.6,,,,,,,
,5,13.4,23.4,,,,,,,
,10,13.9,24.6,,,,,,,
,15,13.1,25.1,,,,,,,
,25,11.5,26,,,,,,,
,50,7.5,27.7,,,,,,,
,65,2.3,27.8,,,,,,,

STATION,243,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,9,1,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,13.5,23.1,,,,,,,
,5,12.8,24.5,,,,,,,
,10,12.6,25.3,,,,,,,
,15,10,26.1,,,,,,,
,25,4.7,27.2,,,,,,,
,50,2,27.8,,,,,,,
,65,1.2,27.9,,,,,,,

STATION,254,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,9,12,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N
LONG END,33,39.4,,E
BOTTOM DEPTH,65,m,,
COMMENTS,,,,

DETAILS,DEPTH,TEMP,SAL,
units,m,C,psu,
decimal places,0,1,1,
,0,10.6,24.3,
,5,10.5,24.3,
,10,10.5,24.3,
,15,7.9,26.4,
,25,2.7,27.4,
,50,0.9,28.1,
,65,0.9,28.2,

STATION,270,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,9,28,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,7.8,25.1,,,,,,,
,5,7.8,25.2,,,,,,,
,10,7.4,25.7,,,,,,,
,15,6.1,26.6,,,,,,,
,25,3.4,27.4,,,,,,,
,50,2.6,27.7,,,,,,,
,65,2.5,27.8,,,,,,,

STATION,282,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,10,10,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,6.2,25.8,,,,,,,
,5,6.2,25.8,,,,,,,
,10,5.6,26.9,,,,,,,
,15,4.9,27.2,,,,,,,
,25,3.5,27.5,,,,,,,
,50,2.3,27.8,,,,,,,
,65,2.3,27.9,,,,,,,

STATION,292,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,10,20,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E
BOTTOM DEPTH,65,m,,
COMMENTS,,,,

DETAILS,DEPTH,TEMP,SAL,
units,m,C,psu,
decimal places,0,1,1,
,0,5.8,25.5,
,5,5.9,25.8,
,10,5.6,26.7,
,15,5.6,27,
,25,5.6,27.5,
,50,2.7,27.7,
,65,2.7,27.7,

STATION,305,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,11,2,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,5,26.2,,,,,,,
,5,5,26.2,,,,,,,
,10,5.3,26.3,,,,,,,
,15,4.9,26.9,,,,,,,
,25,4,27.4,,,,,,,
,50,2.5,27.8,,,,,,,
,65,2.4,27.9,,,,,,,

STATION,316,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,11,13,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,3.5,26.6,,,,,,,
,5,3.5,26.6,,,,,,,
,10,4,26.9,,,,,,,
,15,3.7,27.2,,,,,,,
,25,3.2,27.8,,,,,,,
,50,2.6,27.9,,,,,,,
,65,2.5,28,,,,,,,

STATION,324,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,11,21,1961

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,2.3,26.9,,,,,,,
