CRUISEINFO ,,,,,,,,,,,,
90,COUNTRY CODE,RUSSIA,,,,,,,,,,
,PROJECT ,Data archaeology and rescue,,,,,,,,,,
,INSTITUTE,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,,,
,PLATFORM,,,,,,,,,,,
,CRUISE,,,,,,,,,,,
,REFERENCE,,,,,,,,,,,
,COUNTING,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,,,
,VOUCHER,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,,,
3,NUMBER,,,,,,,,,,,
STATION,1835,,,,,,,,,,,c
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR,,
66,19.5,,N,33,39.4,,E,1,10,1966,,

HEADERS,,, , , ,,,,,,,
LAT END,66,19.5,,N,,,,,,,,
LONG END,33,39.4,,E
BOTTOM DEPTH,65,m,,
COMMENTS,UNDER ICE MESUREMENTS,,,

DETAILS,DEPTH,TEMP,SAL,
units,m,C,psu,
decimal places,0,1,1,
,0,-0.7,27.1,
,5,-0.3,27.5,
,10,0.1,27.7,
,15,0.1,27.7,
,25,0.1,27.7,
,50,0.2,27.7,
,65,0.2,27.7,

STATION,1845,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,1,20,1966

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,-0.6,25.9,,,,,,,
,5,-0.5,26.8,,,,,,,
,10,-0.4,26.9,,,,,,,
,15,-0.3,27,,,,,,,
,25,0.2,27.1,,,,,,,
,50,0.3,27.9,,,,,,,
,65,0.2,28,,,,,,,

STATION,1858,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,2,2,1966

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,-0.4,5.8,,,,,,,
,5,-0.6,26.9,,,,,,,
,10,-0.8,27.1,,,,,,,
,15,-0.5,27.2,,,,,,,
,25,0.1,27.7,,,,,,,
,50,0.3,28.2,,,,,,,
,65,0.2,28.3,,,,,,,

STATION,1867,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,2,11,1966

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,-0.5,26.5,,,,,,,
,5,-0.6,27.5,,,,,,,
,10,-0.6,27.6,,,,,,,
,15,-0.4,27.6,,,,,,,
,25,0.2,28.2,,,,,,,
,50,0.2,28.3,,,,,,,
,65,0.2,28.3,,,,,,,

STATION,1877,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,2,21,1966

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,,,,

