,month.month....6.8.,date.month....6.8.,year.month....6.8.,m0.month....6.8.
1,7,10,1979,15.80000
2,8,20,1979,14.40000
3,6,20,1980,13.30000
4,7,30,1980,16.00000
5,8,11,1980,13.60000
6,6,10,1981,8.20000
7,7,20,1981,12.70000
8,8,1,1981,14.60000
9,8,31,1981,10.60000
10,7,10,1982,12.90000
11,8,20,1982,11.30000
12,6,9,1983,10.40000
13,7,20,1983,14.40000
14,6,20,1984,13.20000
15,7,30,1984,15.60000
16,8,11,1984,18.00000
17,6,30,1985,11.60000
18,7,9,1985,14.60000
19,8,19,1985,14.60000
20,6,9,1986,11.70000
21,7,20,1986,17.10000
22,8,30,1986,9.00000
23,6,20,1987,8.60000
24,7,1,1987,11.00000
25,7,30,1987,10.30000
26,8,10,1987,11.80000
27,6,3,1988,6.30000
28,6,30,1988,15.60000
29,7,9,1988,14.40000
30,8,22,1988,13.80000
31,6,11,1989,9.00000
32,7,20,1989,13.20000
33,8,30,1989,12.40000
34,6,30,1990,10.00000
35,7,11,1990,13.70000
36,8,20,1990,13.60000
37,6,10,1991,8.00000
38,7,20,1991,14.40000
39,8,31,1991,13.10000
40,7,9,1992,9.60000
41,8,22,1992,9.00000
42,7,11,1993,12.40000
43,8,21,1993,13.90000
44,6,20,1994,10.00000
45,7,30,1994,15.30000
46,8,11,1994,15.20000
47,6,1,1995,7.60000
48,7,10,1995,12.80000
49,6,9,1996,8.10000
50,7,21,1996,12.40000
51,8,31,1996,12.70000
52,6,11,1997,12.00000
53,7,21,1997,17.80000
54,8,30,1997,11.90000
55,6,30,1998,12.70000
56,7,9,1998,16.20000
57,8,20,1998,11.90000
58,6,21,1999,10.20000
59,7,1,1999,16.80000
60,7,31,1999,14.80000
61,8,10,1999,13.10000
62,6,10,2000,8.90000
63,7,20,2000,17.70000
64,8,1,2000,17.50000
65,8,30,2000,13.50000
66,6,30,2001,12.50000
67,7,10,2001,13.50000
68,8,21,2001,10.00000
69,6,11,2002,9.00000
70,7,20,2002,14.00000
71,8,31,2002,8.00000
72,6,19,2003,10.20000
73,7,29,2003,20.00000
74,8,11,2003,16.70000
75,6,10,2004,7.80000
76,7,20,2004,15.80000
77,8,31,2004,13.10000
78,6,11,2005,10.00000
79,7,21,2005,17.00000
80,8,31,2005,13.10000
81,6,29,2006,13.30000
82,7,10,2006,14.40000
83,8,20,2006,12.22547
84,6,20,2007,9.56000
85,8,11,2007,16.29000
86,6,30,2008,13.22600
87,7,9,2008,12.70343
88,8,20,2008,8.33000
89,6,20,2009,8.77100
90,7,30,2009,14.12000
91,8,10,2009,16.54000
92,6,10,2010,8.39700
93,7,20,2010,13.79900
94,8,10,2010,16.58300
m5.month....6.8.,m10.month....6.8.,m0.10,,
1,12.20000,10.400,12.800000,
2,13.00000,9.600,12.333333,
3,11.00000,8.200,10.833333,
4,15.70000,14.700,15.466667,
5,13.50000,13.500,13.533333,
6,5.00000,1.800,5.000000,
7,13.00000,8.000,11.233333,
8,14.30000,12.400,13.766667,
9,10.60000,10.600,10.600000,
10,12.30000,7.500,10.900000,
11,10.40000,10.200,10.633333,
12,5.00000,4.000,6.466667,
13,9.50000,3.500,9.133333,
14,6.50000,2.000,7.233333,
15,13.30000,11.500,13.466667,
16,18.20000,14.400,16.866667,
17,11.60000,11.400,11.533333,
18,12.20000,10.500,12.433333,
19,14.60000,14.200,14.466667,
20,3.50000,2.700,5.966667,
21,12.80000,11.200,13.700000,
22,9.40000,10.000,9.466667,
23,4.50000,3.600,5.566667,
24,9.00000,5.000,8.333333,
25,10.00000,8.600,9.633333,
26,12.00000,12.000,11.933333,
27,6.20000,5.600,6.033333,
28,13.60000,6.000,11.733333,
29,14.40000,12.700,13.833333,
30,13.80000,13.800,13.800000,
31,7.00000,6.300,7.433333,
32,13.00000,11.000,12.400000,
