    year month mean_temperature
1   1979     1       -0.1000000
2   1979     2       -0.8000000
3   1979     3       -0.4000000
4   1979     4       -0.4000000
5   1979     5        2.6000000
6   1979     6        7.7500000
7   1979     7       15.1000000
8   1979     8       13.5666667
9   1979     9        9.5500000
10  1979    10        4.3750000
11  1979    11        0.7666667
12  1979    12       -1.3000000
13  1980     1               NA
14  1980     2       -1.0500000
15  1980     3       -1.0000000
16  1980     4       -0.7333333
17  1980     5        4.3000000
18  1980     6       12.4000000
19  1980     7       14.7000000
20  1980     8       13.7000000
21  1980     9       11.1500000
22  1980    10        6.4333333
23  1980    11        0.6750000
24  1980    12               NA
25  1981     1               NA
26  1981     2       -1.2000000
27  1981     3       -1.2000000
28  1981     4               NA
29  1981     5       -0.6000000
30  1981     6        9.6666667
31  1981     7       13.5500000
32  1981     8       12.5500000
33  1981     9        7.9333333
34  1981    10        5.2333333
35  1981    11        1.8333333
36  1981    12       -0.6000000
37  1982     1       -0.7000000
38  1982     2       -0.5000000
39  1982     3       -0.5000000
40  1982     4       -0.3000000
41  1982     5        4.0000000
42  1982     6        6.1000000
43  1982     7       12.5500000
44  1982     8       11.5666667
45  1982     9        7.9666667
46  1982    10        3.5333333
47  1982    11        1.5666667
48  1982    12        0.2000000
49  1983     1               NA
50  1983     2       -0.6000000
51  1983     3       -0.7000000
52  1983     4       -0.3500000
53  1983     5        4.5000000
54  1983     6       11.6000000
55  1983     7       14.3333333
56  1983     8       12.8500000
57  1983     9        7.5666667
58  1983    10        5.4000000
59  1983    11        2.3000000
60  1983    12               NA
61  1984     1       -0.6000000
62  1984     2               NA
63  1984     3       -0.7000000
64  1984     4       -0.4000000
65  1984     5        7.6666667
66  1984     6       13.0000000
67  1984     7       14.4000000
68  1984     8       14.4666667
69  1984     9        9.1000000
70  1984    10        5.2750000
71  1984    11        3.0000000
72  1984    12       -0.9000000
73  1985     1               NA
74  1985     2       -0.8000000
75  1985     3       -0.8000000
76  1985     4       -0.8500000
77  1985     5        0.1666667
78  1985     6       10.1333333
79  1985     7       14.2333333
80  1985     8       14.1250000
81  1985     9       10.4333333
82  1985    10        3.4333333
83  1985    11        1.9000000
84  1985    12               NA
85  1986     1       -0.5000000
86  1986     2       -0.6000000
87  1986     3       -0.5500000
88  1986     4       -0.5000000
89  1986     5        3.6333333
90  1986     6       12.6000000
91  1986     7       16.1333333
92  1986     8       10.7666667
93  1986     9        8.0000000
94  1986    10        4.7333333
95  1986    11        1.5000000
96  1986    12       -0.9000000
97  1987     1       -0.2000000
98  1987     2       -0.2000000
99  1987     3       -0.0500000
100 1987     4       -0.8666667
101 1987     5        4.2000000
102 1987     6        6.7666667
103 1987     7       11.4500000
104 1987     8       11.5500000
105 1987     9        9.4666667
106 1987    10        6.8666667
107 1987    11               NA
108 1987    12               NA
109 1988     1       -0.6000000
110 1988     2       -1.0000000
111 1988     3       -1.2000000
112 1988     4       -0.7000000
113 1988     5        5.4000000
114 1988     6       10.0000000
115 1988     7       15.6666667
116 1988     8       14.6000000
117 1988     9       12.3000000
118 1988    10        5.5000000
119 1988    11        0.1000000
120 1988    12               NA
121 1989     1       -1.0000000
122 1989     2       -1.0000000
123 1989     3       -0.8000000
124 1989     4       -0.6000000
125 1989     5        4.7000000
126 1989     6       10.2000000
127 1989     7       13.9500000
128 1989     8       14.1333333
129 1989     9       10.1500000
130 1989    10        5.8000000
131 1989    11               NA
132 1989    12               NA
133 1990     1       -1.4000000
134 1990     2       -1.0000000
135 1990     3       -0.1000000
136 1990     4       -0.8000000
137 1990     5        3.7500000
138 1990     6        8.2333333
139 1990     7       14.2666667
140 1990     8       13.7666667
141 1990     9       10.9000000
142 1990    10        6.1000000
143 1990    11        1.5000000
144 1990    12               NA
145 1991     1       -1.4000000
146 1991     2       -1.4000000
147 1991     3       -1.5000000
148 1991     4       -0.8000000
149 1991     5        2.9500000
150 1991     6        8.9000000
151 1991     7       13.3750000
152 1991     8       13.8333333
153 1991     9        5.4666667
154 1991    10        3.5333333
155 1991    11        2.6000000
156 1991    12        0.8000000
157 1992     1               NA
158 1992     2       -1.0000000
159 1992     3               NA
160 1992     4        7.0000000
161 1992     5               NA
162 1992     6        8.2000000
163 1992     7       11.0500000
164 1992     8        9.9000000
165 1992     9        9.0000000
166 1992    10        4.6750000
167 1992    11        1.0000000
168 1992    12               NA
169 1993     1               NA
170 1993     2               NA
171 1993     3               NA
172 1993     4       -1.3000000
173 1993     5        4.8666667
174 1993     6       10.0000000
175 1993     7       14.5500000
176 1993     8       13.6333333
177 1993     9        7.8333333
178 1993    10        2.9500000
179 1993    11       -0.6500000
180 1993    12               NA
181 1994     1               NA
182 1994     2               NA
183 1994     3       -1.2000000
184 1994     4       -0.2000000
185 1994     5               NA
186 1994     6       10.6666667
187 1994     7       14.2333333
188 1994     8       14.6000000
189 1994     9        9.6250000
190 1994    10        4.3000000
191 1994    11        1.0500000
192 1994    12               NA
193 1995     1               NA
194 1995     2               NA
195 1995     3               NA
196 1995     4               NA
197 1995     5               NA
198 1995     6        9.8000000
199 1995     7       12.1750000
200 1995     8        8.7000000
201 1995     9        8.3500000
202 1995    10        6.3000000
203 1995    11        0.4000000
204 1995    12       -1.0000000
205 1996     1               NA
206 1996     2       -1.1000000
207 1996     3       -1.2000000
208 1996     4       -0.9000000
209 1996     5               NA
210 1996     6        7.4333333
211 1996     7       10.8500000
212 1996     8       14.4000000
213 1996     9        8.0000000
214 1996    10        4.4500000
215 1996    11               NA
216 1996    12               NA
217 1997     1               NA
218 1997     2               NA
219 1997     3               NA
220 1997     4               NA
221 1997     5               NA
222 1997     6       10.9750000
223 1997     7       15.5666667
224 1997     8       13.3333333
225 1997     9        8.5500000
226 1997    10        4.3000000
227 1997    11       -0.9000000
228 1997    12               NA
229 1998     1               NA
230 1998     2       -1.1000000
231 1998     3       -0.8000000
232 1998     4       -0.5000000
233 1998     5               NA
234 1998     6        8.5666667
235 1998     7       15.1000000
236 1998     8       12.4000000
237 1998     9        9.4333333
238 1998    10        5.6000000
239 1998    11        2.5500000
240 1998    12               NA
241 1999     1       -1.2000000
242 1999     2       -1.0000000
243 1999     3       -0.6000000
244 1999     4       -0.3000000
245 1999     5        1.6000000
246 1999     6        7.6000000
247 1999     7       15.6250000
248 1999     8       11.9666667
249 1999     9        8.4333333
250 1999    10        5.5666667
251 1999    11        1.8000000
252 1999    12               NA
253 2000     1               NA
254 2000     2               NA
255 2000     3       -0.8000000
256 2000     4       -0.3000000
257 2000     5        5.3666667
258 2000     6       10.5000000
259 2000     7       16.3500000
260 2000     8       15.7750000
261 2000     9       10.7000000
262 2000    10        6.5000000
263 2000    11        3.0000000
264 2000    12        1.0000000
265 2001     1               NA
266 2001     2               NA
267 2001     3               NA
268 2001     4       -0.8000000
269 2001     5        2.5000000
270 2001     6       11.5000000
271 2001     7       13.9700000
272 2001     8       10.0000000
273 2001     9        7.5000000
274 2001    10        4.7500000
275 2001    11        0.5000000
276 2001    12       -1.4000000
277 2002     1       -1.4000000
278 2002     2       -1.3000000
279 2002     3       -1.2000000
280 2002     4       -0.5000000
281 2002     5        1.5000000
282 2002     6        9.1666667
283 2002     7       14.7250000
284 2002     8       11.8333333
285 2002     9        8.1333333
286 2002    10        3.8666667
287 2002    11        0.5000000
288 2002    12               NA
289 2003     1       -1.0000000
290 2003     2       -1.0000000
291 2003     3       -0.7000000
292 2003     4       -0.7000000
293 2003     5        4.3666667
294 2003     6        9.6666667
295 2003     7       17.3333333
296 2003     8       16.0000000
297 2003     9        9.7250000
298 2003    10        4.8000000
299 2003    11        2.5000000
300 2003    12        2.0000000
301 2004     1               NA
302 2004     2       -1.0000000
303 2004     3       -1.3700000
304 2004     4       -1.1900000
305 2004     5        2.7000000
306 2004     6       11.1333333
307 2004     7       15.9000000
308 2004     8       15.1333333
309 2004     9        9.7333333
310 2004    10        5.2000000
311 2004    11        3.2000000
312 2004    12               NA
313 2005     1               NA
314 2005     2               NA
315 2005     3               NA
316 2005     4       -0.6000000
317 2005     5               NA
318 2005     6       10.1250000
319 2005     7       16.5000000
320 2005     8       14.8666667
321 2005     9       10.0500000
322 2005    10        4.9250000
323 2005    11        3.5000000
324 2005    12        1.8000000
325 2006     1               NA
326 2006     2        0.1000000
327 2006     3        0.0000000
328 2006     4       -0.7000000
329 2006     5        5.7000000
330 2006     6       11.3666667
331 2006     7       12.4314444
332 2006     8       12.4429774
333 2006     9       10.5796825
334 2006    10        5.9093889
335 2006    11        1.1233636
336 2006    12               NA
337 2007     1               NA
338 2007     2               NA
339 2007     3       -0.2987778
340 2007     4               NA
341 2007     5        5.4000000
342 2007     6       12.2100000
343 2007     7       13.3050000
344 2007     8       14.5281667
345 2007     9        8.7844444
346 2007    10        6.1300000
347 2007    11        3.6070000
348 2007    12        0.7336923
349 2008     1               NA
350 2008     2               NA
351 2008     3       -0.6130000
352 2008     4               NA
353 2008     5        4.5000000
354 2008     6       11.7993333
355 2008     7       14.3674762
356 2008     8        9.8855000
357 2008     9        8.8674957
358 2008    10        4.2981875
359 2008    11        2.1395500
360 2008    12        0.8130000
361 2009     1               NA
362 2009     2        0.0000000
363 2009     3       -0.6042308
364 2009     4       -0.5210556
