year,month,mean_temperature,
1,1979,1,"-0,1"
2,1979,2,"-0,8"
3,1979,3,"-0,4"
4,1979,4,"-0,4"
5,1979,5,"2,6"
6,1979,6,"7,75"
7,1979,7,"15,1"
8,1979,8,"13,5666667"
9,1979,9,"9,55"
10,1979,10,"4,375"
11,1979,11,"0,7666667"
12,1979,12,"-1,3"
14,1980,2,"-1,05"
15,1980,3,-1
16,1980,4,"-0,7333333"
17,1980,5,"4,3"
18,1980,6,"12,4"
19,1980,7,"14,7"
20,1980,8,"13,7"
21,1980,9,"11,15"
22,1980,10,"6,4333333"
23,1980,11,"0,675"
26,1981,2,"-1,2"
27,1981,3,"-1,2"
29,1981,5,"-0,6"
30,1981,6,"9,6666667"
31,1981,7,"13,55"
32,1981,8,"12,55"
33,1981,9,"7,9333333"
34,1981,10,"5,2333333"
35,1981,11,"1,8333333"
36,1981,12,"-0,6"
37,1982,1,"-0,7"
38,1982,2,"-0,5"
39,1982,3,"-0,5"
40,1982,4,"-0,3"
41,1982,5,4
42,1982,6,"6,1"
43,1982,7,"12,55"
44,1982,8,"11,5666667"
45,1982,9,"7,9666667"
46,1982,10,"3,5333333"
47,1982,11,"1,5666667"
48,1982,12,"0,2"
50,1983,2,"-0,6"
51,1983,3,"-0,7"
52,1983,4,"-0,35"
53,1983,5,"4,5"
54,1983,6,"11,6"
55,1983,7,"14,3333333"
56,1983,8,"12,85"
57,1983,9,"7,5666667"
58,1983,10,"5,4"
59,1983,11,"2,3"
61,1984,1,"-0,6"
63,1984,3,"-0,7"
64,1984,4,"-0,4"
65,1984,5,"7,6666667"
66,1984,6,13
67,1984,7,"14,4"
68,1984,8,"14,4666667"
69,1984,9,"9,1"
70,1984,10,"5,275"
71,1984,11,3
72,1984,12,"-0,9"
74,1985,2,"-0,8"
75,1985,3,"-0,8"
76,1985,4,"-0,85"
77,1985,5,"0,1666667"
78,1985,6,"10,1333333"
79,1985,7,"14,2333333"
80,1985,8,"14,125"
81,1985,9,"10,4333333"
82,1985,10,"3,4333333"
83,1985,11,"1,9"
85,1986,1,"-0,5"
86,1986,2,"-0,6"
87,1986,3,"-0,55"
88,1986,4,"-0,5"
89,1986,5,"3,6333333"
90,1986,6,"12,6"
91,1986,7,"16,1333333"
92,1986,8,"10,7666667"
93,1986,9,8
94,1986,10,"4,7333333"
95,1986,11,"1,5"
96,1986,12,"-0,9"
97,1987,1,"-0,2"
98,1987,2,"-0,2"
99,1987,3,"-0,05"
100,1987,4,"-0,8666667"
101,1987,5,"4,2"
102,1987,6,"6,7666667"
103,1987,7,"11,45"
104,1987,8,"11,55"
105,1987,9,"9,4666667"
106,1987,10,"6,8666667"
109,1988,1,"-0,6"
110,1988,2,-1
111,1988,3,"-1,2"
112,1988,4,"-0,7"
113,1988,5,"5,4"
114,1988,6,10
115,1988,7,"15,6666667"
116,1988,8,"14,6"
117,1988,9,"12,3"
118,1988,10,"5,5"
119,1988,11,"0,1"
121,1989,1,-1
122,1989,2,-1
123,1989,3,"-0,8"
124,1989,4,"-0,6"
125,1989,5,"4,7"
126,1989,6,"10,2"
127,1989,7,"13,95"
128,1989,8,"14,1333333"
129,1989,9,"10,15"
130,1989,10,"5,8"
133,1990,1,"-1,4"
134,1990,2,-1
135,1990,3,"-0,1"
136,1990,4,"-0,8"
137,1990,5,"3,75"
138,1990,6,"8,2333333"
139,1990,7,"14,2666667"
140,1990,8,"13,7666667"
141,1990,9,"10,9"
142,1990,10,"6,1"
143,1990,11,"1,5"
145,1991,1,"-1,4"
146,1991,2,"-1,4"
147,1991,3,"-1,5"
148,1991,4,"-0,8"
149,1991,5,"2,95"
150,1991,6,"8,9"
151,1991,7,"13,375"
152,1991,8,"13,8333333"
153,1991,9,"5,4666667"
154,1991,10,"3,5333333"
155,1991,11,"2,6"
156,1991,12,"0,8"
158,1992,2,-1
160,1992,4,7
162,1992,6,"8,2"
163,1992,7,"11,05"
164,1992,8,"9,9"
165,1992,9,9
166,1992,10,"4,675"
167,1992,11,1
172,1993,4,"-1,3"
173,1993,5,"4,8666667"
174,1993,6,10
175,1993,7,"14,55"
176,1993,8,"13,6333333"
177,1993,9,"7,8333333"
178,1993,10,"2,95"
179,1993,11,"-0,65"
183,1994,3,"-1,2"
184,1994,4,"-0,2"
186,1994,6,"10,6666667"
187,1994,7,"14,2333333"
188,1994,8,"14,6"
189,1994,9,"9,625"
190,1994,10,"4,3"
191,1994,11,"1,05"
198,1995,6,"9,8"
199,1995,7,"12,175"
200,1995,8,"8,7"
201,1995,9,"8,35"
202,1995,10,"6,3"
203,1995,11,"0,4"
204,1995,12,-1
206,1996,2,"-1,1"
207,1996,3,"-1,2"
208,1996,4,"-0,9"
210,1996,6,"7,4333333"
211,1996,7,"10,85"
212,1996,8,"14,4"
213,1996,9,8
214,1996,10,"4,45"
222,1997,6,"10,975"
223,1997,7,"15,5666667"
224,1997,8,"13,3333333"
225,1997,9,"8,55"
226,1997,10,"4,3"
227,1997,11,"-0,9"
230,1998,2,"-1,1"
231,1998,3,"-0,8"
232,1998,4,"-0,5"
234,1998,6,"8,5666667"
235,1998,7,"15,1"
236,1998,8,"12,4"
237,1998,9,"9,4333333"
238,1998,10,"5,6"
239,1998,11,"2,55"
241,1999,1,"-1,2"
242,1999,2,-1
243,1999,3,"-0,6"
244,1999,4,"-0,3"
245,1999,5,"1,6"
246,1999,6,"7,6"
247,1999,7,"15,625"
248,1999,8,"11,9666667"
249,1999,9,"8,4333333"
250,1999,10,"5,5666667"
251,1999,11,"1,8"
255,2000,3,"-0,8"
256,2000,4,"-0,3"
257,2000,5,"5,3666667"
258,2000,6,"10,5"
259,2000,7,"16,35"
260,2000,8,"15,775"
261,2000,9,"10,7"
262,2000,10,"6,5"
263,2000,11,3
264,2000,12,1
268,2001,4,"-0,8"
269,2001,5,"2,5"
270,2001,6,"11,5"
271,2001,7,"13,97"
272,2001,8,10
273,2001,9,"7,5"
274,2001,10,"4,75"
275,2001,11,"0,5"
276,2001,12,"-1,4"
277,2002,1,"-1,4"
278,2002,2,"-1,3"
279,2002,3,"-1,2"
280,2002,4,"-0,5"
281,2002,5,"1,5"
282,2002,6,"9,1666667"
283,2002,7,"14,725"
284,2002,8,"11,8333333"
285,2002,9,"8,1333333"
286,2002,10,"3,8666667"
287,2002,11,"0,5"
289,2003,1,-1
290,2003,2,-1
291,2003,3,"-0,7"
292,2003,4,"-0,7"
293,2003,5,"4,3666667"
294,2003,6,"9,6666667"
295,2003,7,"17,3333333"
296,2003,8,16
297,2003,9,"9,725"
298,2003,10,"4,8"
299,2003,11,"2,5"
300,2003,12,2
302,2004,2,-1
303,2004,3,"-1,37"
304,2004,4,"-1,19"
305,2004,5,"2,7"
306,2004,6,"11,1333333"
307,2004,7,"15,9"
308,2004,8,"15,1333333"
309,2004,9,"9,7333333"
310,2004,10,"5,2"
311,2004,11,"3,2"
316,2005,4,"-0,6"
318,2005,6,"10,125"
319,2005,7,"16,5"
320,2005,8,"14,8666667"
321,2005,9,"10,05"
322,2005,10,"4,925"
323,2005,11,"3,5"
324,2005,12,"1,8"
326,2006,2,"0,1"
327,2006,3,0
328,2006,4,"-0,7"
329,2006,5,"5,7"
330,2006,6,"11,3666667"
331,2006,7,"12,4314444"
332,2006,8,"12,4429774"
333,2006,9,"10,5796825"
334,2006,10,"5,9093889"
335,2006,11,"1,1233636"
339,2007,3,"-0,2987778"
341,2007,5,"5,4"
342,2007,6,"12,21"
343,2007,7,"13,305"
344,2007,8,"14,5281667"
345,2007,9,"8,7844444"
346,2007,10,"6,13"
347,2007,11,"3,607"
348,2007,12,"0,7336923"
351,2008,3,"-0,613"
353,2008,5,"4,5"
354,2008,6,"11,7993333"
355,2008,7,"14,3674762"
356,2008,8,"9,8855"
357,2008,9,"8,8674957"
358,2008,10,"4,2981875"
359,2008,11,"2,13955"
360,2008,12,"0,813"
362,2009,2,0
363,2009,3,"-0,6042308"
364,2009,4,"-0,5210556"
365,2009,5,"8,233"
366,2009,6,"8,426"
367,2009,7,"13,291"
368,2009,8,"14,8175667"
369,2009,9,"9,0223333"
370,2009,10,"2,9965"
371,2009,11,"1,588"
372,2009,12,"1,324"
