2,17,1983,-0.6,-0.7,-0.8,-0.9,-0.5,-0.5,-0.5
3,16,1983,-0.6,-0.7,-0.7,-0.7,-0.5,0.1,0.1
3,31,1983,-0.8,-0.8,-0.9,-0.9,-0.5,-0.4,-0.4
4,11,1983,-0.5,-0.8,-1.1,-1.1,-1,-0.5,-0.5
4,21,1983,-0.2,-1,-1.2,-1.3,-1.3,-0.7,-0.6
5,19,1983,3.8,3.6,2.2,1.6,0.8,-0.5,-0.6
5,29,1983,5.2,3.1,2.2,1.6,0.8,-0.5,-0.6
6,9,1983,10.4,5,4,2.7,0.8,-0.6,-0.6
6,20,1983,11.6,10.9,9.2,7.4,2,-0.3,-0.3
6,29,1983,12.8,5,2.4,1,0.1,-0.6,-0.6
7,11,1983,16,13,5.2,3.4,0.7,-0.3,-0.3
7,20,1983,14.4,9.5,3.5,1.8,0.8,0,-0.1
7,30,1983,12.6,11.2,7,3,1,0,0
8,11,1983,13.4,12,8.5,5,1,0.1,0
8,19,1983,12.3,12.5,11.2,5,1.5,0.3,0.2
9,2,1983,8.6,8.6,7,5.3,2.4,0.3,0.2
9,11,1983,7,6.9,6.3,4,2.2,1.3,0.9
9,21,1983,7.1,7.1,6.6,6,5,2.3,2.3
10,2,1983,6.8,7,7,7,7,3.5,3
10,10,1983,6,6,5.8,5.3,4.6,1.8,1.7
10,20,1983,5.2,5.3,5.5,5.5,5.2,3.6,3.1
10,30,1983,3.6,3.6,3.7,3.8,4,3.9,3
11,5,1983,3.2,3.2,3.3,3.3,3.5,2.8,2.7
11,16,1983,1.4,1.4,1.4,1.4,1.9,2.2,2.1
