"season";"year";"temp_air"
"1";"DJF";1986;-15,9
"2";"MAM";1986;-0,2
"3";"JJA";1986;12,4333333333333
"4";"SON";1986;-1,56666666666667
"5";"DJF";1987;-16,4
"6";"MAM";1987;-2,33333333333333
"7";"JJA";1987;10,8
"8";"SON";1987;3,9
"9";"DJF";1988;-12,6
"10";"MAM";1988;-2
"11";"JJA";1988;13,9333333333333
"12";"SON";1988;0,6
"13";"DJF";1989;-9,3
"14";"MAM";1989;2,3
"15";"JJA";1989;13,5666666666667
"16";"SON";1989;1,06666666666667
"17";"DJF";1990;-7,93333333333333
"18";"MAM";1990;-2,40403761712453e-16
"19";"JJA";1990;12,1333333333333
"20";"SON";1990;-0,833333333333333
"21";"DJF";1991;-11,9666666666667
"22";"MAM";1991;-2,2
"23";"JJA";1991;12,5333333333333
"24";"SON";1991;1,66666666666667
"25";"DJF";1992;-6,73333333333333
"26";"MAM";1992;-0,133333333333333
"27";"JJA";1992;11,3666666666667
"28";"SON";1992;-1,6
"29";"DJF";1993;-9,26666666666667
"30";"MAM";1993;-1,13333333333333
"31";"JJA";1993;12,0333333333333
"32";"SON";1993;-1,53333333333333
"33";"DJF";1994;-10,4
"34";"MAM";1994;-0,6
"35";"JJA";1994;12,6333333333333
"36";"SON";1994;0,133333333333333
"37";"DJF";1995;-10,1333333333333
"38";"MAM";1995;0,4
"39";"JJA";1995;12,2
"40";"SON";1995;-0,5
"41";"DJF";1996;-10,2666666666667
"42";"MAM";1996;-1,86666666666667
"43";"JJA";1996;11,7
"44";"SON";1996;1,83333333333333
"45";"DJF";1997;-11,3
"46";"MAM";1997;-1,8
"47";"JJA";1997;13,3333333333333
"48";"SON";1997;0,833333333333334
"49";"DJF";1998;-14,6666666666667
"50";"MAM";1998;-3,3
"51";"JJA";1998;12,4
"52";"SON";1998;0,0333333333333334
"53";"DJF";1999;-13,3666666666667
"54";"MAM";1999;-1,83333333333333
"55";"JJA";1999;12,9
"56";"SON";1999;2,5
"57";"DJF";2000;-9,6
"58";"MAM";2000;0,5
"59";"JJA";2000;13,6666666666667
"60";"SON";2000;3,63333333333333
"61";"DJF";2001;-9,8
"62";"MAM";2001;-2,26666666666667
"63";"JJA";2001;13,5
"64";"SON";2001;0,233333333333333
"65";"DJF";2002;-11,5666666666667
"66";"MAM";2002;-0,466666666666667
"67";"JJA";2002;13,2333333333333
"68";"SON";2002;-1,8
"69";"DJF";2003;-11,1666666666667
"70";"MAM";2003;1,36666666666667
"71";"JJA";2003;13,1666666666667
"72";"SON";2003;2,4
"73";"DJF";2004;-10
"74";"MAM";2004;-0,7
"75";"JJA";2004;13,3333333333333
"76";"SON";2004;0,9
"77";"DJF";2005;-8,43333333333333
"78";"MAM";2005;-1,3
"79";"JJA";2005;14,3666666666667
"80";"SON";2005;4,23333333333333
"81";"DJF";2006;-9,6
"82";"MAM";2006;-0,9
"83";"JJA";2006;13,6
"84";"SON";2006;0,766666666666667
"85";"DJF";2007;-10,5333333333333
"86";"MAM";2007;1,66666666666667
"87";"JJA";2007;13,3
"88";"SON";2007;2,7
"89";"DJF";2008;-6,8
"90";"MAM";2008;-1,4
"91";"JJA";2008;12
"92";"SON";2008;1,9
"93";"DJF";2009;-10,3333333333333
"94";"MAM";2009;-0,533333333333334
"95";"JJA";2009;12,8
"96";"SON";2009;2,43333333333333
"97";"DJF";2010;-14,2333333333333
"98";"MAM";2010;0,0666666666666668
"99";"JJA";2010;13
"100";"SON";2010;1,46666666666667
"101";"DJF";2011;-10,8666666666667
"102";"MAM";2011;1,1
"103";"JJA";2011;14,1
"104";"SON";2011;3,76666666666667
"105";"DJF";2012;-13,6
"106";"MAM";2012;0,133333333333333
"107";"JJA";2012;12,3
"108";"SON";2012;2,3
"109";"DJF";2013;-8,7
"110";"MAM";2013;-2
"111";"JJA";2013;14,6666666666667
"112";"SON";2013;9,2
