area;tidal_zone;year;N.1year;N.8mm;N.elder1y;N.1mm
Estuary;low;1992;0;50;55;55
Estuary;low;1993;3;27;197;202
Estuary;low;1994;50;293;720;777
Estuary;low;1995;40;233;430;473
Estuary;low;1996;0;203;337;337
Estuary;low;1997;0;153;213;213
Estuary;low;1998;203;180;517;750
Estuary;low;1999;403;37;1637;2073
Estuary;low;2000;57;117;1847;1913
Estuary;low;2001;123;293;2450;2607
Estuary;low;2002;47;280;1813;1917
Estuary;low;2003;363;640;1737;2220
Estuary;low;2004;703;887;2233;3330
Estuary;low;2005;173;610;1353;1623
Estuary;low;2006;67;467;903;993
Estuary;low;2007;880;540;1170;2547
Estuary;low;2008;417;507;1200;1683
Estuary;low;2009;347;357;1337;1860
Estuary;low;2010;207;547;1737;2057
Estuary;low;2011;113;777;1480;1637
Estuary;low;2012;50;577;1033;1170
Goreliy;high;1992;0;54;85;73
Goreliy;high;1993;0;27;143;143
Goreliy;high;1994;50;350;1150;1220
Goreliy;high;1995;10;190;200;210
Goreliy;high;1996;0;170;260;260
Goreliy;high;1997;10;90;150;160
Goreliy;high;1998;170;110;760;930
Goreliy;high;1999;1270;220;1790;3160
Goreliy;high;2000;1840;490;3930;6100
Goreliy;high;2001;350;490;2630;3030
Goreliy;high;2002;230;420;2030;2380
Goreliy;high;2003;340;350;1670;2110
Goreliy;high;2004;960;320;1520;2620
Goreliy;high;2005;570;560;2260;3060
Goreliy;high;2006;440;470;1430;2200
Goreliy;high;2007;490;390;830;1940
Goreliy;high;2008;300;300;680;1100
Goreliy;high;2009;540;350;1180;1860
Goreliy;high;2010;20;220;870;900
Goreliy;high;2011;80;30;1870;2000
Goreliy;high;2012;250;380;1470;1800
Goreliy;middle;1992;0;40;108;108
Goreliy;middle;1993;13;103;467;480
Goreliy;middle;1994;250;280;1070;1360
Goreliy;middle;1995;10;470;710;710
Goreliy;middle;1996;110;750;1320;1440
Goreliy;middle;1997;10;380;570;580
Goreliy;middle;1998;320;50;1990;2400
Goreliy;middle;1999;4610;100;2460;8030
Goreliy;middle;2000;1220;290;3200;4800
Goreliy;middle;2001;130;340;3270;3530
Goreliy;middle;2002;170;210;1740;2200
Goreliy;middle;2003;140;400;1730;2110
Goreliy;middle;2004;340;500;1170;1700
Goreliy;middle;2005;250;650;1630;2290
Goreliy;middle;2006;610;490;1000;1910
Goreliy;middle;2007;710;370;710;1990
Goreliy;middle;2008;610;240;1710;2740
Goreliy;middle;2009;200;270;1040;1280
Goreliy;middle;2010;20;190;640;690
Goreliy;middle;2011;140;320;1010;1210
Goreliy;middle;2012;200;650;1510;1790
Goreliy;low;1992;0;10;50;50
Goreliy;low;1993;25;55;158;183
Goreliy;low;1994;70;510;1750;1820
Goreliy;low;1995;230;560;1420;1750
Goreliy;low;1996;0;330;470;470
Goreliy;low;1997;0;160;180;180
Goreliy;low;1998;280;200;1870;2320
Goreliy;low;1999;1510;250;2540;4240
Goreliy;low;2000;150;230;1160;1350
Goreliy;low;2001;110;340;2090;2240
Goreliy;low;2002;100;30;600;730
Goreliy;low;2003;550;410;1970;2710
Goreliy;low;2004;30;500;990;1040
Goreliy;low;2005;0;740;1350;1350
Goreliy;low;2006;40;370;600;650
Goreliy;low;2007;60;300;470;540
Goreliy;low;2008;160;240;800;1030
Goreliy;low;2009;70;250;590;790
Goreliy;low;2010;40;360;1290;1330
Goreliy;low;2011;340;470;1120;1590
Goreliy;low;2012;50;180;710;760
Goreliy;hydrographicum_datum;1992;0;7;13;13
Goreliy;hydrographicum_datum;1993;0;60;97;97
Goreliy;hydrographicum_datum;1994;0;220;380;390
Goreliy;hydrographicum_datum;1995;260;580;830;1100
Goreliy;hydrographicum_datum;1996;30;30;390;420
Goreliy;hydrographicum_datum;1997;50;80;290;380
Goreliy;hydrographicum_datum;1998;310;680;780;1120
Goreliy;hydrographicum_datum;1999;1220;1420;1750;3580
Goreliy;hydrographicum_datum;2000;0;540;720;720
Goreliy;hydrographicum_datum;2001;40;600;800;840
Goreliy;hydrographicum_datum;2002;20;760;900;930
Goreliy;hydrographicum_datum;2003;50;760;1450;1540
Goreliy;hydrographicum_datum;2004;70;490;1430;1540
Goreliy;hydrographicum_datum;2005;10;240;820;830
Goreliy;hydrographicum_datum;2006;0;240;760;760
Goreliy;hydrographicum_datum;2007;20;140;630;660
Goreliy;hydrographicum_datum;2008;90;340;640;740
Goreliy;hydrographicum_datum;2009;30;150;430;470
Goreliy;hydrographicum_datum;2010;90;830;1050;1140
Goreliy;hydrographicum_datum;2011;200;520;820;1100
Goreliy;hydrographicum_datum;2012;20;430;820;840
Lomnishniy;hydrographicum_datum;2007;63;21;435;501
Lomnishniy;hydrographicum_datum;2008;612;138;810;1530
Lomnishniy;hydrographicum_datum;2009;18;135;990;813
Lomnishniy;hydrographicum_datum;2010;6;165;668;540
Lomnishniy;hydrographicum_datum;2011;33;39;345;378
Lomnishniy;hydrographicum_datum;2012;138;21;360;513
YuG;hydrographicum_datum;2001;90;97;1167;1257
YuG;hydrographicum_datum;2002;225;135;1035;1196
YuG;hydrographicum_datum;2003;414;70;1359;1758
YuG;hydrographicum_datum;2004;690;2;1015;1913
YuG;hydrographicum_datum;2005;118;8;684;860
YuG;hydrographicum_datum;2006;150;5;680;843
YuG;hydrographicum_datum;2007;544;22;624;1412
YuG;hydrographicum_datum;2008;402;63;927;1434
YuG;hydrographicum_datum;2009;240;156;764;1122
YuG;hydrographicum_datum;2010;100;132;570;682
YuG;hydrographicum_datum;2011;74;62;312;364
YuG;hydrographicum_datum;2012;78;4;99;142
ZRS;middle;1994;0;210;450;450
ZRS;middle;1995;15;265;475;490
ZRS;middle;1996;0;180;260;260
ZRS;middle;1997;5;190;215;220
ZRS;middle;1998;185;320;465;755
ZRS;middle;1999;3235;335;3530;8530
ZRS;middle;2000;850;160;1710;2910
ZRS;middle;2001;110;585;2345;2515
ZRS;middle;2002;30;855;2590;2690
ZRS;middle;2003;25;715;1900;1930
ZRS;middle;2004;285;790;1560;2355
ZRS;middle;2005;75;820;1645;1825
ZRS;middle;2006;40;515;680;795
ZRS;middle;2007;55;800;970;1055
ZRS;middle;2008;390;715;1230;1840
ZRS;middle;2009;175;640;1285;1745
ZRS;middle;2010;110;790;1465;1680
ZRS;middle;2011;95;755;1310;1455
