year;species;samples;Length.mm;tidal_area
2002;Macoma balthica;M-6;10,2;
2002;Macoma balthica;M-6;14,3;
2002;Macoma balthica;M-6;7,6;
2002;Macoma balthica;M-6;8,4;
2002;Macoma balthica;M-6;10,5;
2002;Macoma balthica;M-8;11,2;
2002;Macoma balthica;M-8;4,4;
2002;Macoma balthica;M-8;11,9;
2002;Macoma balthica;M-8;3,4;
2002;Macoma balthica;M-9;10,8;
2002;Macoma balthica;M-9;4,7;
2002;Macoma balthica;M-9;13,5;
2002;Macoma balthica;M-9;8,0;
2002;Macoma balthica;M-11;2,6;
2002;Macoma balthica;M-13;7,7;
2002;Macoma balthica;M-13;7,0;
2002;Macoma balthica;M-13;7,5;
2002;Macoma balthica;M-13;9,6;
2002;Macoma balthica;M-14;4,7;
2002;Macoma balthica;M-14;12,1;
2002;Macoma balthica;M-14;8,3;
2002;Macoma balthica;M-15;14,2;
2002;Macoma balthica;M-15;15,0;
2002;Macoma balthica;M-15;15,4;
2002;Macoma balthica;M-15;17,5;
2002;Macoma balthica;M-15;18,2;
2002;Macoma balthica;M-15;18,3;
2002;Macoma balthica;M-16;4,0;
2002;Macoma balthica;M-18;7,2;
2002;Macoma balthica;M-18;4,7;
2002;Macoma balthica;M-19;3,0;
2002;Macoma balthica;M-19;5,7;
2002;Macoma balthica;M-19;9,2;
2002;Macoma balthica;M-19;14,0;
2002;Macoma balthica;I-3;8,7;
2002;Macoma balthica;I-3;4,1;
2002;Macoma balthica;II-1;7,5;
2002;Macoma balthica;II-3;4,5;
2002;Macoma balthica;III-1;4,7;
2002;Macoma balthica;III-1;3,4;
2002;Macoma balthica;III-1;10,6;
2002;Macoma balthica;III-1;15,8;
2002;Macoma balthica;III-1;16,2;
2002;Macoma balthica;III-2;18,6;
2002;Macoma balthica;III-2;16,3;
2002;Macoma balthica;IV-1;14,1;
2002;Macoma balthica;IV-1;7,5;
2002;Macoma balthica;IV-2;9,2;
2002;Macoma balthica;IV-2;5,3;
2002;Macoma balthica;IV-3;14,7;
2002;Macoma balthica;IV-3;12,5;
2002;Macoma balthica;IV-3;8,9;
2002;Macoma balthica;IV-3;10,8;
2002;Macoma balthica;V-1;7,3;
2002;Macoma balthica;V-1;15,7;
2002;Macoma balthica;V-2;8,7;
2002;Macoma balthica;V-2;12,4;
2002;Macoma balthica;V-3;15,6;
2002;Macoma balthica;V-3;11,4;
2002;Macoma balthica;VI-1;8,3;
2002;Macoma balthica;VI-1;6,6;
2002;Macoma balthica;VI-2;9,3;
2002;Macoma balthica;VI-2;16,6;
2002;Macoma balthica;VII-1;9,7;
