year;station;sample;square;species;N.indd;B.mg
2002;1;I-1;245;Fabricia sabella;143;35,0
2002;1;I-1;245;Enchytraeidae gen sp;63;20,0
2002;1;I-1;245;Cricotopus sp;6;
2002;1;I-1;245;Capitella capitata;13;
2002;1;I-1;245;Pygospio elegans;21;
2002;1;I-1;245;Polydora quadrilobata;2;
2002;1;I-1;245;Paranais littoralis;6;
2002;1;I-3;245;Fabricia sabella;394;64,0
2002;1;I-3;245;Polydora quadrilobata;15;60,0
2002;1;I-3;245;Capitella capitata;8;7,0
2002;1;I-3;245;Arenicola marina;2;1,0
2002;1;I-3;245;Pygospio elegans;32;30,0
2002;1;I-3;245;Cricotopus sp;3;1,0
2002;1;I-3;245;Enchytraeidae gen sp;94;
2002;1;I-3;245;Tubificoides benedeni;119;199,0
2002;1;I-3;245;Clitellio arenarius;66;138,0
2002;1;I-3;245;long and fit tubificid;25;
2002;1;I-2;245;Fabricia sabella;413;77,0
2002;1;I-2;245;Polydora quadrilobata;12;
2002;1;I-2;245;Capitella capitata;6;
2002;1;I-2;245;Pygospio elegans;43;
2002;1;I-2;245;Cricotopus sp;12;
2002;1;I-2;245;Arenicola marina;2;
2002;1;I-1;30;Scoloplos armiger;15;
2002;1;I-1;30;Lineus ruber;12;82,0
2002;1;I-1;30;Nainereis quadricuspida;3;35,0
2002;1;I-1;30;Scoloplos armiger;4;53,0
2002;1;I-1;30;Littorina saxatilis;10;47,0
2002;1;I-1;30;Skeneopsis planorbis;2;5,0
2002;1;I-3;30;Scoloplos armiger;3;15,0
2002;1;I-3;30;Nainereis quadricuspida;7;30,0
2002;1;I-3;30;Lineus ruber;19;245,0
2002;1;I-3;30;Amphiporus lactifloreus;1;3,0
2002;1;I-2;30;Scoloplos armiger;20;
2002;1;I-2;30;Macoma balthica;1;
2002;1;I-2;30;Littorina saxatilis;24;
2002;1;I-2;30;Onoba aculeas;1;
2002;1;I-2;30;Skeneopsis planorbis;1;1,0
2002;1;I-2;30;Lineus ruber;28;234,0
2002;1;I-2;30;Priapulus caudatus;1;33,0
2002;1;I-2;30;Scoloplos armiger;23;286,0
2002;1;I-2;30;Nainereis quadricuspida;8;58,0
2002;2;II-3;30;Arenicola marina;3;82,0
2002;2;II-3;30;Capitella capitata;8;
2002;2;II-3;30;Pygospio elegans;1;
2002;2;II-1;30;Onisimus (Pseudalibrotus) litoralis;10;182,0
2002;2;II-1;30;Jaera sp;1;1,0
2002;2;II-2;30;Onisimus (Pseudalibrotus) litoralis;4;
2002;2;II-2;30;Jaera sp;1;
2002;2;II-3;30;Onisimus (Pseudalibrotus) litoralis;3;
2002;3;III-2;245;Cricotopus sp;11;2,0
2002;3;III-2;245;Fabricia sabella;15;5,0
