year;sample;station;square
2002;1;1;4
2002;1;2;4
2002;1;3;4
2002;1;4;4
2002;1;5;4
2002;1;6;4
2002;1;7;4
2002;2;1;4
2002;2;2;4
2002;2;3;4
2002;2;4;4
2002;2;5;4
2002;2;6;4
2002;2;7;4
2002;3;1;4
2002;3;2;4
2002;3;3;4
2002;3;4;4
2002;3;5;4
2002;3;6;4
2002;3;7;4
2002;4;1;4
2002;4;2;4
2002;4;3;4
2002;4;4;4
2002;4;5;4
2002;4;6;4
2002;4;7;4
2002;5;1;4
2002;5;2;4
2002;5;3;4
2002;5;4;4
2002;5;5;4
2002;5;6;4
2002;5;7;4
2002;I-1;1;245
2002;I-1;1;30
2002;I-2;1;245
2002;I-2;1;30
2002;I-3;1;245
2002;I-3;1;30
2002;II-1;2;245
2002;II-1;2;30
2002;II-2;2;245
2002;II-2;2;30
2002;II-3;2;245
2002;II-3;2;30
2002;III-1;3;245
2002;III-1;3;30
2002;III-2;3;245
2002;III-2;3;30
2002;III-3;3;245
2002;III-3;3;30
2002;IV-1;4;245
2002;IV-1;4;30
2002;IV-2;4;245
2002;IV-2;4;30
2002;IV-3;4;245
2002;IV-3;4;30
2002;M-1;2;10
2002;M-10;1;10
2002;M-11;1;10
2002;M-13;4;10
2002;M-14;4;10
2002;M-15;4;10
2002;M-16;4;10
2002;M-17;6;10
2002;M-18;6;10
2002;M-19;6;10
2002;M-2;2;10
2002;M-3;2;10
2002;M-4;2;10
2002;M-5;2;10
2002;M-6;8;10
2002;M-7;8;10
2002;M-8;8;10
2002;M-9;1;10
2002;V-1;5;245
2002;V-1;5;30
2002;V-2;5;245
2002;V-2;5;30
2002;V-3;5;245
2002;V-3;5;30
2002;VI-1;6;245
2002;VI-1;6;30
2002;VI-2;6;245
2002;VI-2;6;30
2002;VI-3;6;245
2002;VI-3;6;30
2002;VII-1;7;245
2002;VII-1;7;30
2002;VII-2;7;245
2002;VII-2;7;30
2002;VII-3;7;245
2002;VII-3;7;30
2002;VIII-1;8;245
2002;VIII-1;8;30
2002;VIII-2;8;245
2002;VIII-2;8;30
2002;VIII-3;8;245
2002;VIII-3;8;30
2003;1;1;4
2003;1;2;4
2003;1;3;4
2003;1;4;4
2003;1;5;4
2003;1;6;4
2003;1;7;4
2003;1;8;4
2003;1;9;4
2003;2;1;4
2003;2;2;4
2003;2;3;4
2003;2;4;4
2003;2;5;4
2003;2;6;4
2003;2;7;4
2003;2;8;4
2003;2;9;4
2003;3;1;4
2003;3;2;4
2003;3;3;4
2003;3;4;4
2003;3;5;4
2003;3;6;4
2003;3;7;4
2003;3;8;4
2003;3;9;4
2003;4;1;4
2003;4;2;4
2003;4;3;4
2003;4;4;4
2003;4;5;4
2003;4;6;4
2003;4;7;4
2003;4;8;4
2003;4;9;4
2003;5;1;4
2003;5;2;4
2003;5;3;4
2003;5;4;4
2003;5;5;4
2003;5;6;4
2003;5;7;4
2003;5;8;4
2003;5;9;4
2003;I-1;1;245
2003;I-1;1;30
2003;I-2;1;245
2003;I-2;1;30
2003;I-3;1;245
2003;I-3;1;30
2003;II-1;2;245
2003;II-1;2;30
2003;II-2;2;245
2003;II-2;2;30
2003;II-3;2;245
2003;II-3;2;30
2003;III-1;3;245
2003;III-1;3;30
2003;III-2;3;245
2003;III-2;3;30
2003;III-3;3;245
2003;III-3;3;30
2003;IV-1;4;245
2003;IV-1;4;30
2003;IV-2;4;245
2003;IV-2;4;30
2003;IV-3;4;245
2003;IV-3;4;30
2003;M-10;1;10
2003;M-11;1;10
2003;M-13;4;10
2003;M-14;4;10
2003;M-15;4;10
2003;M-16;4;10
2003;M-18;6;10
2003;M-19;6;10
2003;M-2;2;10
2003;M-20;7;10
2003;M-21;7;10
2003;M-22;7;10
2003;M-23;9;10
2003;M-24;9;10
2003;M-25;9;10
2003;M-3;2;10
2003;M-6;8;10
2003;M-7;8;10
2003;M-8;8;10
2003;M-9;1;10
2003;V-1;5;245
2003;V-1;5;30
2003;V-2;5;245
2003;V-2;5;30
2003;V-3;5;245
2003;V-3;5;30
2003;VI-1;6;245
2003;VI-1;6;30
2003;VI-2;6;245
2003;VI-2;6;30
2003;VI-3;6;245
2003;VI-3;6;30
2003;VII-1;7;245
2003;VII-1;7;30
2003;VII-2;7;245
2003;VII-2;7;30
2003;VII-3;7;245
2003;VII-3;7;30
2003;VIII-1;8;245
2003;VIII-1;8;30
2003;VIII-2;8;245
2003;VIII-2;8;30
2003;VIII-3;8;245
2003;VIII-3;8;30
2004;1;1;4
2004;1;2;4
2004;1;3;4
2004;1;4;4
2004;1;5;4
2004;1;6;4
2004;1;7;4
2004;1;8;4
2004;1;9;4
2004;2;1;4
2004;2;2;4
2004;2;3;4
2004;2;4;4
2004;2;5;4
2004;2;6;4
2004;2;7;4
2004;2;8;4
2004;2;9;4
2004;3;1;4
2004;3;2;4
2004;3;3;4
2004;3;4;4
2004;3;5;4
2004;3;6;4
2004;3;7;4
2004;3;8;4
2004;3;9;4
2004;4;1;4
2004;4;2;4
2004;4;3;4
2004;4;4;4
2004;4;5;4
2004;4;6;4
2004;4;7;4
2004;4;8;4
2004;4;9;4
2004;5;1;4
2004;5;2;4
2004;5;3;4
2004;5;4;4
2004;5;5;4
2004;5;6;4
2004;5;7;4
2004;5;8;4
2004;5;9;4
2004;I-1;1;245
2004;I-1;1;30
2004;I-2;1;245
2004;I-2;1;30
2004;I-3;1;245
2004;I-3;1;30
2004;II-1;2;245
2004;II-1;2;30
2004;II-2;2;245
2004;II-2;2;30
2004;II-3;2;245
2004;II-3;2;30
2004;III-1;3;245
2004;III-1;3;30
2004;III-2;3;245
2004;III-2;3;30
2004;III-3;3;245
2004;III-3;3;30
2004;M-1;2;10
2004;M-10;1;10
2004;M-11;1;10
2004;M-13;4;10
2004;M-14;4;10
2004;M-15;4;10
2004;M-16;4;10
2004;M-17;6;10
2004;M-18;6;10
2004;M-19;6;10
2004;M-2;2;10
2004;M-20;7;10
2004;M-21;7;10
2004;M-22;7;10
2004;M-23;9;10
2004;M-24;9;10
2004;M-25;9;10
2004;M-26;1;10
2004;M-3;2;10
2004;M-4;2;10
2004;M-5;2;10
2004;M-6;8;10
2004;M-7;8;10
2004;M-8;8;10
2004;M-9;1;10
2004;M-9;1;10
2005;I-1;1;245
2005;I-1;1;30
2005;I-2;1;245
2005;I-2;1;30
2005;I-3;1;245
2005;I-3;1;30
2005;II-1;2;245
2005;II-1;2;30
2005;II-1;2;245
2005;II-1;2;30
2005;II-2;2;245
2005;II-2;2;30
2005;II-2;2;245
2005;II-2;2;30
2005;II-3;2;245
2005;II-3;2;30
2005;II-3;2;245
2005;II-3;2;30
2005;III-1;3;245
2005;III-1;3;30
2005;III-2;3;245
2005;III-2;3;30
2005;III-3;3;245
2005;III-3;3;30
2005;M-1;2;10
2005;M-10;1;10
2005;M-11;1;10
2005;M-13;4;10
2005;M-14;4;10
2005;M-15;4;10
2005;M-16;4;10
2005;M-17;6;10
2005;M-18;6;10
2005;M-19;6;10
2005;M-2;2;10
2005;M-20;7;10
2005;M-21;7;10
2005;M-22;7;10
2005;M-23;9;10
2005;M-24;9;10
2005;M-25;9;10
2005;M-3;2;10
2005;M-4;2;10
2005;M-5;2;10
2005;M-6;8;10
2005;M-7;8;10
2005;M-8;8;10
2005;M-9;1;10
2006;1;1;4
2006;1;2;4
2006;1;3;4
2006;1;4;4
2006;1;5;4
2006;1;6;4
2006;1;7;4
2006;1;8;4
2006;1;9;4
2006;2;1;4
2006;2;2;4
2006;2;3;4
2006;2;4;4
2006;2;5;4
2006;2;6;4
2006;2;7;4
2006;2;8;4
2006;2;9;4
2006;3;1;4
2006;3;2;4
2006;3;3;4
2006;3;4;4
2006;3;5;4
2006;3;6;4
2006;3;7;4
2006;3;8;4
2006;3;9;4
2006;4;1;4
2006;4;2;4
2006;4;3;4
2006;4;4;4
2006;4;5;4
2006;4;6;4
2006;4;7;4
2006;4;8;4
2006;4;9;4
2006;5;1;4
2006;5;2;4
2006;5;3;4
2006;5;4;4
2006;5;5;4
2006;5;6;4
2006;5;7;4
2006;5;8;4
2006;5;9;4
2006;I-1;1;245
2006;I-1;1;30
2006;I-2;1;245
2006;I-2;1;30
2006;I-3;1;245
2006;I-3;1;30
2006;II-1;2;245
2006;II-1;2;30
2006;II-2;2;245
2006;II-2;2;30
2006;II-3;2;245
2006;II-3;2;30
2006;III-1;3;245
2006;III-1;3;30
2006;III-2;3;245
2006;III-2;3;30
2006;III-3;3;245
2006;III-3;3;30
2006;M-1;2;10
2006;M-10;1;10
2006;M-11;1;10
2006;M-13;4;10
2006;M-14;4;10
2006;M-15;4;10
2006;M-16;4;10
2006;M-17;6;10
2006;M-18;6;10
2006;M-19;6;10
2006;M-2;2;10
2006;M-20;7;10
2006;M-21;7;10
2006;M-22;7;10
2006;M-23;9;10
2006;M-24;9;10
2006;M-25;9;10
2006;M-3;2;10
2006;M-4;2;10
2006;M-5;2;10
2006;M-6;8;10
2006;M-7;8;10
2006;M-8;8;10
2006;M-9;1;10
2007;I-1;1;245
2007;I-1;1;30
2007;I-2;1;245
2007;I-2;1;30
2007;I-3;1;245
2007;I-3;1;30
