"x"
"1";"Amphiporus lactifloreus"
"2";"Arenicola marina"
"3";"Calliopius laevisculus"
"4";"Capitella capitata"
"5";"Cerastoderma edule"
"6";"Cladophora fracta"
"7";"Cladophora rupestris"
"8";"Clitellio arenarius"
"9";"Cricotopus sp"
"10";"Enchytraeidae gen sp"
"11";"Eteone longa"
"12";"Fabricia sabella"
"13";"Fabriciinae"
"14";"Gammarus sp"
"15";"Hyale prevosti"
"16";"Hydrobia ulvae"
"17";"Ilea zosterifolia"
"18";"Jaera sp"
"19";"Lineus ruber"
"20";"Lineus sp"
"21";"Littorina littorea"
"22";"Littorina obtusata"
"23";"Littorina saxatilis"
"24";"long and fit tubificid"
"25";"Macoma balthica"
"26";"microphtalmus sczelkovii"
"27";"Mya arenaria"
"28";"Mytilus edulis"
"29";"Nainereis quadricuspida"
"30";"Nemertini"
"31";"Nicomache lumbricalis"
"32";"Nudibranchia"
"33";"Oligochaeta"
"34";"Olygochaeta long sick"
"35";"Onisimus (Pseudalibrotus) litoralis"
"36";"Onoba aculeas"
"37";"Paranais littoralis"
"38";"Phyllodoce groenlandica"
"39";"Polydora quadrilobata"
"40";"Priapulus caudatus"
"41";"Pygospio elegans"
"42";"Scoloplos armiger"
"43";"Skeneopsis planorbis"
"44";"Styctiosiphon"
"45";"Travisia forbesii"
"46";"Tubifex costatus"
"47";"Tubificoides benedeni"
"48";"Turtonia minuta"
