"species";"taxon";"type"
"1";"Amphiporus lactifloreus";"Nemertini";"Nemertini"
"2";"Arenicola marina";"Polychaeta";"Annelida"
"3";"Calliopius laevisculus";"Amphipoda";"Crustacea"
"4";"Capitella capitata";"Polychaeta";"Annelida"
"5";"Cerastoderma edule";"Bivalvia";"Mollusca"
"6";"Clitellio arenarius";"Oligochaeta";"Annelida"
"7";"Cricotopus sp";"Diptera";"Insecta"
"8";"Enchytraeidae gen sp";"Oligochaeta";"Annelida"
"9";"Eteone longa";"Polychaeta";"Annelida"
"10";"Fabricia sabella";"Polychaeta";"Annelida"
"11";"Fabriciinae";"Polychaeta";"Annelida"
"12";"Gammarus sp";"Amphipoda";"Crustacea"
"13";"Hyale prevosti";"Amphipoda";"Crustacea"
"14";"Hydrobia ulvae";"Gastropoda";"Mollusca"
"15";"Jaera sp";"Isopoda";"Crustacea"
"16";"Lineus ruber";"Nemertini";"Nemertini"
"17";"Lineus sp";"Nemertini";"Nemertini"
"18";"Littorina littorea";"Gastropoda";"Mollusca"
"19";"Littorina obtusata";"Gastropoda";"Mollusca"
"20";"Littorina saxatilis";"Gastropoda";"Mollusca"
"21";"long and fit tubificid";"Oligochaeta";"Annelida"
"22";"Macoma balthica";"Bivalvia";"Mollusca"
"23";"Microphtalmus Sczelkovii";"Polychaeta";"Annelida"
"24";"Mya arenaria";"Bivalvia";"Mollusca"
"25";"Mytilus edulis";"Bivalvia";"Mollusca"
"26";"Nainereis quadricuspida";"Polychaeta";"Annelida"
"27";"Nemertini";"Nemertini";"Nemertini"
"28";"Nicomache lumbricalis";"Polychaeta";"Annelida"
"29";"Nudibranchia";"Nudibranchia";"Mollusca"
"30";"Oligochaeta";"Oligochaeta";"Annelida"
"31";"Olygochaeta long sick";"Oligochaeta";"Annelida"
"32";"Onisimus (Pseudalibrotus) litoralis";"Amphipoda";"Crustacea"
"33";"Onoba aculeas";"Gastropoda";"Mollusca"
"34";"Paranais littoralis";"Oligochaeta";"Annelida"
"35";"Phyllodoce groenlandica";"Polychaeta";"Annelida"
"36";"Polydora quadrilobata";"Polychaeta";"Annelida"
"37";"Priapulus caudatus";"Priapulida";"Priapulida"
"38";"Pygospio elegans";"Polychaeta";"Annelida"
"39";"Scoloplos armiger";"Polychaeta";"Annelida"
"40";"Skeneopsis planorbis";"Gastropoda";"Mollusca"
"41";"Travisia forbesii";"Polychaeta";"Annelida"
"42";"Tubifex costatus";"Oligochaeta";"Annelida"
"43";"Tubificoides benedeni";"Oligochaeta";"Annelida"
"44";"Turtonia minuta";"Bivalvia";"Mollusca"
