species;taxon;type
Amphiporus lactifloreus;Nemertini;Nemertini
Arenicola marina;Polychaeta;Annelida
Calliopius laevisculus;Amphipoda;Crustacea
Capitella capitata;Polychaeta;Annelida
Cerastoderma edule;Bivalvia;Mollusca
Clitellio arenarius;Oligochaeta;Annelida
Cricotopus sp;Diptera;Insecta
Enchytraeidae gen sp;Oligochaeta;Annelida
Eteone longa;Polychaeta;Annelida
Fabricia sabella;Polychaeta;Annelida
Fabriciinae;Polychaeta;Annelida
Gammarus sp;Amphipoda;Crustacea
Hyale prevosti;Amphipoda;Crustacea
Hydrobia ulvae;Gastropoda;Mollusca
Jaera sp;Isopoda;Crustacea
Lineus ruber;Nemertini;Nemertini
Lineus sp;Nemertini;Nemertini
Littorina littorea;Gastropoda;Mollusca
Littorina obtusata;Gastropoda;Mollusca
Littorina saxatilis;Gastropoda;Mollusca
long and fit tubificid;Oligochaeta;Annelida
Macoma balthica;Bivalvia;Mollusca
Microphtalmus Sczelkovii;Polychaeta;Annelida
Mya arenaria;Bivalvia;Mollusca
Mytilus edulis;Bivalvia;Mollusca
Nainereis quadricuspida;Polychaeta;Annelida
Nemertini;Nemertini;Nemertini
Nicomache lumbricalis;Polychaeta;Annelida
Nudibranchia;Nudibranchia;Mollusca
Oligochaeta;Oligochaeta;Annelida
Olygochaeta long sick;Oligochaeta;Annelida
Onisimus (Pseudalibrotus) litoralis;Amphipoda;Crustacea
Onoba aculeas;Gastropoda;Mollusca
Paranais littoralis;Oligochaeta;Annelida
Phyllodoce groenlandica;Polychaeta;Annelida
Polydora quadrilobata;Polychaeta;Annelida
Priapulus caudatus;Priapulida;Priapulida
Pygospio elegans;Polychaeta;Annelida
Scoloplos armiger;Polychaeta;Annelida
Skeneopsis planorbis;Gastropoda;Mollusca
Travisia forbesii;Polychaeta;Annelida
Tubifex costatus;Oligochaeta;Annelida
Tubificoides benedeni;Oligochaeta;Annelida
Turtonia minuta;Bivalvia;Mollusca
