"year";"species";"region";"area";"code";"sample";"N.sqmeter"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"II";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-1";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-2";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-3";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-4";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-5";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VI";40
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-17";20
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-18";50
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-19";20
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"III";10
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-13";30
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-14";10
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-15";20
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-16";20
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"IV";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-23";"NA"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-24";"NA"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-25";"NA"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VII";30
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-20";"NA"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-21";"NA"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-22";"NA"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"I";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-9";40
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-10";60
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-11";10
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VIII";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-6";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-7";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-8";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"II";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-1";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-2";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-3";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-4";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-5";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VI";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-17";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-18";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-19";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"III";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-13";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-14";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-15";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-16";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"IV";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-23";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-24";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-25";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VII";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-20";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-21";0
